,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
1761,GerDracor/tieck-leben-und-tod-der-heiligen-genoveva.xml,159033,159288,"Nein, Tod Ist mein Gedank, mein Wunsch, mein einzig Leben, Genesung ist für mich im Sterben nur, Ich will mit eigner Hand das Band aufreißen, Hinein in meine Wunde wüten, daß Das Blut in Strömen fließe, meine Schmach Mit meinem Leben so zugleich verrinne.",negative,emotions of fear,despair
1762,GerDracor/tieck-leben-und-tod-der-heiligen-genoveva.xml,159289,159379,"Nein, haltet, gnädiger Herr, wir müssen Euch Gewaltsam zwingen, wenn Ihr Euch nicht kennt.",negative,emotions of rejection,anger
1763,GerDracor/tieck-leben-und-tod-der-heiligen-genoveva.xml,159380,159466,"Was wollt Ihr denn, daß ich noch leben soll, Wenn meine Ehre fort ist, die mein Leben?",negative,emotions of fear,despair
1764,GerDracor/tieck-leben-und-tod-der-heiligen-genoveva.xml,159467,159551,"Ich bin gestorben, wenn ich auch noch atme, Mich rege, darin ist fürwahr kein Leben.",negative,emotions of fear,suffering
1765,GerDracor/tieck-leben-und-tod-der-heiligen-genoveva.xml,159552,159978,"Mein Weib, die ich geliebt, die ich geehrt, Die falsch an meinem Halse Tränen weinte Als ich zum Kriege reiste – die ist bös, Entehrt von einem Diener, mich entehrend, Die hat das Herz im Busen mir zerrissen, Die macht, daß ich mir selber nicht vertraue; Denn sie schien mir das Edelste zu sein, Das Beste, was die Welt nur hegt, ich war Ihr Spiegel, sie mein Glück – verflucht ihr Name Und jeglicher Gedank, der an sie denkt!",negative,emotions of suffering,despair
1766,GerDracor/tieck-leben-und-tod-der-heiligen-genoveva.xml,159979,160025,"Ich kann nicht mehr, die Kräfte schwinden mir.",negative,emotions of fear,suffering
1767,GerDracor/tieck-leben-und-tod-der-heiligen-genoveva.xml,160026,160067,"Beruhigt Euch, dies Toben zehrt Euch auf.",negative,emotions of rejection,suffering
1768,GerDracor/tieck-leben-und-tod-der-heiligen-genoveva.xml,160068,160079,O Genoveva!,positive,emotions of suffering,suffering
1769,GerDracor/tieck-leben-und-tod-der-heiligen-genoveva.xml,160080,160111,warum hast du das An mir getan?,negative,emotional movement,emotional movement
1770,GerDracor/tieck-leben-und-tod-der-heiligen-genoveva.xml,160112,160128,"Erzähle, sprich!",negative,emotions of rejection,anger
1771,GerDracor/tieck-leben-und-tod-der-heiligen-genoveva.xml,160129,160218,"der Brief Genügt mir nicht, ich seh, wie Golo gern Es all verbärge, wenn es möglich wäre.",negative,emotions of rejection,suffering
1772,GerDracor/tieck-leben-und-tod-der-heiligen-genoveva.xml,160219,160412,"Ihr wart, mein gnädger Graf, kaum abgereist, So merkten wir zum Drago ihre Liebe, Sie zog ihn vor, sie sprach mit ihm, er war Ihr einziger Gefährte und Begleiter, Doch dachten wir nichts Arges.",positive,emotions of affection,love
1773,GerDracor/tieck-leben-und-tod-der-heiligen-genoveva.xml,160413,160632,"Golo sprach: »Wir müssen sie verehren, tugendvoll Ist ihr Gemüt und nie erschien es anders, Drum sei von uns jedweder Argwohn fern.« Die Tugend will nicht gern an Laster glauben, Daran erkenn ich dich, mein treuer Golo.",positive,emotions of affection,admiration
1774,GerDracor/tieck-leben-und-tod-der-heiligen-genoveva.xml,160633,160714,"So ging es mir, ich hätte ihr vertraut Mein Gut, mein Leben, meine Ehr und alles.",negative,emotions of affection,love
1775,GerDracor/tieck-leben-und-tod-der-heiligen-genoveva.xml,160715,160773,"Ich hab's getan, und sie hat es vergeudet Im schnöden Mut!",negative,emotions of rejection,suffering
1776,GerDracor/tieck-leben-und-tod-der-heiligen-genoveva.xml,160774,161315,"Indes ich heilge Schlachten Für Gott und Gottes Sohn mit Mut gekämpft, Hat sie dem Satan sich ergeben wild; Indes ich litt für Christus' hohe Sache, Hat sie, die Schändliche, die Lust gebüßt; Indes ich oft am Abend ihrer dachte, Wenn mir die Schmerzen keine Ruhe ließen, An jenem Tag, als unter herber Marter Der Pfeil gezogen wurde aus dem Fleisch Mit seinen Widerhaken, ich zu sterben Vermeinte und den Namen Genoveva Mit Christi Namen heftig, duldend mischte: Indessen hat sie meiner gern vergessen Und ihrer niederträchtgen Lust gedacht.",negative,emotions of suffering,suffering
1777,GerDracor/tieck-leben-und-tod-der-heiligen-genoveva.xml,161316,161520,"O Sarazenen, blinde Heiden, nun Dürft ihr uns keck besiegen, denn bei euch Ist Keuschheit noch und Tugend, eure Weiber, Sie wissen für den Gatten noch zu sterben; Sie dulden alles, nur nicht fremde Liebe.",negative,emotions of rejection,"hate, disgust"
1778,GerDracor/tieck-leben-und-tod-der-heiligen-genoveva.xml,161521,161729,"Wir alle sind des Glaubens, daß die Gräfin Vom bösen Drago Liebespulver kriegte, Die sie der Scham durchaus vergessen machten, Denn er ist weder schön noch jung, um Liebe In einer Brust zu wecken, die gesund.",positive,emotions of affection,love
1779,GerDracor/tieck-leben-und-tod-der-heiligen-genoveva.xml,161730,161851,"– Nun ward auch Golo selber aufmerksam, Er warnte sie, doch in bescheidnen Worten, Doch gab sie seinen Worten kein Gehör.",emotional movement,emotions of suffering,anger
1780,GerDracor/tieck-leben-und-tod-der-heiligen-genoveva.xml,161852,162075,"So ist Hispania durch ein Weib verdorben, Die schuld war, daß die Mohren eingebrochen, So litt die Christenheit durch böse Liebe Des Roderich: so sind wohl Reich' und Städte Schon oft gestürzt durch Schändlichkeit und Lust.",negative,emotions of suffering,suffering
1781,GerDracor/tieck-leben-und-tod-der-heiligen-genoveva.xml,162076,162320,"»Jetzt«, sagte Golo, »fordert es mein Amt Und mein Gewissen, die versprochne Treue, Daß ich nicht länger schweige«; mit uns drauf Ist er in das Gemach gedrungen, wo Wir Genoveva mit dem Drago fanden, Wie ich es Euch nicht wohl beschreiben darf.",negative,emotions of affection,fear
1782,GerDracor/tieck-leben-und-tod-der-heiligen-genoveva.xml,162321,162614,"Er hieß den Drago in den Kerker werfen, Noch wollte sie nicht von ihm lassen; drauf Sah Golo sich gezwungen, auch sie selber In Turm zu legen, wo sie seit 'nem Mond Ein Kind zur Welt gebracht, das Dragos ist, Wie alle sprechen, Euer kann's nicht sein, Da Ihr schon länger als zehn Monden fort.",negative,emotions of rejection,suffering
1783,GerDracor/tieck-leben-und-tod-der-heiligen-genoveva.xml,162615,162750,"Vergebt mir nur, daß ich Euch also kränke, Der erste bin, der Euch dies Unglück kündet; Noch nie hat mir mein Dienst so schwer gedünkt.",negative,emotions of suffering,suffering
1784,GerDracor/tieck-leben-und-tod-der-heiligen-genoveva.xml,162751,162757,Genug!,negative,emotions of rejection,anger
1785,GerDracor/tieck-leben-und-tod-der-heiligen-genoveva.xml,162758,162830,"ich will mein Blut bezähmen, mich Gewöhnen an den schändlichen Gedanken.",negative,emotions of rejection,"hate, disgust"
1786,GerDracor/tieck-leben-und-tod-der-heiligen-genoveva.xml,162831,162965,"Zurück mit aller Eil, und Drago laß Alsbald des Todes sterben, wie er muß Nach dem Gesetz; doch Genoveva mag Auf meine Ankunft warten.",negative,emotions of fear,fear
1787,GerDracor/tieck-leben-und-tod-der-heiligen-genoveva.xml,162966,162977,Also sei's.,negative,emotions of rejection,joy
1788,GerDracor/tieck-leben-und-tod-der-heiligen-genoveva.xml,162978,162987,Benno ab.,negative,emotional movement,emotional movement
1789,GerDracor/tieck-leben-und-tod-der-heiligen-genoveva.xml,162988,163027,Wir wollen jetzt nach Eurer Wunde sehn.,negative,emotions of suffering,compassion
1790,GerDracor/tieck-leben-und-tod-der-heiligen-genoveva.xml,163028,163065,Die rechte Wunde kann kein Auge sehn.,negative,emotions of suffering,suffering
1791,GerDracor/tieck-leben-und-tod-der-heiligen-genoveva.xml,163066,163148,"Ich habe mich gezwungen und bemeistert, Doch dünkt mir alles immer noch ein Traum.",positive,emotions of suffering,suffering
1792,GerDracor/tieck-leben-und-tod-der-heiligen-genoveva.xml,163149,163269,"Ich weiß nicht, wie es ist, die innre Wut Hat alle meine Kräfte aufgezehrt, Ich fühl mich matt und hülflos wie ein Kind.",negative,emotions of rejection,anger
1793,GerDracor/tieck-leben-und-tod-der-heiligen-genoveva.xml,163270,163279,Sie gehn.,positive,emotions of suffering,fear
1794,GerDracor/tieck-leben-und-tod-der-heiligen-genoveva.xml,163280,163294,"Golo, Gertrud.",emotional movement,emotional movement,emotional movement
1795,GerDracor/tieck-leben-und-tod-der-heiligen-genoveva.xml,163295,163397,"Noch kommt Benno nicht zurück, und immer gewaltsamer bedrängen mich meine bösen
            Ahndungen.",negative,emotions of suffering,suffering
1796,GerDracor/tieck-leben-und-tod-der-heiligen-genoveva.xml,163398,163503,"Seid nur mutig, nun kann es doch nicht anders werden, Ihr müßt durch die rauhe Zeit
            hindurch.",positive,emotions of fear,fear
1797,GerDracor/tieck-leben-und-tod-der-heiligen-genoveva.xml,163504,163540,Wenn der Graf mit ihm zugleich käme!,negative,emotions of rejection,"hate, disgust"
1798,GerDracor/tieck-leben-und-tod-der-heiligen-genoveva.xml,163541,163579,Warum wollt Ihr das Schlimmste denken?,negative,emotions of fear,fear
1799,GerDracor/tieck-leben-und-tod-der-heiligen-genoveva.xml,163580,163675,"Jetzt liegt alles daran, daß Ihr den Verdacht
            der Leute im Schlosse nicht vermehrt.",negative,emotions of rejection,anger
1800,GerDracor/tieck-leben-und-tod-der-heiligen-genoveva.xml,163676,163796,"Dem Wendelin dürft Ihr nicht trauen; es sind noch
            andre, die es weniger mit Euch, als mit der Gräfin halten.",negative,emotions of rejection,"hate, disgust"
