,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
1076,GerDracor/wieland-lady-johanna-gray.xml,70648,70780,"Voll Seelenangst verflucht' er seine Ränke, Und sein Verbrechen, dessen Schlangenbisse Ihm nicht erlaubten, wie ein Held zu sterben.",negative,emotions of fear,despair
1077,GerDracor/wieland-lady-johanna-gray.xml,70781,70870,"Und dennoch hinterliess er euch ein Beyspiel, Das würdig ist, von euch befolgt zu werden.",positive,emotions of affection,admiration
1078,GerDracor/wieland-lady-johanna-gray.xml,70871,71042,"Vor allem Volk entsagt' er mit Verwünschung Dem neuen Glauben, und gestand voll Reue, Dass nur der Eigennutz ihn wider sein Gewissen Zu Edwards Zeit in Heucheley verlarvt!",negative,emotions of suffering,"hate, disgust"
1079,GerDracor/wieland-lady-johanna-gray.xml,71043,71105,"Er starb versöhnt mit unsrer heil'gen Mutter, Der Kirche – Ha!",positive,emotions of affection,joy
1080,GerDracor/wieland-lady-johanna-gray.xml,71106,71118,Was hör ich?,emotional movement,emotional movement,emotional movement
1081,GerDracor/wieland-lady-johanna-gray.xml,71119,71141,Zu verwegner Bischoff!,negative,emotions of rejection,"hate, disgust"
1082,GerDracor/wieland-lady-johanna-gray.xml,71142,71227,"Kannst du so grausam seyn, und unser Elend Noch durch Entehrung meines Vaters häufen?",negative,emotions of rejection,"hate, disgust"
1083,GerDracor/wieland-lady-johanna-gray.xml,71228,71289,Des Himmels Zorn vergelte dir – Halt ein Zu rascher Jüngling!,negative,emotions of rejection,anger
1084,GerDracor/wieland-lady-johanna-gray.xml,71290,71372,"Was ich sage, hat  Verfolgt, die Seele des Verbrechers angstvoll Dem Leib entflog.",negative,emotions of fear,fear
1085,GerDracor/wieland-lady-johanna-gray.xml,71373,71381,Lass ab!,negative,emotions of rejection,anger
1086,GerDracor/wieland-lady-johanna-gray.xml,71382,71403,"Lass ab, o Schicksal!",negative,emotions of suffering,despair
1087,GerDracor/wieland-lady-johanna-gray.xml,71404,71453,Mein blutend Herz steckt voll von deinen Pfeilen!,negative,emotions of suffering,suffering
1088,GerDracor/wieland-lady-johanna-gray.xml,71454,71513,"Komm, meine Freundin, siehe mich bereit Mit dir zu sterben!",positive,emotions of affection,friendship
1089,GerDracor/wieland-lady-johanna-gray.xml,71514,71554,"O mir graut, mir ekelt Vor diesem Leben!",negative,emotions of fear,"hate, disgust"
1090,GerDracor/wieland-lady-johanna-gray.xml,71555,71706,"Meine Seele lechzt Mit Ungeduld der Todesstund' entgegen: Wie einer, den des Mittags strengste Glut Auf dürrem Sand gesengt, nach einer Quelle lechzet.",negative,emotions of fear,emotional movement
1091,GerDracor/wieland-lady-johanna-gray.xml,71707,71718,Mein Vater!,emotional movement,emotional movement,emotional movement
1092,GerDracor/wieland-lady-johanna-gray.xml,71719,71736,– Ach mein Vater!,negative,emotions of fear,suffering
1093,GerDracor/wieland-lady-johanna-gray.xml,71737,71840,"Muss ich noch Im Tod erröthen, dass ich – Meine Seele schauert, Den schrecklichen Gedanken auszudenken!",negative,emotions of fear,despair
1094,GerDracor/wieland-lady-johanna-gray.xml,71841,71884,"Und ist nun, Lady, dein Entschluss gefasst?",emotional movement,emotional movement,emotional movement
1095,GerDracor/wieland-lady-johanna-gray.xml,71885,71937,Du hast dich zu bedenken nur Noch wenig Augenblicke!,negative,emotions of fear,fear
1096,GerDracor/wieland-lady-johanna-gray.xml,71938,71997,"– Soll ich dich Von neuem Hehn, dein Leben nicht zu hassen?",negative,emotions of rejection,"hate, disgust"
1097,GerDracor/wieland-lady-johanna-gray.xml,71998,72114,"Der Zorn der Königin ist durch die Strafe Northumberlands versöhnt, und fordert weiter  In ihrer Grossmuth Arme – O!",negative,emotions of suffering,anger
1098,GerDracor/wieland-lady-johanna-gray.xml,72115,72322,"Wenn ihr anders meiner Noth nicht spottet, So lasst mich kniend, Mylord, euer Mitleid Für eine Unglückselige erbitten, Die stets in Unschuld lebt', und keinen Menschen Vor diesem schwarzen Tag beleidigt hat!",negative,emotions of suffering,compassion
