,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
1166,"TextGrid/-Andreas_Hofer,_der_Sandwirt_von_Passeyer.xml",66077,66110,Ihr verstoßt mich aus Eurer Nähe?,negative,emotions of rejection,emotional movement
1167,"TextGrid/-Andreas_Hofer,_der_Sandwirt_von_Passeyer.xml",66112,66210,"Indessen sind die Beziehungen zu übersehn, und so eignet sich der Posten zu einem ersten Ausfluge.",positive,emotions of joy,joy
1168,"TextGrid/-Andreas_Hofer,_der_Sandwirt_von_Passeyer.xml",66212,66265,"Aus dieser Nähe, worin ich nur atme, fühle und denke?",emotional movement,emotions of affection,emotional movement
1169,"TextGrid/-Andreas_Hofer,_der_Sandwirt_von_Passeyer.xml",66266,66367,"Mit allen Ketten der Dankbarkeit liege   Es war nur, weil du deine eignen Gedanken zu hegen beginnst.",positive,emotions of joy,admiration
1170,"TextGrid/-Andreas_Hofer,_der_Sandwirt_von_Passeyer.xml",66368,66426,"Ich glaubte, die Selbständigkeit werde dir erwünscht sein.",positive,emotions of joy,Schadenfreude
1171,"TextGrid/-Andreas_Hofer,_der_Sandwirt_von_Passeyer.xml",66428,66446,So ist es gemeint?,emotional movement,emotions of affection,emotional movement
1172,"TextGrid/-Andreas_Hofer,_der_Sandwirt_von_Passeyer.xml",66447,66490,In diesem Spotte erblicke ich mein Vergehn!,negative,emotions of rejection,"hate, disgust"
1173,"TextGrid/-Andreas_Hofer,_der_Sandwirt_von_Passeyer.xml",66491,66503,Vergebt mir!,negative,emotions of suffering,compassion
1174,"TextGrid/-Andreas_Hofer,_der_Sandwirt_von_Passeyer.xml",66504,66538,Habt Nachsicht mit meiner Unreife!,negative,emotions of suffering,anger
1175,"TextGrid/-Andreas_Hofer,_der_Sandwirt_von_Passeyer.xml",66540,66578,Ich habe dir's so übel nicht genommen.,negative,emotions of suffering,anger
1176,"TextGrid/-Andreas_Hofer,_der_Sandwirt_von_Passeyer.xml",66579,66771,"Wir Menschen sind eigen zusammengesetzt, wir langen mit der dürren Wahrheit nicht aus, bedürfen immer einer schönen Lüge, die unser Leben fortspinnen hilft, wenn wir auch nicht an sie glauben.",emotional movement,emotions of rejection,"hate, disgust"
1177,"TextGrid/-Andreas_Hofer,_der_Sandwirt_von_Passeyer.xml",66772,66868,"In meiner Jugend war es die Liebe, die Gesellschaft, die Persönlichkeit, womöglich etwas Poesie.",positive,emotions of affection,love
1178,"TextGrid/-Andreas_Hofer,_der_Sandwirt_von_Passeyer.xml",66869,66999,"Das ist vorüber; ein neues Geschlecht wächst heran, du gehörst zu demselben, und teilst mit ihm die nun geltenden Träume der Zeit.",positive,emotions of joy,joy
1179,"TextGrid/-Andreas_Hofer,_der_Sandwirt_von_Passeyer.xml",67000,67076,Du hast von ihnen freilich bei mir heute einen unpassenden Gebrauch gemacht.,negative,emotions of rejection,anger
1180,"TextGrid/-Andreas_Hofer,_der_Sandwirt_von_Passeyer.xml",67077,67131,"Aber ich rate dir, sie nicht gänzlich zu unterdrücken.",negative,emotions of suffering,suffering
1181,"TextGrid/-Andreas_Hofer,_der_Sandwirt_von_Passeyer.xml",67132,67241,"Sie werden in dir ein Feuer erhalten, welches du zu gelegener Stunde mit dem besten Erfolge verwenden kannst.",positive,emotions of affection,joy
1182,"TextGrid/-Andreas_Hofer,_der_Sandwirt_von_Passeyer.xml",67242,67435,"Ein gewisser Schmelz tut unserm Wesen durchaus not, um hinzureißen, muß man hingerissen sein können, und nie wird Der etwas ausrichten, dem man den kalten Verstand in jedem Augenblicke ansieht!",positive,emotions of affection,love
1183,"TextGrid/-Andreas_Hofer,_der_Sandwirt_von_Passeyer.xml",67436,67550,"– Was aber deinen tirolischen Hirtenbrief betrifft – 
                                        zerreißt das Papier.",negative,emotions of rejection,anger
1184,"TextGrid/-Andreas_Hofer,_der_Sandwirt_von_Passeyer.xml",67552,67575,Vergeßt die Übereilung!,negative,emotions of fear,fear
1185,"TextGrid/-Andreas_Hofer,_der_Sandwirt_von_Passeyer.xml",67576,67654,"Es wäre in der Tat auch zu töricht, unsern Drängern den Rücken frei zu machen.",negative,emotions of rejection,anger
