,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
29,TextGrid/-D._Faust.xml,1499,1528,– So prahlen auch die Teufel?,negative,emotions of rejection,anger
30,TextGrid/-D._Faust.xml,1529,1594,"Ja, ja; keine Sünde ist so klein, daß ihr sie euch nehmen ließet.",negative,emotions of suffering,compassion
31,TextGrid/-D._Faust.xml,1595,1621,"– Zweiter, wie heißest du?",emotional movement,emotional movement,emotional movement
32,TextGrid/-D._Faust.xml,1623,1683,Chil; das ist in eurer langweiligen Sprache: Pfeil der Pest.,negative,emotions of rejection,"hate, disgust"
33,TextGrid/-D._Faust.xml,1685,1709,Und wie schnell bist du?,emotional movement,emotions of rejection,emotional movement
34,TextGrid/-D._Faust.xml,1711,1760,"Denkest du, daß ich meinen Namen vergebens führe?",negative,emotions of fear,anger
35,TextGrid/-D._Faust.xml,1761,1787,– Wie die Pfeile der Pest.,negative,emotions of rejection,"hate, disgust"
36,TextGrid/-D._Faust.xml,1789,1823,"Nun so geh, und diene einem Arzte!",negative,emotions of rejection,anger
37,TextGrid/-D._Faust.xml,1824,1857,Für mich bist du viel zu langsam.,negative,emotions of rejection,anger
38,TextGrid/-D._Faust.xml,1858,1887,"– Du Dritter, wie heißest du?",emotional movement,emotional movement,emotional movement
39,TextGrid/-D._Faust.xml,1889,1944,Ich heiße Dilla; denn mich tragen die Flügel der Winde.,positive,emotions of joy,joy
40,TextGrid/-D._Faust.xml,1946,1961,Und du Vierter?,positive,emotions of rejection,emotional movement
41,TextGrid/-D._Faust.xml,1962,2029,"–  Mein Name ist Jutta, denn ich fahre auf den Strahlen des Lichts.",positive,emotional movement,joy
42,TextGrid/-D._Faust.xml,2031,2142,"O ihr, deren Schnelligkeit in endlichen Zahlen auszudrücken, ihr Elenden –  Würdige sie deines Unwillens nicht.",negative,emotions of suffering,compassion
43,TextGrid/-D._Faust.xml,2143,2187,Sie sind nur Satans Boten in der Körperwelt.,negative,emotions of rejection,"hate, disgust"
44,TextGrid/-D._Faust.xml,2188,2255,Wir sind es in der Welt der Geister; uns wirst du schneller finden.,positive,emotions of joy,friendship
45,TextGrid/-D._Faust.xml,2257,2281,Und wie schnell bist du?,emotional movement,emotions of rejection,emotional movement
46,TextGrid/-D._Faust.xml,2283,2324,So schnell als die Gedanken des Menschen.,negative,emotional movement,emotional movement
47,TextGrid/-D._Faust.xml,2326,2340,Das ist etwas!,positive,emotional movement,emotional movement
48,TextGrid/-D._Faust.xml,2341,2399,– Aber nicht immer sind die Gedanken des Menschen schnell.,emotional movement,emotional movement,emotional movement
49,TextGrid/-D._Faust.xml,2400,2450,"Nicht da, wenn Wahrheit und Tugend sie auffordern.",negative,emotions of rejection,suffering
50,TextGrid/-D._Faust.xml,2451,2478,Wie träge sind sie alsdenn!,negative,emotions of suffering,emotional movement
51,TextGrid/-D._Faust.xml,2479,2586,"– Du kannst schnell sein, wenn du schnell sein willst: aber wer steht mir dafür, daß du es allezeit willst?",negative,emotions of rejection,anger
52,TextGrid/-D._Faust.xml,2587,2663,"Nein, dir werde ich so wenig trauen, als ich mir selbst hätte trauen sollen.",negative,emotions of rejection,anger
53,TextGrid/-D._Faust.xml,2664,2668,Ach!,negative,emotions of suffering,suffering
54,TextGrid/-D._Faust.xml,2669,2692,–  Zum sechsten Geiste.,positive,emotional movement,admiration
55,TextGrid/-D._Faust.xml,2694,2731,So schnell als die Rache des Rächers.,negative,emotions of rejection,"hate, disgust"
56,TextGrid/-D._Faust.xml,2733,2745,Des Rächers?,emotional movement,emotional movement,emotional movement
57,TextGrid/-D._Faust.xml,2746,2762,Welches Rächers?,emotional movement,emotional movement,emotional movement
