,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
423,TextGrid/-Die_Enthauptung_des_weltberuehmten_Wohlredners_Ciceronis.xml,30020,30049,"Ô ihr Sterne, was ist dieses?",negative,emotional movement,emotional movement
424,TextGrid/-Die_Enthauptung_des_weltberuehmten_Wohlredners_Ciceronis.xml,30050,30081,– – – Wo hastu solches bekomen?,emotional movement,emotional movement,emotional movement
425,TextGrid/-Die_Enthauptung_des_weltberuehmten_Wohlredners_Ciceronis.xml,30083,30222,"Gleich wo der Nachtkönig die  Medritat  Ist mein Erzeuger todt, so will ich auch nicht leben, – backe dich, du Ungeheuer, aus meinen Augen!",negative,emotions of rejection,"hate, disgust"
426,TextGrid/-Die_Enthauptung_des_weltberuehmten_Wohlredners_Ciceronis.xml,30224,30275,"Nur das Tringeld her, nacher will ich gleich gehen.",negative,emotions of rejection,anger
427,TextGrid/-Die_Enthauptung_des_weltberuehmten_Wohlredners_Ciceronis.xml,30277,30341,Galgen und Rad soll dir das Tringeld von Hencker gegeben werden.,positive,emotions of rejection,"hate, disgust"
428,TextGrid/-Die_Enthauptung_des_weltberuehmten_Wohlredners_Ciceronis.xml,30343,30434,"Davor bedancke ich mich; mein, gebt ein baar Ducaten her, es ist ia der Kopf so viel werth.",positive,emotions of suffering,admiration
429,TextGrid/-Die_Enthauptung_des_weltberuehmten_Wohlredners_Ciceronis.xml,30436,30518,"Du hast Recht, der Kopf ist unschätzbahr, darumb solstu auch eine Belohnung haben.",positive,emotions of joy,joy
430,TextGrid/-Die_Enthauptung_des_weltberuehmten_Wohlredners_Ciceronis.xml,30519,30531,Kome herbey.,negative,emotions of suffering,suffering
431,TextGrid/-Die_Enthauptung_des_weltberuehmten_Wohlredners_Ciceronis.xml,30533,30593,Hanß Wurscht gehet hinzu und sie gibt ihm ein baar Orfeigen.,negative,emotions of rejection,Schadenfreude
432,TextGrid/-Die_Enthauptung_des_weltberuehmten_Wohlredners_Ciceronis.xml,30635,30773,"hat seine lazzi, sagt endlich, er glaube es gantz gern, dann dergleichen Mintzen man nirgends annimbt, und also ihm lang verbleiben werde.",positive,emotions of joy,joy
433,TextGrid/-Die_Enthauptung_des_weltberuehmten_Wohlredners_Ciceronis.xml,30816,30829,Will abgehen.,negative,emotions of rejection,fear
434,TextGrid/-Die_Enthauptung_des_weltberuehmten_Wohlredners_Ciceronis.xml,30831,30880,"Verbleibe, Böswicht, und sage mir, wer es gethan.",negative,emotions of rejection,anger
435,TextGrid/-Die_Enthauptung_des_weltberuehmten_Wohlredners_Ciceronis.xml,30882,30946,"Es hat es nicht nöthig, es möchte noch mehr Tringelder absetzen.",negative,emotions of rejection,anger
436,TextGrid/-Die_Enthauptung_des_weltberuehmten_Wohlredners_Ciceronis.xml,30948,31045,"Ich befihle es, verbleibe, oder ich will dir so zutrinken, daß dir Sehen und Hören vergehen soll.",negative,emotions of rejection,anger
437,TextGrid/-Die_Enthauptung_des_weltberuehmten_Wohlredners_Ciceronis.xml,31047,31091,"Ihr seyd gar zu  oblichant, Marcus Antonius.",negative,emotions of rejection,admiration
438,TextGrid/-Die_Enthauptung_des_weltberuehmten_Wohlredners_Ciceronis.xml,31093,31099,Tulia.,emotional movement,emotional movement,emotional movement
439,TextGrid/-Die_Enthauptung_des_weltberuehmten_Wohlredners_Ciceronis.xml,31100,31111,Lauffet ab.,negative,emotions of rejection,anger
440,TextGrid/-Die_Enthauptung_des_weltberuehmten_Wohlredners_Ciceronis.xml,31113,31138,Ô unerhörte Grausambkeit!,negative,emotions of suffering,suffering
441,TextGrid/-Die_Enthauptung_des_weltberuehmten_Wohlredners_Ciceronis.xml,31139,31177,"Barbarischer  Marcus Antonius, Weinet.",negative,emotions of suffering,suffering
442,TextGrid/-Die_Enthauptung_des_weltberuehmten_Wohlredners_Ciceronis.xml,31178,31213,"Ciceronis, Julius Antonius, Weinet.",negative,emotions of suffering,suffering
443,TextGrid/-Die_Enthauptung_des_weltberuehmten_Wohlredners_Ciceronis.xml,31252,31268,Julius Antonius.,emotional movement,emotional movement,emotional movement
444,TextGrid/-Die_Enthauptung_des_weltberuehmten_Wohlredners_Ciceronis.xml,31270,31353,"Schönste Sonne, was vor eine dunckle Wolcken umbneblet Euern holdseelichen Antlitz?",negative,emotions of suffering,joy
445,TextGrid/-Die_Enthauptung_des_weltberuehmten_Wohlredners_Ciceronis.xml,31354,31443,Wischet nunmehro ab Euere zarte Thränen und befrolocket das Wohlsein Euers Herrn Vatters.,negative,emotions of suffering,suffering
446,TextGrid/-Die_Enthauptung_des_weltberuehmten_Wohlredners_Ciceronis.xml,31445,31489,(Wie sich der Nichtswürdige verstehlen kan!),negative,emotions of rejection,"hate, disgust"
447,TextGrid/-Die_Enthauptung_des_weltberuehmten_Wohlredners_Ciceronis.xml,31490,31570,"Ich weis alles, und die würdige Belohnung Euerer Verdiensten ist schon erkisßen.",positive,emotions of affection,admiration
448,TextGrid/-Die_Enthauptung_des_weltberuehmten_Wohlredners_Ciceronis.xml,31572,31644,"Von  Lucio 
                                        entzihet ihm solche.",positive,emotions of affection,admiration
449,TextGrid/-Die_Enthauptung_des_weltberuehmten_Wohlredners_Ciceronis.xml,31646,31678,Sparet solches zur anderen Zeit.,negative,emotions of rejection,anger
450,TextGrid/-Die_Enthauptung_des_weltberuehmten_Wohlredners_Ciceronis.xml,31680,31718,Der Vermeßene suchet mich zu bethören.,negative,emotions of suffering,"hate, disgust"
451,TextGrid/-Die_Enthauptung_des_weltberuehmten_Wohlredners_Ciceronis.xml,31720,31778,"Mit allen Fleis, und  Lucius Scipio  (Verlogner Böswicht!)",negative,emotions of rejection,anger
452,TextGrid/-Die_Enthauptung_des_weltberuehmten_Wohlredners_Ciceronis.xml,31780,31852,(Ihre Augen geben unter der Betrübnus ein Feuer der Rache zu verstehen.),negative,emotions of fear,suffering
453,TextGrid/-Die_Enthauptung_des_weltberuehmten_Wohlredners_Ciceronis.xml,31854,31897,(Du solst die Schuld des Vatters bezahlen.),negative,emotions of rejection,anger
