,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
1702,TextGrid/-Epicharis.xml,128481,128535,Die Straff ist nicht so schwer Als ihr Verbrechen ist.,negative,emotions of suffering,suffering
1703,TextGrid/-Epicharis.xml,128536,128915,Es werden schlechte Wunden Mit Oele von Jaßmin und Rosen nicht verbunden / Der Leib muß dulden Seg' / und Meßer / Pfrim und Brand Wenn nur ein Glied erkranckt / von wenig Körnern Sand / Wenn drey vier Tropften Blutt mehr als Natürlich brennen Und dieser Seuche Pest / die Haupt und Glider trennen / Der Seele schlimmster Krebs / der gantze Länder frißt / Sol linder seyn geheilt.,negative,emotions of suffering,suffering
1704,TextGrid/-Epicharis.xml,128916,129069,Wer frembde Fehler mißt / Aus Schatten kleiner Schuld mehr als Coloßen machet / Des Fürsten güttig Hertz zu Grimme veruhrsachet Ist ärgster Marter werth.,negative,emotions of rejection,"hate, disgust"
1705,TextGrid/-Epicharis.xml,129070,129097,Schaut mir den Häuchler an!,positive,emotions of joy,"hate, disgust"
1706,TextGrid/-Epicharis.xml,129098,129153,Was henckert man mehr die / die nicht mehr recheln kan?,negative,emotions of rejection,anger
1707,TextGrid/-Epicharis.xml,129154,129207,Sie mag / weil du der Pein begierig bist / verblasen.,negative,emotions of rejection,"hate, disgust"
1708,TextGrid/-Epicharis.xml,129208,129322,Die Rechnung ist gemacht: Daß strenger Hencker Rasen Nicht meiner schonen wird Wie / wird die Zauberin Ohnmächtig?,negative,emotions of fear,anger
1709,TextGrid/-Epicharis.xml,129323,129361,Lebt sie noch / so laßt sie gehen hin.,negative,emotions of suffering,love
1710,TextGrid/-Epicharis.xml,129362,129416,Sie hat verdient: Daß sie nebst Aaß und Koth verfaule.,negative,emotions of suffering,compassion
1711,TextGrid/-Epicharis.xml,129417,129467,Dem Gratus reißt die Zung aus dem vergiften Maule.,negative,emotions of rejection,"hate, disgust"
1712,TextGrid/-Epicharis.xml,129468,129650,Sie wird die Tyranney erst / wenn sie kalt wird seyn / Recht deutlich sprechen aus; Der stumme Marmelstein Wird eure Mordthat euch stets in die Ohren schreyen / Den Augen bilden für.,negative,emotions of rejection,"hate, disgust"
1713,TextGrid/-Epicharis.xml,129651,129707,Laßt uns den Hund anspeyen / Der nichts als Lästern kan.,negative,emotions of rejection,anger
1714,TextGrid/-Epicharis.xml,129708,129796,"Nun kan ich länger nicht 
                                        Dem Löwen leschen aus?",negative,emotions of rejection,love
1715,TextGrid/-Epicharis.xml,129797,129802,Halt!,negative,emotional movement,fear
1716,TextGrid/-Epicharis.xml,129803,129824,bistu Sinnloß worden?,negative,emotional movement,emotional movement
1717,TextGrid/-Epicharis.xml,129825,129851,Verrath dich selber nicht.,negative,emotions of rejection,anger
1718,TextGrid/-Epicharis.xml,129852,129932,Macht solch erschrecklich Morde Doch harte Steine weich / nur eure Herzen nicht.,negative,emotions of suffering,suffering
1719,TextGrid/-Epicharis.xml,129933,130015,Kommt dir dis seltzam vor: Daß man den Stock zerbricht Das sich nicht beugen läßt.,negative,emotions of suffering,suffering
1720,TextGrid/-Epicharis.xml,130016,130069,Verstockte Demant-Hertzen Enthärtet nichts als Blutt.,negative,emotions of suffering,anger
1721,TextGrid/-Epicharis.xml,130070,130153,Durch Eßig / Pech und Kertzen Zermalmt man Berg und Fels und härtsten Kiesel-Stein.,negative,emotions of rejection,suffering
1722,TextGrid/-Epicharis.xml,130154,130239,Ihr sämtlich werdet stracks des Gratus Beyspiel seyn / Wo ihr euch selbst nicht gebt.,negative,emotions of rejection,admiration
1723,TextGrid/-Epicharis.xml,130240,130268,Was solln wir mehr bekennen?,negative,emotions of suffering,love
1724,TextGrid/-Epicharis.xml,130269,130319,Den Meyneyd speien aus / die Mit-Verräther nennen.,negative,emotions of rejection,"hate, disgust"
1725,TextGrid/-Epicharis.xml,130320,130346,Auf wen ist nicht bekennt?,negative,emotions of suffering,emotional movement
1726,TextGrid/-Epicharis.xml,130347,130374,Da frage dich / nicht mich.,negative,emotions of rejection,anger
1727,TextGrid/-Epicharis.xml,130375,130431,So weiß ich keinen nicht / der mehr was weiß / als dich.,negative,emotions of affection,friendship
1728,TextGrid/-Epicharis.xml,130432,130443,Was sagstu?,emotional movement,emotions of rejection,emotional movement
1729,TextGrid/-Epicharis.xml,130444,130448,Was?,emotional movement,emotional movement,emotional movement
1730,TextGrid/-Epicharis.xml,130449,130488,sol ich / nein / wie sol ich was wißen?,negative,emotional movement,emotional movement
1731,TextGrid/-Epicharis.xml,130489,130540,Ja / Rufus / ja du wirst dich schuldig geben müßen.,negative,emotions of rejection,anger
1732,TextGrid/-Epicharis.xml,130541,130753,Mich wundert / was für Wahn dir dein Gehirn einnimmt Daß du aufs Käysers Tod so wol als ich gestimmt / Dich rein zu brennen meinst durch Schwefel scharffer Fragen Wird die verklagte Schaar dir ins Gesichte sagen.,negative,emotions of rejection,emotional movement
1733,TextGrid/-Epicharis.xml,130754,130795,Ja dein Gewißen muß dich selber geben an.,positive,emotions of fear,love
1734,TextGrid/-Epicharis.xml,130796,130815,Wer sagt dis sonst.,negative,emotions of rejection,anger
1735,TextGrid/-Epicharis.xml,130816,130825,Auch ich.,negative,emotions of suffering,suffering
1736,TextGrid/-Epicharis.xml,130826,130976,Der ich nicht leugnen kan: Nun ich durch Langsamkeit und Kleinmuth bin entdecket / Daß ich und Rufus hab im Bündnüße gestecket Was itzt verrathen ist.,negative,emotions of affection,suffering
1737,TextGrid/-Epicharis.xml,130977,131029,Hört / wie die Boßheit mag Die Unschuld wickeln ein.,negative,emotions of affection,"hate, disgust"
1738,TextGrid/-Epicharis.xml,131030,131241,Dein Stammeln gibt an Tag / Dein blaßes Antlitz lehrt / dein Zittern ist Verräther Des Anschlags / der dich nur darumb zum Ubelthäter Und uns zu Weibern macht; Weil wir den edlen Schluß So knechtisch außgeführt.,negative,emotions of rejection,"hate, disgust"
1739,TextGrid/-Epicharis.xml,131242,131403,Ich Furchtsamer selbst muß Mich für die Richtbanck stelln / und mich verurtheiln laßen / Weil ich was tapferers kan ins Gemütte faßen Als mit der Faust vollzihn.,negative,emotions of fear,fear
1740,TextGrid/-Epicharis.xml,131404,131483,Kommt Hencker strafft mich ab Weil ich den ersten Stich nicht dem Tyrannen gab.,negative,emotions of rejection,"hate, disgust"
1741,TextGrid/-Epicharis.xml,131484,131787,"Du Rufus aber must nicht eines Todes sterben / Weil du durchs Nero Blutt den scharffen Stahl zu färben Mehr Nachdruck / seine Brust entblößet / das Gemach 
                                        Dich itzt des Anschlags schämst / den alle rühmen müßen / Die nicht der Tiranney verzagt zu heucheln wißen.",negative,emotions of rejection,admiration
1742,TextGrid/-Epicharis.xml,131788,131831,Hört des Verzweifelten unsinnig Lästern an.,negative,emotions of rejection,"hate, disgust"
1743,TextGrid/-Epicharis.xml,131832,132043,Sagt aber ob ein Mensch vernünftig glauben kan Daß / der durchs Käysers Gunst zum höchsten Gipfel kommen Nicht höher steigen kan / solch Schelmstück fürgenommen / Sich auf des Fürsten Halß verschworen haben sol?,negative,emotions of rejection,anger
1744,TextGrid/-Epicharis.xml,132044,132069,Sagt den Bewegungs-Grund!,emotional movement,emotions of rejection,emotional movement
1745,TextGrid/-Epicharis.xml,132070,132094,Wißt ihr auch einen wol?,positive,emotions of affection,emotional movement
1746,TextGrid/-Epicharis.xml,132095,132221,Dis / daß dir Tigillin der Knecht ward fürgezogen; Daß Nero dir so sehr als ihm nicht war bewogen; Hat dich mit uns verknüpft.,positive,emotions of affection,love
1747,TextGrid/-Epicharis.xml,132222,132347,Drumb gib dich mit Geduld / Wie ich mich geben muß; und wetze deine Schuld Durch frey Bekäntnüs aus bey dem so guten Fürsten.,negative,emotions of rejection,anger
1748,TextGrid/-Epicharis.xml,132348,132449,Verräther / wilstu auch nach meinem Blutte dürsten / Nun nach des Käysers dich umbsonst gelüstet hat.,negative,emotions of rejection,"hate, disgust"
1749,TextGrid/-Epicharis.xml,132450,132531,Du stehst zu langsam umb die Sonnen-klare That / Und schärfft dir Straf und Pein.,negative,emotions of rejection,"hate, disgust"
1750,TextGrid/-Epicharis.xml,132532,132665,Sags ob dir das Geblütte Von der Epicharis / das du nebst uns tranckst mitte / Nicht noch im Gaumen klebt und auf der Zunge schwimmt.,positive,emotions of rejection,Schadenfreude
