,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
1375,TextGrid/-Liberata.xml,104816,104836,O übergrosser Trotz!,negative,emotions of suffering,anger
1376,TextGrid/-Liberata.xml,104837,104885,Verlacht dann Liberat deß grossen Gottes Schutz?,negative,emotional movement,fear
1377,TextGrid/-Liberata.xml,104886,104891,Auff!,negative,emotional movement,emotional movement
1378,TextGrid/-Liberata.xml,104892,104997,Weigre länger nicht die Andacht zu vollbringen / Sonst wird der Hencker dich mit tausend Martern zwingen!,negative,emotions of rejection,"hate, disgust"
1379,TextGrid/-Liberata.xml,105039,105124,Liberata betet kniende zu GOTT in den Himmel / der Statua den Rücken kehrende / also.,positive,emotions of affection,suffering
1380,TextGrid/-Liberata.xml,105125,105151,Ach Dreymahl-grosser GOTT!,negative,emotions of suffering,suffering
1381,TextGrid/-Liberata.xml,105152,105224,beweise deine Stärck Und deiner GOttheit Macht in diesem Glaubens-Werck!,positive,emotions of affection,admiration
1382,TextGrid/-Liberata.xml,105225,105332,Steh mir genädigst bey in dieser Unglücks-Stunde Und stürtze was dich schimpfft durch deinen Arm zu Grunde!,negative,emotions of suffering,suffering
1383,TextGrid/-Liberata.xml,105374,105518,Der Donner schlägt die Statuam des Jupiters in viel Stücke / welche Ramiro mit vielen Küßen von der Erden auffhebet und wieder aufs Altar leget.,positive,emotions of joy,admiration
1384,TextGrid/-Liberata.xml,105519,105541,Hilff grosser Jupiter!,positive,emotions of affection,emotional movement
1385,TextGrid/-Liberata.xml,105542,105563,Was leider sehen Wir!,negative,emotions of suffering,suffering
1386,TextGrid/-Liberata.xml,105564,105596,Welch Blitz schlägt auffs Altar?,emotional movement,emotional movement,emotional movement
1387,TextGrid/-Liberata.xml,105597,105620,Jhr grossen Götter jhr!,positive,emotions of affection,admiration
1388,TextGrid/-Liberata.xml,105621,105670,Wird dises Bild entweiht durch Liberatens Sünden?,negative,emotions of suffering,emotional movement
1389,TextGrid/-Liberata.xml,105671,105675,Wie?,emotional movement,emotional movement,emotional movement
1390,TextGrid/-Liberata.xml,105676,105721,Sol sich größre Pein der Frevlerin verbinden?,negative,emotions of suffering,"hate, disgust"
1391,TextGrid/-Liberata.xml,105722,105726,Wie?,emotional movement,emotional movement,emotional movement
1392,TextGrid/-Liberata.xml,105727,105872,Oder ist vielleicht verfluchte Zauberey / Durch welche offters sich die Christen machen frey Von der verdienten Qvahl / in disem Werck verborgen?,negative,emotions of rejection,"hate, disgust"
1393,TextGrid/-Liberata.xml,105873,105896,Jhr grossen Götter Jhr!,positive,emotions of affection,admiration
1394,TextGrid/-Liberata.xml,105897,105925,Benehmt mir doch die Sorgen!,negative,emotions of fear,fear
1395,TextGrid/-Liberata.xml,105926,105954,So ists großmächt'ger Fürst!,negative,emotions of affection,admiration
1396,TextGrid/-Liberata.xml,105955,106030,Der Christen schnöde Schaar Baut offt durch Zauberey dem Teuffel ein Altar.,negative,emotions of rejection,"hate, disgust"
1397,TextGrid/-Liberata.xml,106031,106082,Die meisten Christen sind die grösten Hexenmeister!,positive,emotions of rejection,"hate, disgust"
