,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
1449,TextGrid/-Mariamne.xml,109542,109594,Der Laster Mühl-Stein liegt auff unsrer Seele nicht.,negative,emotions of suffering,suffering
1450,TextGrid/-Mariamne.xml,109595,109645,Wie daß dein frecher Mund die Fürstin so verficht?,negative,emotions of rejection,anger
1451,TextGrid/-Mariamne.xml,109646,109704,Weil Recht und Himmel selbst vor jhre Keuschheit streiten.,negative,emotions of rejection,love
1452,TextGrid/-Mariamne.xml,109705,109752,Man muß verstimmen dir die auffgezognen Seiten.,negative,emotions of rejection,anger
1453,TextGrid/-Mariamne.xml,109753,109810,So ists: Wer Wahrheit geigt / dem schimpfft man die Viol.,negative,emotions of rejection,anger
1454,TextGrid/-Mariamne.xml,109811,109867,Den Fürsten geigt man nicht / wie man sonst geigen soll.,negative,emotions of rejection,anger
1455,TextGrid/-Mariamne.xml,109868,109876,Bekennt!,negative,emotions of suffering,compassion
1456,TextGrid/-Mariamne.xml,109877,109929,sonst wird euch Schmach und Pein und Marter zwingen!,negative,emotions of rejection,"hate, disgust"
1457,TextGrid/-Mariamne.xml,109930,109989,Die Marter wird auß uns / was nie geschehn / nicht bringen.,negative,emotions of fear,suffering
1458,TextGrid/-Mariamne.xml,109990,110036,Hast du dem Tyridat mein Eh-Bett nie entdeckt?,positive,emotions of rejection,"hate, disgust"
1459,TextGrid/-Mariamne.xml,110037,110091,Der Abgrund thu sich auff / wo mich die That befleckt!,negative,emotions of fear,despair
1460,TextGrid/-Mariamne.xml,110092,110133,Hat Mariamne auch nie den Sohem geküsset?,positive,emotions of affection,love
1461,TextGrid/-Mariamne.xml,110134,110188,Wol diesem / der sich stets nach reiner Tugend misset!,negative,emotions of rejection,suffering
1462,TextGrid/-Mariamne.xml,110189,110240,So mässe / Lügner / euch deß Henckers Folter-Banck.,negative,emotions of rejection,"hate, disgust"
1463,TextGrid/-Mariamne.xml,110241,110291,Die Unschuld wird gekrönt durch ungerechten Zwang.,negative,emotions of suffering,suffering
1464,TextGrid/-Mariamne.xml,110292,110351,Bringt Pech / und Zangen her / und hell-entflammte Kertzen.,negative,emotions of rejection,anger
1465,TextGrid/-Mariamne.xml,110352,110407,Ein rein Gewissen lacht auch in den größten Schmertzen.,positive,emotions of joy,joy
1466,TextGrid/-Mariamne.xml,110408,110461,Es wird dich bald vergehn: Strengt die Verdammten an!,negative,emotions of rejection,"hate, disgust"
