,pre1_tag_type,pre1_tag_type_percentage
Schadenfreude,157,0.48503197503784484
abhorrence,1172,3.620748246779326
"admiration, reverence",907,2.8020637029256386
anger,2040,6.3023262998547995
being moved,1906,5.88834996447218
compassion,339,1.0472983410052827
desire,5,0.015446878185918625
despair,140,0.43251258920572155
fear,643,1.9864685347091353
friendship,324,1.000957706447527
joy,1681,5.193240446105842
love,1543,4.766906608174488
no_annotation,19693,60.8390744230591
suffering,1819,5.619574284037196
