,kasperl_pre1_tag_type,kasperl_pre1_tag_type_percentage,comedies1740_1770_pre1_tag_type,comedies1740_1770_pre1_tag_type_percentage,typecomedies_pre1_tag_type,typecomedies_pre1_tag_type_percentage
Schadenfreude,434,2.5796481217308607,157,1.238561060271379,131.0,1.5842302575885838
abhorrence,1415,8.410603899191631,1172,9.24581887030609,708.0,8.562099407425324
"admiration, reverence",1091,6.4847836424155965,907,7.155254023351215,502.0,6.070867093965413
anger,2798,16.631003328578224,2040,16.093404859577156,1610.0,19.470310799371145
being moved,2676,15.905848787446505,1906,15.036289050173558,1407.0,17.015358568146087
compassion,345,2.0506419400855918,339,2.6743452193120856,181.0,2.188898294836135
desire,26,0.15454113171659534,5,0.039444619753865574,,
despair,160,0.9510223490252021,140,1.1044493531082362,74.0,0.8949086951263755
fear,1040,6.1816452686638135,643,5.072578100347112,458.0,5.5387592211875685
friendship,259,1.539467427484546,324,2.5560113600504892,99.0,1.1972427137501511
joy,2741,16.292201616737994,1681,13.261281161249606,1186.0,14.34272584351191
love,1822,10.82976699952449,1543,12.172609656042916,629.0,7.6067239085741924
suffering,2017,11.988825487398953,1819,14.349952666456295,1284.0,15.527875196517114
