,Unnamed: 0,Unnamed: 0.1,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,genre,subgenre,date,pre1_base_polarity,pre1_main_emotion_class
2507,2507,2507,GerDracor/cronegk-der-misstrauische.xml,"Timant, Philipp, Geronte, Orgon, Climene, Damon, Lisette.",0,57,stage_direction,5,8,pre_speech,,,,,no_annotation,K,,1766.0,no_annotation,no_annotation
2508,2508,2508,GerDracor/cronegk-der-misstrauische.xml,hält Climenen auf.,0,18,stage_direction,5,8,speech_part,,#timant,670.0,MALE,no_annotation,K,,1766.0,no_annotation,no_annotation
2509,2509,2509,GerDracor/cronegk-der-misstrauische.xml,"Wohin eilen Sie, gnädiges Fräulein?",0,35,character_speech,5,8,,TIMANT,#timant,670.0,MALE,no_annotation,K,,1766.0,no_annotation,no_annotation
2510,2510,2510,GerDracor/cronegk-der-misstrauische.xml,"Erlauben Sie, daß ich Sie einige Augenblicke
              aufhalte.",36,104,character_speech,5,8,,TIMANT,#timant,670.0,MALE,no_annotation,K,,1766.0,no_annotation,no_annotation
2511,2511,2511,GerDracor/cronegk-der-misstrauische.xml,"Ihre Gegenwart ist diesesmal zu nöthig: es wird Sie nicht reuen, sich
              aufgehalten zu haben.",105,210,character_speech,5,8,,TIMANT,#timant,670.0,MALE,no_annotation,K,,1766.0,no_annotation,no_annotation
2512,2512,2512,GerDracor/cronegk-der-misstrauische.xml,"– Auch Sie sind hier, liebster Freund, großmüthiger Damon!",211,269,character_speech,5,8,,TIMANT,#timant,670.0,MALE,no_annotation,K,,1766.0,no_annotation,no_annotation
2513,2513,2513,GerDracor/cronegk-der-misstrauische.xml,Kommen Sie in meine Arme.,284,309,character_speech,5,8,,TIMANT,#timant,670.0,MALE,joy,K,,1766.0,positive,emotions of pleasure
2514,2514,2514,GerDracor/cronegk-der-misstrauische.xml,Sie umarmen einander.,0,21,stage_direction,5,8,speech_part,,#timant,670.0,MALE,joy,K,,1766.0,positive,emotions of pleasure
2515,2515,2515,GerDracor/cronegk-der-misstrauische.xml,"Sie weinen, Damon?",0,18,character_speech,5,8,,TIMANT,#timant,670.0,MALE,suffering,K,,1766.0,negative,emotions of suffering and empathy
2516,2516,2516,GerDracor/cronegk-der-misstrauische.xml,Ist es aus Schmerz oder aus Zärtlichkeit?,19,60,character_speech,5,8,,TIMANT,#timant,670.0,MALE,suffering,K,,1766.0,negative,emotions of suffering and empathy
2517,2517,2517,GerDracor/cronegk-der-misstrauische.xml,"Sie werden mich jetzo
              kennen lernen.",61,111,character_speech,5,8,,TIMANT,#timant,670.0,MALE,no_annotation,K,,1766.0,no_annotation,no_annotation
2518,2518,2518,GerDracor/cronegk-der-misstrauische.xml,"Sie haben mich gelehrt, mich selbst zu kennen.",112,158,character_speech,5,8,,TIMANT,#timant,670.0,MALE,no_annotation,K,,1766.0,no_annotation,no_annotation
2519,2519,2519,GerDracor/cronegk-der-misstrauische.xml,Gnädiger Herr Vater!,159,179,character_speech,5,8,,TIMANT,#timant,670.0,MALE,no_annotation,K,,1766.0,no_annotation,no_annotation
