,Unnamed: 0,Unnamed: 0.1,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,genre,subgenre,date,pre1_base_polarity,pre1_main_emotion_class
2142,2142,2142,GerDracor/kleist-der-zerbrochene-krug.xml,Die Vorigen ohne Licht.,0,23,stage_direction,1,13,pre_speech,,,,,no_annotation,K,,1808.0,no_annotation,no_annotation
2143,2143,2143,GerDracor/kleist-der-zerbrochene-krug.xml,"
            Sagt doch, gestrenger Herr, wo find ich auch
            Den Sitz in Utrecht der Regierung?",0,104,character_speech,1,13,,FRAU MARTHE.,#frau_marthe,998.0,FEMALE,no_annotation,K,,1808.0,no_annotation,no_annotation
2144,2144,2144,GerDracor/kleist-der-zerbrochene-krug.xml,"Weshalb, Frau Marthe?",0,21,character_speech,1,13,,WALTER.,#walter,999.0,MALE,no_annotation,K,,1808.0,no_annotation,no_annotation
2145,2145,2145,GerDracor/kleist-der-zerbrochene-krug.xml,empfindlich.,0,12,stage_direction,1,13,speech_part,,#frau_marthe,1000.0,FEMALE,being moved,K,,1808.0,being moved,being moved
2146,2146,2146,GerDracor/kleist-der-zerbrochene-krug.xml,"
            Hm!",0,16,character_speech,1,13,,FRAU MARTHE,#frau_marthe,1000.0,FEMALE,no_annotation,K,,1808.0,no_annotation,no_annotation
2147,2147,2147,GerDracor/kleist-der-zerbrochene-krug.xml,Weshalb?,17,25,character_speech,1,13,,FRAU MARTHE,#frau_marthe,1000.0,FEMALE,no_annotation,K,,1808.0,no_annotation,no_annotation
2148,2148,2148,GerDracor/kleist-der-zerbrochene-krug.xml,"Ich weiß nicht –
            Soll hier dem Kruge nicht sein Recht geschehn?",26,101,character_speech,1,13,,FRAU MARTHE,#frau_marthe,1000.0,FEMALE,anger,K,,1808.0,negative,emotions of rejection
2149,2149,2149,GerDracor/kleist-der-zerbrochene-krug.xml,"
            Verzeiht mir!",0,26,character_speech,1,13,,WALTER.,#walter,1001.0,MALE,no_annotation,K,,1808.0,no_annotation,no_annotation
2150,2150,2150,GerDracor/kleist-der-zerbrochene-krug.xml,Allerdings.,27,38,character_speech,1,13,,WALTER.,#walter,1001.0,MALE,no_annotation,K,,1808.0,no_annotation,no_annotation
2151,2151,2151,GerDracor/kleist-der-zerbrochene-krug.xml,"Am großen Markt,
            Und Dienstag ist und Freitag Session.",39,105,character_speech,1,13,,WALTER.,#walter,1001.0,MALE,no_annotation,K,,1808.0,no_annotation,no_annotation
2152,2152,2152,GerDracor/kleist-der-zerbrochene-krug.xml,Gut!,0,4,character_speech,1,13,,FRAU MARTHE.,#frau_marthe,1002.0,FEMALE,no_annotation,K,,1808.0,no_annotation,no_annotation
2153,2153,2153,GerDracor/kleist-der-zerbrochene-krug.xml,Auf die Woche stell ich dort mich ein.,5,43,character_speech,1,13,,FRAU MARTHE.,#frau_marthe,1002.0,FEMALE,no_annotation,K,,1808.0,no_annotation,no_annotation
2154,2154,2154,GerDracor/kleist-der-zerbrochene-krug.xml,Alle ab.,0,8,stage_direction,1,13,speech_part,,#frau_marthe,1002.0,FEMALE,no_annotation,K,,1808.0,no_annotation,no_annotation
