,Unnamed: 0,Unnamed: 0.1,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,pre1_base_polarity,pre1_main_emotion_class
3052,3052,3052,GerDracor/kotzebue-pagenstreiche.xml,"Page, Berg, Busch, Thal, Annlieschen, Stiefel, Vorige.",0,54,stage_direction,5,7,pre_speech,,,,,no_annotation,no_annotation,no_annotation
3053,3053,3053,GerDracor/kotzebue-pagenstreiche.xml,(küßt dem Baron die Hand),0,25,stage_direction,5,7,speech_part,,#page,1395.0,MALE,"admiration, reverence",positive,emotions of affection
3054,3054,3054,GerDracor/kotzebue-pagenstreiche.xml,"Ach, gnädiger Onkel!",0,20,character_speech,5,7,,Page.,#page,1395.0,MALE,suffering,negative,emotions of suffering and empathy
3055,3055,3055,GerDracor/kotzebue-pagenstreiche.xml,Sie sind versöhnt?,21,39,character_speech,5,7,,Page.,#page,1395.0,MALE,no_annotation,no_annotation,no_annotation
3056,3056,3056,GerDracor/kotzebue-pagenstreiche.xml,(mit erzwungener Freundlichkeit),0,32,stage_direction,5,7,speech_part,,#baron,1396.0,MALE,friendship,positive,emotions of affection
3057,3057,3057,GerDracor/kotzebue-pagenstreiche.xml,"Ja, mein lieber Vetter!",0,23,character_speech,5,7,,Bar.,#baron,1396.0,MALE,no_annotation,no_annotation,no_annotation
3058,3058,3058,GerDracor/kotzebue-pagenstreiche.xml,"Er ist zwar ein muthwilliger Bursche, aber – Er hat doch nun
              einmahl die Ehre, einer Familie anzugehören,",24,143,character_speech,5,7,,Bar.,#baron,1396.0,MALE,no_annotation,no_annotation,no_annotation
3059,3059,3059,GerDracor/kotzebue-pagenstreiche.xml,"(mit einem Blicke auf die
                Bilder)",0,49,stage_direction,5,7,inner_speech,,#baron,1396.0,MALE,no_annotation,no_annotation,no_annotation
3060,3060,3060,GerDracor/kotzebue-pagenstreiche.xml, vor der ich allen Respekt habe.,0,32,character_speech,5,7,,Bar.,#baron,1396.0,MALE,"admiration, reverence",positive,emotions of affection
3061,3061,3061,GerDracor/kotzebue-pagenstreiche.xml,"Da man nun nicht wissen kann, wie
              lange man lebt, so wollen wir auch nicht im Groll von einander scheiden.",33,153,character_speech,5,7,,Bar.,#baron,1396.0,MALE,no_annotation,no_annotation,no_annotation
3062,3062,3062,GerDracor/kotzebue-pagenstreiche.xml,"Thu' Er mir
              den Gefallen, lieber Vetter!",154,208,character_speech,5,7,,Bar.,#baron,1396.0,MALE,friendship,positive,emotions of affection
3063,3063,3063,GerDracor/kotzebue-pagenstreiche.xml,und nehm' Er hundert Dukaten Reisegeld von mir an.,209,259,character_speech,5,7,,Bar.,#baron,1396.0,MALE,no_annotation,no_annotation,no_annotation
3064,3064,3064,GerDracor/kotzebue-pagenstreiche.xml,"Nein, gnädiger Onkel!",0,21,character_speech,5,7,,Page.,#page,1397.0,MALE,no_annotation,no_annotation,no_annotation
3065,3065,3065,GerDracor/kotzebue-pagenstreiche.xml,Bewahre der Himmel!,22,41,character_speech,5,7,,Page.,#page,1397.0,MALE,no_annotation,no_annotation,no_annotation
3066,3066,3066,GerDracor/kotzebue-pagenstreiche.xml,das thue ich nicht.,42,61,character_speech,5,7,,Page.,#page,1397.0,MALE,no_annotation,no_annotation,no_annotation
3067,3067,3067,GerDracor/kotzebue-pagenstreiche.xml,"Sey Er so gut, lieber Vetter!",0,29,character_speech,5,7,,Bar.,#baron,1398.0,MALE,"admiration, reverence",positive,emotions of affection
3068,3068,3068,GerDracor/kotzebue-pagenstreiche.xml,nehm' Er's ohne Umstände.,30,55,character_speech,5,7,,Bar.,#baron,1398.0,MALE,no_annotation,no_annotation,no_annotation
3069,3069,3069,GerDracor/kotzebue-pagenstreiche.xml,"Nein, das würde eigennützig aussehn.",0,36,character_speech,5,7,,Page.,#page,1399.0,MALE,no_annotation,no_annotation,no_annotation
3070,3070,3070,GerDracor/kotzebue-pagenstreiche.xml,Mir genügt schon an Ihrer Liebe.,37,69,character_speech,5,7,,Page.,#page,1399.0,MALE,love,positive,emotions of affection
3071,3071,3071,GerDracor/kotzebue-pagenstreiche.xml,Aber wenn ich Ihn recht sehr darum bitte.,0,41,character_speech,5,7,,Bar.,#baron,1400.0,MALE,no_annotation,no_annotation,no_annotation
3072,3072,3072,GerDracor/kotzebue-pagenstreiche.xml,Nimmermehr!,0,11,character_speech,5,7,,Page.,#page,1401.0,MALE,suffering,negative,emotions of suffering and empathy
3073,3073,3073,GerDracor/kotzebue-pagenstreiche.xml,(ängstlich),0,11,stage_direction,5,7,speech_part,,#baron,1402.0,MALE,fear,negative,emotions of anxiety
3074,3074,3074,GerDracor/kotzebue-pagenstreiche.xml,Aber ins Teufelsnahmen!,0,23,character_speech,5,7,,Bar.,#baron,1402.0,MALE,no_annotation,no_annotation,no_annotation
3075,3075,3075,GerDracor/kotzebue-pagenstreiche.xml,ich will es so haben!,24,45,character_speech,5,7,,Bar.,#baron,1402.0,MALE,love,positive,emotions of affection
