,Unnamed: 0,Unnamed: 0.1,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,genre,subgenre,date,pre1_base_polarity,pre1_main_emotion_class
1947,1947,1947,GerDracor/raimund-das-maedchen-aus-der-feenwelt.xml,Der Haß.,0,8,stage_direction,3,7,pre_speech,,,,,abhorrence,K,,1826.0,negative,emotions of rejection
1948,1948,1948,GerDracor/raimund-das-maedchen-aus-der-feenwelt.xml,Vorige.,9,16,stage_direction,3,7,pre_speech,,,,,no_annotation,K,,1826.0,no_annotation,no_annotation
1949,1949,1949,GerDracor/raimund-das-maedchen-aus-der-feenwelt.xml,Was geht hier vor?,0,18,character_speech,3,7,,HASS.,#hass,571.0,UNKNOWN,being moved,K,,1826.0,being moved,being moved
1950,1950,1950,GerDracor/raimund-das-maedchen-aus-der-feenwelt.xml,"Zurück von ihm, oder ich vernichte dich!",19,59,character_speech,3,7,,HASS.,#hass,571.0,UNKNOWN,abhorrence,K,,1826.0,negative,emotions of rejection
1951,1951,1951,GerDracor/raimund-das-maedchen-aus-der-feenwelt.xml,Kennst du den Haß?,60,78,character_speech,3,7,,HASS.,#hass,571.0,UNKNOWN,abhorrence,K,,1826.0,negative,emotions of rejection
1952,1952,1952,GerDracor/raimund-das-maedchen-aus-der-feenwelt.xml,Schlägt auf seine Brust.,0,24,stage_direction,3,7,speech_part,,#hass,571.0,UNKNOWN,no_annotation,K,,1826.0,no_annotation,no_annotation
1953,1953,1953,GerDracor/raimund-das-maedchen-aus-der-feenwelt.xml,fest.,0,5,stage_direction,3,7,speech_part,,#zufriedenheit,572.0,UNKNOWN,no_annotation,K,,1826.0,no_annotation,no_annotation
1954,1954,1954,GerDracor/raimund-das-maedchen-aus-der-feenwelt.xml,Nein!,0,5,character_speech,3,7,,ZUFRIEDENHEIT,#zufriedenheit,572.0,UNKNOWN,no_annotation,K,,1826.0,no_annotation,no_annotation
1955,1955,1955,GerDracor/raimund-das-maedchen-aus-der-feenwelt.xml,denn ich bin die Zufriedenheit.,6,37,character_speech,3,7,,ZUFRIEDENHEIT,#zufriedenheit,572.0,UNKNOWN,love,K,,1826.0,positive,emotions of affection
1956,1956,1956,GerDracor/raimund-das-maedchen-aus-der-feenwelt.xml,erschrickt.,0,11,stage_direction,3,7,speech_part,,#hass,573.0,UNKNOWN,fear,K,,1826.0,negative,emotions of anxiety
1957,1957,1957,GerDracor/raimund-das-maedchen-aus-der-feenwelt.xml,"Pardon, Mademoiselle!",0,21,character_speech,3,7,,HASS,#hass,573.0,UNKNOWN,no_annotation,K,,1826.0,no_annotation,no_annotation
