,Unnamed: 0,Unnamed: 0.1,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,pre1_base_polarity,pre1_main_emotion_class,genre,subgenre
1749,1749,1749,Kasperl/Hensler_Der Großvater_korr.csv,"
      Vorige, der König mit Gefolge.",0,37,stage_direction,4,11,pre_speech,,,,,no_annotation,no_annotation,no_annotation,comedy,KK
1750,1750,1750,Kasperl/Hensler_Der Großvater_korr.csv,(Alle stürzen zu seinen Füssen),38,69,stage_direction,4,11,pre_speech,,,,,"admiration, reverence",positive,emotions of affection,comedy,KK
1751,1751,1751,Kasperl/Hensler_Der Großvater_korr.csv,"
       Steht auf, gute Menschen!",0,33,character_speech,4,11,,"
       König.
      ",#könig,656.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
1752,1752,1752,Kasperl/Hensler_Der Großvater_korr.csv,ich dank’ euch für eure Wünsche –,34,67,character_speech,4,11,,"
       König.
      ",#könig,656.0,UNKNOWN,joy,positive,emotions of pleasure,comedy,KK
1753,1753,1753,Kasperl/Hensler_Der Großvater_korr.csv,"
        (zu Niklas und Lise)",0,29,stage_direction,4,11,inner_speech,,#könig,656.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
1754,1754,1754,Kasperl/Hensler_Der Großvater_korr.csv,"
       Kommt, alten Leute!",0,27,character_speech,4,11,,"
       König.
      ",#könig,656.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
1755,1755,1755,Kasperl/Hensler_Der Großvater_korr.csv,"macht euch lustig; singt – tantzt und springet, und laßt mich den heutigen Tag unter einen der glücklichsten meines Lebens zählen –",28,159,character_speech,4,11,,"
       König.
      ",#könig,656.0,UNKNOWN,joy,positive,emotions of pleasure,comedy,KK
1756,1756,1756,Kasperl/Hensler_Der Großvater_korr.csv,"
       Gnädigster König!",0,25,character_speech,4,11,,"
       Niklas.
      ",#niklas,657.0,UNKNOWN,"admiration, reverence",positive,emotions of affection,comedy,KK
1757,1757,1757,Kasperl/Hensler_Der Großvater_korr.csv,"
       (zittert)",0,17,stage_direction,4,11,speech_part,,#lise,658.0,UNKNOWN,fear,negative,emotions of anxiety,comedy,KK
1758,1758,1758,Kasperl/Hensler_Der Großvater_korr.csv,"
       O mein Gott!",0,20,character_speech,4,11,,"
       Lise.
      ",#lise,658.0,UNKNOWN,fear,negative,emotions of anxiety,comedy,KK
1759,1759,1759,Kasperl/Hensler_Der Großvater_korr.csv,wie ist mir?,21,33,character_speech,4,11,,"
       Lise.
      ",#lise,658.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
1760,1760,1760,Kasperl/Hensler_Der Großvater_korr.csv,ich bin schwach – Alter!,34,58,character_speech,4,11,,"
       Lise.
      ",#lise,658.0,UNKNOWN,suffering,negative,emotions of suffering and empathy,comedy,KK
1761,1761,1761,Kasperl/Hensler_Der Großvater_korr.csv,gieb mir ein Glas Wein –,59,83,character_speech,4,11,,"
       Lise.
      ",#lise,658.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
1762,1762,1762,Kasperl/Hensler_Der Großvater_korr.csv,"
       (der König winckt, die Musik beginnt.)",0,46,stage_direction,4,11,speech_part,,#lise,658.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
1763,1763,1763,Kasperl/Hensler_Der Großvater_korr.csv,"
       Alte Liese!",0,19,character_speech,4,11,,"
       Niklas.
      ",#niklas,659.0,UNKNOWN,being moved,being moved,being moved,comedy,KK
