,Unnamed: 0,Unnamed: 0.1,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,pre1_base_polarity,pre1_main_emotion_class
636,636,636,TextGrid/-Orpheus_oder_Die_wunderbare_Bestaendigkeit_der_Liebe.xml,"
                                       mit ihrem Gefolge.",0,58,stage_direction,3,28,speech_part,,,1.0,UNKNOWN,no_annotation,no_annotation,no_annotation
637,637,637,TextGrid/-Orpheus_oder_Die_wunderbare_Bestaendigkeit_der_Liebe.xml,"
                                       So ist nun Orpheus todt!",0,64,character_speech,3,28,,ORASIA,ORASIA,1.0,UNKNOWN,Schadenfreude,positive,emotions of pleasure
638,638,638,TextGrid/-Orpheus_oder_Die_wunderbare_Bestaendigkeit_der_Liebe.xml,Ich Unglückselige!,104,122,character_speech,3,28,,ORASIA,ORASIA,1.0,UNKNOWN,suffering,negative,emotions of suffering and empathy
639,639,639,TextGrid/-Orpheus_oder_Die_wunderbare_Bestaendigkeit_der_Liebe.xml,was hab' ich doch gethan?,123,148,character_speech,3,28,,ORASIA,ORASIA,1.0,UNKNOWN,being moved,being moved,being moved
640,640,640,TextGrid/-Orpheus_oder_Die_wunderbare_Bestaendigkeit_der_Liebe.xml,Was greift mich itzt für neue Marter an?,188,228,character_speech,3,28,,ORASIA,ORASIA,1.0,UNKNOWN,suffering,negative,emotions of suffering and empathy
641,641,641,TextGrid/-Orpheus_oder_Die_wunderbare_Bestaendigkeit_der_Liebe.xml,"Durch seinen Tod gedacht' ich Ruhe zu erlangen;
                                       Doch scheinet meine Qual nun erst recht anzufangen.",268,406,character_speech,3,28,,ORASIA,ORASIA,1.0,UNKNOWN,suffering,negative,emotions of suffering and empathy
642,642,642,TextGrid/-Orpheus_oder_Die_wunderbare_Bestaendigkeit_der_Liebe.xml,"In diesem Augenblick
                                       Fühl' ich all meinen Zorn verschwinden.",446,545,character_speech,3,28,,ORASIA,ORASIA,1.0,UNKNOWN,anger,negative,emotions of rejection
643,643,643,TextGrid/-Orpheus_oder_Die_wunderbare_Bestaendigkeit_der_Liebe.xml,"Dagegen kehrt die Lieb' aufs neu zurück
                                       Mich unweit heftiger als vormals zu entzünden.",585,710,character_speech,3,28,,ORASIA,ORASIA,1.0,UNKNOWN,love,positive,emotions of affection
644,644,644,TextGrid/-Orpheus_oder_Die_wunderbare_Bestaendigkeit_der_Liebe.xml,"Wobey mich noch in gröste Qual versetzt
                                       Daß Orpheus nun was einzig sein Verlangen
                                       Mit Eurydice sich vergnügt ergetzt.",750,945,character_speech,3,28,,ORASIA,ORASIA,1.0,UNKNOWN,joy,positive,emotions of pleasure
645,645,645,TextGrid/-Orpheus_oder_Die_wunderbare_Bestaendigkeit_der_Liebe.xml,"
                                       Die Gespenster des Orpheus und der Eurydice erscheinen ihr von weiten und man höret ein starkes Seufzen aus dem Gehölze.",0,160,stage_direction,3,28,speech_part,,,1.0,UNKNOWN,despair,negative,emotions of anxiety
