,Unnamed: 0,Unnamed: 0.1,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,genre,subgenre,date,pre1_base_polarity,pre1_main_emotion_class
3200,3200,3200,GerDracor/kotzebue-die-spanier-in-peru.xml,Ein Peruaner.,0,13,stage_direction,5,9,pre_speech,,,,,no_annotation,T,,1794.0,no_annotation,no_annotation
3201,3201,3201,GerDracor/kotzebue-die-spanier-in-peru.xml,Rolla (gleich nachher).,14,37,stage_direction,5,9,pre_speech,,,,,no_annotation,T,,1794.0,no_annotation,no_annotation
3202,3202,3202,GerDracor/kotzebue-die-spanier-in-peru.xml,Rolla kömmt!,0,12,character_speech,5,9,,Der Peruaner.,#ein_peruaner_5-9,1529.0,MALE,fear,T,,1794.0,negative,emotions of anxiety
3203,3203,3203,GerDracor/kotzebue-die-spanier-in-peru.xml,Rolla!,0,6,character_speech,5,9,,Atal. und Alonzo.,#ataliba #alonzo,1530.0,UNKNOWN,no_annotation,T,,1794.0,no_annotation,no_annotation
3204,3204,3204,GerDracor/kotzebue-die-spanier-in-peru.xml,"(wankt auf die Bühne, mit Todtenblässe bedeckt, in seiner Rechten das blutige
              Schwert, in seinem linken Arm das Kind).",0,132,stage_direction,5,9,speech_part,,#rolla,1531.0,MALE,suffering,T,,1794.0,negative,emotions of suffering and empathy
3205,3205,3205,GerDracor/kotzebue-die-spanier-in-peru.xml,Gott!,0,5,character_speech,5,9,,Atal.,#ataliba,1532.0,MALE,being moved,T,,1794.0,being moved,being moved
3206,3206,3206,GerDracor/kotzebue-die-spanier-in-peru.xml,was ist das!,6,18,character_speech,5,9,,Atal.,#ataliba,1532.0,MALE,being moved,T,,1794.0,being moved,being moved
3207,3207,3207,GerDracor/kotzebue-die-spanier-in-peru.xml,(Alle schaudern.),0,17,stage_direction,5,9,inner_speech,,#ataliba,1532.0,MALE,fear,T,,1794.0,negative,emotions of anxiety
3208,3208,3208,GerDracor/kotzebue-die-spanier-in-peru.xml,"(schwer verwundet, sinkt einige Mal in die Knie, ehe er sich der ohnmächtigen
              Cora nähern kann.",0,109,stage_direction,5,9,speech_part,,#rolla,1533.0,MALE,suffering,T,,1794.0,negative,emotions of suffering and empathy
3209,3209,3209,GerDracor/kotzebue-die-spanier-in-peru.xml,Er ruft mit schwacher Stimme).,110,140,stage_direction,5,9,speech_part,,#rolla,1533.0,MALE,no_annotation,T,,1794.0,no_annotation,no_annotation
