,Unnamed: 0,Unnamed: 0.1,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,pre1_base_polarity,pre1_main_emotion_class
2525,2525,2525,GerDracor/lessing-miss-sara-sampson.xml,Norton.,0,7,stage_direction,5,11,pre_speech,,,,,no_annotation,no_annotation,no_annotation
2526,2526,2526,GerDracor/lessing-miss-sara-sampson.xml,Die Vorigen.,8,20,stage_direction,5,11,pre_speech,,,,,no_annotation,no_annotation,no_annotation
2527,2527,2527,GerDracor/lessing-miss-sara-sampson.xml,"Ärzte, Sir.",0,11,character_speech,5,11,,NORTON.,#norton,689.0,MALE,no_annotation,no_annotation,no_annotation
2528,2528,2528,GerDracor/lessing-miss-sara-sampson.xml,–,12,13,character_speech,5,11,,NORTON.,#norton,689.0,MALE,no_annotation,no_annotation,no_annotation
2529,2529,2529,GerDracor/lessing-miss-sara-sampson.xml,"Wenn sie Wunder tun können, so laß sie herein kommen!",0,53,character_speech,5,11,,SIR WILLIAM.,#sir_william,690.0,MALE,no_annotation,no_annotation,no_annotation
2530,2530,2530,GerDracor/lessing-miss-sara-sampson.xml,"– Laß mich nicht länger,
              Waitwell, bei diesem tötenden Anblicke verweilen.",54,142,character_speech,5,11,,SIR WILLIAM.,#sir_william,690.0,MALE,no_annotation,no_annotation,no_annotation
2531,2531,2531,GerDracor/lessing-miss-sara-sampson.xml,Ein Grab soll beide umschließen.,143,175,character_speech,5,11,,SIR WILLIAM.,#sir_william,690.0,MALE,no_annotation,no_annotation,no_annotation
2532,2532,2532,GerDracor/lessing-miss-sara-sampson.xml,"Komm, schleunige Anstalt zu machen, und dann laß uns auf Arabellen denken.",190,264,character_speech,5,11,,SIR WILLIAM.,#sir_william,690.0,MALE,anger,negative,emotions of rejection
2533,2533,2533,GerDracor/lessing-miss-sara-sampson.xml,"Sie sei,
              wer sie sei: sie ist ein Vermächtnis meiner Tochter.",265,340,character_speech,5,11,,SIR WILLIAM.,#sir_william,690.0,MALE,no_annotation,no_annotation,no_annotation
2534,2534,2534,GerDracor/lessing-miss-sara-sampson.xml,"Sie gehen ab, und das
                Theater fällt zu.",0,55,stage_direction,5,11,inner_speech,,#sir_william,690.0,MALE,no_annotation,no_annotation,no_annotation
