,Unnamed: 0,Unnamed: 0.1,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,pre1_base_polarity,pre1_main_emotion_class
2992,2992,2992,GerDracor/tieck-leben-und-tod-der-heiligen-genoveva.xml,"Hidulfus, Siegfried, Schmerzenreich.",0,36,stage_direction,1,61,pre_speech,,,,,no_annotation,no_annotation,no_annotation
2993,2993,2993,GerDracor/tieck-leben-und-tod-der-heiligen-genoveva.xml,"
            Hier, wo die Bilder schön die Pfeiler schmücken
            Vom Sankt Laurentio und Sebastian,
            Soll man auch Genovevam bald erblicken,
            Sie wird den Wundermännern zugetan.",0,207,character_speech,1,61,,SIEGFRIED.,#siegfried,1222.0,MALE,"admiration, reverence",positive,emotions of affection
2994,2994,2994,GerDracor/tieck-leben-und-tod-der-heiligen-genoveva.xml,"Mag mir mein letzter Wunsch, Herr Bischof, glücken,
            So bin ich ganz ein seelerfreuter Mann,
            Dann fehlt mir nichts in dieser Welt hienieden
            Zu meinem Seelenheil und meinem Frieden.",220,435,character_speech,1,61,,SIEGFRIED.,#siegfried,1222.0,MALE,joy,positive,emotions of pleasure
2995,2995,2995,GerDracor/tieck-leben-und-tod-der-heiligen-genoveva.xml,"
            Sprecht aus, was Ihr nur immer mögt begehren,
            Wenn es nicht Gottes Satzung widerspricht,
            So will ich es mit Freuden Euch gewähren.",0,167,character_speech,1,61,,HIDULFUS.,#hidulfus,1223.0,MALE,no_annotation,no_annotation,no_annotation
2996,2996,2996,GerDracor/tieck-leben-und-tod-der-heiligen-genoveva.xml,"
            Damit in Zukunft mir kein Wunsch gebricht,
            
            So wünsch ich Gott beständig zu verehren,
            Zu wandeln in der Andacht reinem Licht,
            Drum will ich dort ein stilles Kirchlein gründen,
            Wo mir gegönnt, mein fromm Gemahl zu finden.",0,293,character_speech,1,61,,SIEGFRIED.,#siegfried,1224.0,MALE,joy,positive,emotions of pleasure
2997,2997,2997,GerDracor/tieck-leben-und-tod-der-heiligen-genoveva.xml,"
            Dort will ich ein einsiedlisch Leben führen
            Und meinen Staat dem Sohne übergeben,
            Ich will fortan Gebete rezitieren
            Und nach dem Himmelsregimente streben;
            Kein irdisch Glück soll die Begierde rühren,
            In Vater, Sohn und Geist will ich nur leben;
            Und dieser Sohn sei noch bevor ich sterbe,
            Mein rechtsbestätigter und einzger Erbe.",0,425,character_speech,1,61,,SIEGFRIED.,#siegfried,1224.0,MALE,no_annotation,no_annotation,no_annotation
2998,2998,2998,GerDracor/tieck-leben-und-tod-der-heiligen-genoveva.xml,"
            So schaden, Vater, willst du mir im Teilen?",0,56,character_speech,1,61,,SCHMERZENREICH.,#schmerzenreich,1225.0,MALE,anger,negative,emotions of rejection
2999,2999,2999,GerDracor/tieck-leben-und-tod-der-heiligen-genoveva.xml,"Du nimmst den Himmel für dein Eigentum,
            Ich soll dafür beim Irdischen verweilen,
            Mir bleibt ein wenig Erde nur zum Ruhm.",69,213,character_speech,1,61,,SCHMERZENREICH.,#schmerzenreich,1225.0,MALE,suffering,negative,emotions of suffering and empathy
3000,3000,3000,GerDracor/tieck-leben-und-tod-der-heiligen-genoveva.xml,"Doch ich will auch die kranke Seele heilen,
            Ich folge dir zu deinem Heiligtum,
            Da wollen wir uns in Gebeten üben,
            Solang uns noch die Wallfahrt vorgeschrieben.",226,421,character_speech,1,61,,SCHMERZENREICH.,#schmerzenreich,1225.0,MALE,no_annotation,no_annotation,no_annotation
3001,3001,3001,GerDracor/tieck-leben-und-tod-der-heiligen-genoveva.xml,"
            Die hohe Frömmigkeit treibt mir die Zähren
            In meine Augen, es gescheh also.",0,100,character_speech,1,61,,HIDULFUS.,#hidulfus,1226.0,MALE,no_annotation,no_annotation,no_annotation
3002,3002,3002,GerDracor/tieck-leben-und-tod-der-heiligen-genoveva.xml,"Ich will die Bitt euch beiden gern gewähren,
            So führt ein strenges Leben still und froh;
            Doch muß das Land des Schützers nicht entbehren,
            Oft drängen es die Heiden wild und roh;
            Drum muß Matthias euren Platz besitzen
            Und Landesrecht die heilge Kirche schützen.",113,433,character_speech,1,61,,HIDULFUS.,#hidulfus,1226.0,MALE,no_annotation,no_annotation,no_annotation
3003,3003,3003,GerDracor/tieck-leben-und-tod-der-heiligen-genoveva.xml,Sie gehn alle ab.,0,17,stage_direction,1,61,speech_part,,#hidulfus,1226.0,MALE,no_annotation,no_annotation,no_annotation
3004,3004,3004,GerDracor/tieck-leben-und-tod-der-heiligen-genoveva.xml,Der heilige Bonifatius tritt ein und beschließt.,0,48,stage_direction,1,61,speech_part,,#hidulfus,1226.0,MALE,no_annotation,no_annotation,no_annotation
3005,3005,3005,GerDracor/tieck-leben-und-tod-der-heiligen-genoveva.xml,"
            So gingen sie zum wundertätgen Bilde,
            Das ihnen, als sie kamen, gab den Segen.",0,103,character_speech,1,61,,BONIFATIUS.,#bonifatius,1227.0,MALE,joy,positive,emotions of pleasure
3006,3006,3006,GerDracor/tieck-leben-und-tod-der-heiligen-genoveva.xml,"Das Paternoster nehmend statt den Degen
            Ruht Siegfried dort, in Gottes Andacht milde.",116,213,character_speech,1,61,,BONIFATIUS.,#bonifatius,1227.0,MALE,no_annotation,no_annotation,no_annotation
3007,3007,3007,GerDracor/tieck-leben-und-tod-der-heiligen-genoveva.xml,"
            Sie wohnten unter seinem heilgen Schilde.",0,54,character_speech,1,61,,BONIFATIUS.,#bonifatius,1227.0,MALE,no_annotation,no_annotation,no_annotation
3008,3008,3008,GerDracor/tieck-leben-und-tod-der-heiligen-genoveva.xml,"Sie aber ging auf lichterfüllten Wegen
            
            Der schönen Dulderkrone dort entgegen,
            Das Land verehrt sie im gemalten Bilde.",67,221,character_speech,1,61,,BONIFATIUS.,#bonifatius,1227.0,MALE,"admiration, reverence",positive,emotions of affection
