,Unnamed: 0,Unnamed: 0.1,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,genre,subgenre,date,pre1_base_polarity,pre1_main_emotion_class
1909,1909,1909,"TextGrid/-Faustine,_der_weibliche_Faust.xml","
                                    Doktor Ronober und Professor Schabholz treten auf.",0,87,stage_direction,6,69,pre_speech,,,,,no_annotation,T,,1781.0,no_annotation,no_annotation
1910,1910,1910,"TextGrid/-Faustine,_der_weibliche_Faust.xml","
                                       Wir kommen, meiner Nichte aufzuwarten
                                       Und ihres Wirkens Früchte anzuseh'n,
                                       Die über irdisches Vermögen geh'n.",0,227,character_speech,6,69,,RONOBER.,RONOBER.,1.0,UNKNOWN,no_annotation,T,,1781.0,no_annotation,no_annotation
1911,1911,1911,"TextGrid/-Faustine,_der_weibliche_Faust.xml","Sie ist nicht hier, Weilt sie vielleicht im Garten?",267,318,character_speech,6,69,,RONOBER.,RONOBER.,1.0,UNKNOWN,no_annotation,T,,1781.0,no_annotation,no_annotation
1912,1912,1912,"TextGrid/-Faustine,_der_weibliche_Faust.xml","
                                       auf die Spuren der Verwüstung am Boden zeigend.",0,87,stage_direction,6,69,speech_part,,,2.0,UNKNOWN,no_annotation,T,,1781.0,no_annotation,no_annotation
1913,1913,1913,"TextGrid/-Faustine,_der_weibliche_Faust.xml",Im Todtengarten!,0,16,character_speech,6,69,,INNOCENTIA,INNOCENTIA,2.0,UNKNOWN,no_annotation,T,,1781.0,no_annotation,no_annotation
1914,1914,1914,"TextGrid/-Faustine,_der_weibliche_Faust.xml",nicht mehr unter den Lebend'gen!,17,49,character_speech,6,69,,INNOCENTIA,INNOCENTIA,2.0,UNKNOWN,no_annotation,T,,1781.0,no_annotation,no_annotation
1915,1915,1915,"TextGrid/-Faustine,_der_weibliche_Faust.xml",So schrecklich mußten die Versuche end'gen!,0,43,character_speech,6,69,,SCHABHOLZ.,SCHABHOLZ.,3.0,UNKNOWN,suffering,T,,1781.0,negative,emotions of suffering and empathy
1916,1916,1916,"TextGrid/-Faustine,_der_weibliche_Faust.xml","
                                       Sie sank entseelt nebst ihrem schlimmen Meister
                                       Hier in den Boden wie zwei Höllengeister.",0,168,character_speech,6,69,,INNOCENTIA.,INNOCENTIA.,4.0,UNKNOWN,abhorrence,T,,1781.0,negative,emotions of rejection
1917,1917,1917,"TextGrid/-Faustine,_der_weibliche_Faust.xml","
                                       Dem Teufel war sie eigen, unverhehlbar.",0,79,character_speech,6,69,,RONOBER.,RONOBER.,5.0,UNKNOWN,no_annotation,T,,1781.0,no_annotation,no_annotation
1918,1918,1918,"TextGrid/-Faustine,_der_weibliche_Faust.xml","–
                                       Weh' ihr, ist das Gericht im Himmel nicht unfehlbar!",80,173,character_speech,6,69,,RONOBER.,RONOBER.,5.0,UNKNOWN,no_annotation,T,,1781.0,no_annotation,no_annotation
1919,1919,1919,"TextGrid/-Faustine,_der_weibliche_Faust.xml","Sonst weint ein Gott, vom Schmerz durchdrungen,
                                       Daß ihm die Schöpfung nicht gelungen.",213,337,character_speech,6,69,,RONOBER.,RONOBER.,5.0,UNKNOWN,suffering,T,,1781.0,negative,emotions of suffering and empathy
