,word,frequency
0,sollen,38
1,wer,21
2,müssen,21
3,lassen,20
4,geben,19
5,wil,19
6,ja,19
7,sehen,18
8,Wil,18
9,bald,17
10,gar,17
11,mögen,14
12,gut,14
13,groß,13
14,Ka,13
15,solch,13
16,Wol,13
17,kommen,12
18,Auff,11
19,gehen,11
20,Jch,10
21,Sol,9
22,selber,9
23,all,9
24,schon,9
25,recht,9
26,Bey,9
27,ab,8
28,geil,8
29,Brunst,8
30,Geld,8
31,seyn,8
32,Aufferne,8
33,wolen,8
34,wohl,8
35,thu,8
36,endlich,8
37,stehen,7
38,möchten,7
39,fein,7
40,mehr,7
41,lehren,7
42,bekommen,6
43,Lohn,6
44,bringen,6
45,gleich,6
46,schön,6
47,wissen,6
48,nehmen,6
49,Ding,6
50,ists,6
51,Jhr,6
52,Gifft,5
53,flugs,5
54,verdienen,5
55,Landschöppe,5
56,närrisch,5
57,hören,5
58,hoch,5
59,Ei,5
60,Biß,5
61,nunmehr,5
62,Pickelhering,5
63,auß,4
64,rein,4
65,fällen,4
66,tragen,4
67,Di,4
68,Kopf,4
69,solen,4
70,davon,4
71,erfahren,4
72,kriegen,4
73,schicken,4
74,holen,4
75,darüber,4
76,Hüpeljung,4
77,drüber,4
78,übel,4
79,Jhm,4
80,dienen,4
81,neu,4
82,Sache,4
83,Nu,4
84,Umb,4
85,hasten,4
86,wegen,4
87,jhn,4
88,diß,3
89,zeigen,3
90,falsch,3
91,setzen,3
92,wider,3
93,frisch,3
94,Sey,3
95,lernen,3
96,bluten,3
97,Rach,3
98,toll,3
99,beflecken,3
100,sihen,3
101,gönnen,3
102,Gantz,3
103,lieb,3
104,erstechen,3
105,darnach,3
106,Bier,3
107,anstellen,3
108,halb,3
109,klein,3
110,Finger,3
111,stecken,3
112,gefallen,3
113,Hals,3
114,schreiben,3
115,einmalen,3
116,Seyn,3
117,helffen,3
118,reden,3
119,vornehmen,3
120,geschehen,3
121,Auß,3
122,Ists,3
123,Drumb,3
124,jhren,3
125,fallen,3
126,Gilts,3
127,zurichten,3
128,listen,3
129,Gethan,3
130,Diß,3
131,Se,3
132,E,3
133,Su,3
134,Dos,3
135,je,3
136,Hochzeit,3
137,warlich,3
138,wann,3
139,Spott,3
140,brüsten,3
141,Tag,3
142,vnnd,3
143,itzt,3
144,etlicher,3
145,Hase,3
146,schlecht,3
147,Thorheit,3
148,Fleckschreiber,3
149,sprechen,3
150,feil,3
151,Juncker,3
152,führen,3
153,vergeben,3
154,Glück,3
155,Hand,3
156,brechen,3
157,Haus,2
158,vergönnen,2
159,Ehbruch,2
160,Perle,2
161,Trotz,2
162,gewinnen,2
163,Beyspiel,2
164,kochen,2
165,Natter,2
166,Bus,2
167,legen,2
168,Grund,2
169,bauen,2
170,mahlen,2
171,Oßman,2
172,Leiche,2
173,Thron,2
174,zugerichen,2
175,Pöfel,2
176,Ampt,2
177,halten,2
178,Asche,2
179,streben,2
180,spinnen,2
181,fest,2
182,Opffer,2
183,erwerben,2
184,bös,2
185,entdecken,2
186,Unschuld,2
187,Schelmstück,2
188,Baum,2
189,Streich,2
190,rechen,2
191,Last,2
192,springen,2
193,Werck,2
194,Nacht,2
195,Grufft,2
196,angenehm,2
197,Messer,2
198,entweder,2
199,loß,2
200,sauer,2
201,neulich,2
202,bereden,2
203,Saltz,2
204,Brod,2
205,Dabey,2
206,ziehen,2
207,Haut,2
208,morgen,2
209,Merck,2
210,begraben,2
211,trefflich,2
212,Kunst,2
213,hernach,2
214,vornehm,2
215,glauben,2
216,suchen,2
217,Gelegenheit,2
218,Revenge,2
219,finden,2
220,Weistu,2
221,ehe,2
222,fressen,2
223,Wurst,2
224,vielfältig,2
225,Noth,2
226,bleiben,2
227,Spielleute,2
228,ganz,2
229,töricht,2
230,auslachen,2
231,krank,2
232,Darzu,2
233,denken,2
234,Händel,2
235,vergnügen,2
236,liegen,2
237,verbannen,2
238,Brust,2
239,Mord,2
240,verachten,2
241,Ende,2
242,Sohem,2
243,Stracks,2
244,geiler,2
245,stets,2
246,streng,2
247,gerecht,2
248,Gold,2
249,klar,2
250,wahrlich,2
251,allerhand,2
252,Rede,2
253,Ansehen,2
254,offt,2
255,hart,2
256,alsdenn,2
257,Drum,2
258,Raub,2
259,daran,2
260,Buhsse,2
261,solt,2
262,dafern,2
263,begehren,2
264,fangen,2
265,umb,2
266,Gutt,2
267,That,2
268,Silber,2
269,lohnen,2
270,Bock,2
271,Wiltu,2
272,Rasen,2
273,schauen,2
274,wen,2
275,En,2
276,Uff,2
277,krachen,2
278,A,2
279,oll,2
280,erstlich,2
281,schätzen,2
282,Feind,2
283,vnden,2
284,fleissig,2
285,etwa,2
286,Krieg,2
287,versuchen,2
288,reißen,2
289,Ey,2
290,vergehen,2
291,angehen,2
292,Hohn,2
293,treiben,2
294,schwerlich,2
295,dafür,2
296,Kleider,2
297,artig,2
298,besinnen,2
299,wacker,2
300,wohin,2
301,Strafe,2
302,toden,2
303,Vergnügen,2
304,wilst,2
305,gerne,2
306,ietzt,2
307,Raum,2
308,Woche,2
309,Collegio,2
310,damals,2
311,könen,2
312,desto,2
313,spotten,2
314,kalt,2
315,voll,2
316,behalten,2
317,Anschlag,2
318,Hauß,2
319,Schaar,2
320,ehren,2
321,Witz,2
322,helfen,2
323,lächeln,2
324,schrauben,2
325,unrecht,2
326,spannen,2
327,schlagen,2
328,schaffen,2
329,Kopfferne,2
330,verbrennen,2
331,dergleichen,2
332,jung,2
333,zeuchen,2
334,heben,2
335,bemühen,2
336,Holtzstoß,2
337,At,2
338,stürtzen,2
339,Deß,2
340,Disem,2
341,jtzen,2
342,solst,2
343,Sach,2
344,thusen,2
345,verderben,2
346,gewaltig,2
347,hertzlich,2
348,tantzen,2
349,bereit,2
350,verdient,2
351,Stück,2
352,belieben,2
353,Buch,2
354,Büchse,2
355,auffgesetzen,2
356,Ducat,1
357,Exempel,1
358,Funcke,1
359,streuen,1
360,tadeln,1
361,Nechst,1
362,Wohlauf,1
363,Frist,1
364,stet,1
365,jauchzen,1
366,Weibe,1
367,Band,1
368,Schandfleck,1
369,Rauen,1
370,Schal,1
371,pralen,1
372,besudeln,1
373,Wasch,1
374,verkehren,1
375,unstraffen,1
376,Tochter,1
377,enden,1
378,Muthwill,1
379,Büssung,1
380,Gift,1
381,Hertzeleid,1
382,Lipp,1
383,Mund,1
384,Leichenbrett,1
385,Baß,1
386,Gunst,1
387,meineydig,1
388,verletzen,1
389,Schwur,1
390,bestimmt,1
391,Tarter,1
392,Oßmans,1
393,Stul,1
394,Einnam,1
395,gehts,1
396,Schlösser,1
397,tief,1
398,Kluft,1
399,dauen,1
400,Bassen,1
401,Untergang,1
402,Gebegia,1
403,136,1
404,keck,1
405,ermorden,1
406,folgern,1
407,scharf,1
408,strafen,1
409,staffeln,1
410,Larve,1
411,trauen,1
412,hell,1
413,öffen,1
414,beleidigen,1
415,hierdurch,1
416,verächtlich,1
417,Nagelsbreit,1
418,räumen,1
419,flammend,1
420,Dach,1
421,Wind,1
422,spielen,1
423,Besorgstu,1
424,bluttig,1
425,vielleicht,1
426,weben,1
427,verschreiben,1
428,zischend,1
429,Gauckelspiel,1
430,Glutt,1
431,straff,1
432,act,1
433,Unschätzbarn,1
434,Hierbey,1
435,beruhen,1
436,Pristerin,1
437,78,1
438,Zwang,1
439,entweyh,1
440,offen,1
441,Agrippine,1
442,Lepidus,1
443,92,1
444,Schooß,1
445,scheinbar,1
446,versüßen,1
447,Zucker,1
448,küssen,1
449,Scheinbar,1
450,Würtze,1
451,süssen,1
452,reichen,1
453,Eingeweide,1
454,Artzney,1
455,Schlange,1
456,Schneide,1
457,gestern,1
458,verschlingen,1
459,Agrippin,1
460,fälen,1
461,geschickt,1
462,einbrechen,1
463,frechster,1
464,Anfang,1
465,gefil,1
466,Bradshaw,1
467,Sichre,1
468,gewiß,1
469,Discours,1
470,verstören,1
471,ausbitten,1
472,ietzo,1
473,Formul,1
474,bitten,1
475,Mart,1
476,Töpffe,1
477,Gasse,1
478,hengen,1
479,Fund,1
480,Kröte,1
481,sitzen,1
482,Träff,1
483,Genung,1
484,Wort,1
485,Trincke,1
486,Süsse,1
487,Langvel,1
488,Schürtz,1
489,spendir,1
490,Brodtel,1
491,backen,1
492,lecken,1
493,Feuermauer,1
494,Schincke,1
495,Knackwürst,1
496,hängen,1
497,hübsch,1
498,Boden,1
499,Pfund,1
500,Granate,1
501,Röthe,1
502,Gesicht,1
503,Schnee,1
504,drittehalb,1
505,Groschen,1
506,zufrieden,1
507,Carfunckel,1
508,Brandtewei,1
509,Ruß,1
510,raus,1
511,stüben,1
512,rauchen,1
513,Freyen,1
514,anbringen,1
515,Partheye,1
516,lang,1
517,Hose,1
518,heißen,1
519,Cuschi,1
520,solten,1
521,woran,1
522,zugeben,1
523,Prophezeyet,1
524,Freyern,1
525,Eltern,1
526,vorig,1
527,Ehestifftung,1
528,hintertreiben,1
529,verplempern,1
530,o,1
531,Speckseite,1
532,Bratwürst,1
533,Feueresse,1
534,Camerad,1
535,Knackwurst,1
536,stehlen,1
537,erfolgen,1
538,Lateinische,1
539,Drauff,1
540,schändlich,1
541,betriegen,1
542,Ort,1
543,betrügen,1
544,beschnopern,1
545,Tanz,1
546,beschwatzten,1
547,Stutzer,1
548,umgehen,1
549,genug,1
550,manchmal,1
551,Marburg,1
552,brav,1
553,gevexieren,1
554,Akt,1
555,warum,1
556,schrecklich,1
557,Brief,1
558,lesen,1
559,Posse,1
560,Edelleut,1
561,klatschicht,1
562,Camill,1
563,austragen,1
564,Hemd,1
565,hereinkommen,1
