,word,frequency
0,lassen,214
1,müssen,204
2,wer,173
3,ja,170
4,sollen,143
5,Ka,141
6,all,138
7,mehr,137
8,Bey,104
9,solch,99
10,Sol,98
11,Aufferne,97
12,kommen,94
13,Auff,93
14,gehen,91
15,Feind,84
16,schon,83
17,Wil,83
18,sehen,79
19,geben,79
20,mögen,79
21,wil,77
22,O,77
23,seyn,76
24,groß,76
25,gleich,73
26,Boßheit,73
27,Jch,73
28,Deß,72
29,Sey,70
30,verflucht,70
31,bald,70
32,wissen,69
33,stehen,65
34,verfluchen,65
35,Mord,65
36,Blut,64
37,bluten,63
38,hoch,62
39,sterben,62
40,nehmen,62
41,Rach,59
42,Wol,58
43,gar,58
44,Hand,57
45,Jhr,55
46,halten,53
47,Brust,53
48,Gift,52
49,auß,51
50,wolen,51
51,schlagen,51
52,selber,50
53,solen,49
54,suchen,48
55,Leib,48
56,bringen,48
57,hassen,47
58,heißen,46
59,stets,46
60,Macht,45
61,recht,45
62,führen,45
63,brechen,44
64,Teuffel,43
65,gut,43
66,That,43
67,Schelm,42
68,Schmach,42
69,hören,42
70,Di,42
71,Verräther,42
72,Gifft,41
73,Seyn,40
74,stürtzen,40
75,Recht,40
76,Auge,40
77,arg,39
78,Haupt,39
79,Tag,38
80,stecken,38
81,Volck,38
82,reißen,38
83,straff,37
84,eh,36
85,Land,36
86,Hals,36
87,Wort,35
88,fallen,35
89,wohl,35
90,Kopf,35
91,legen,35
92,welch,34
93,neu,34
94,Stahl,34
95,wider,34
96,setzen,34
97,Gantz,34
98,Biß,34
99,toll,33
100,Thron,33
101,itzen,33
102,verdammen,32
103,Kopfferne,32
104,ehren,31
105,verdienen,31
106,Diß,31
107,bös,31
108,Todt,31
109,Frey,30
110,schändlich,30
111,bleiben,29
112,Käyser,29
113,Grab,29
114,Sinn,29
115,straffen,29
116,thu,29
117,fahren,28
118,schauen,28
119,ab,28
120,Schlange,28
121,verdammt,27
122,finden,27
123,falsch,27
124,Fluch,26
125,brennen,26
126,lang,26
127,Stracks,26
128,umb,26
129,Hölle,26
130,Mund,25
131,sprechen,25
132,Blitz,25
133,beflecken,25
134,Blutthund,25
135,grimmig,25
136,gantzen,25
137,Jhm,25
138,spinnen,24
139,glauben,24
140,schimpfen,24
141,Gunst,24
142,tragen,24
143,weit,23
144,diß,23
145,gelten,23
146,Unschuld,23
147,voll,23
148,Tyranne,23
149,Unsre,23
150,Natter,23
151,schnöde,23
152,Nacht,22
153,Thier,22
154,Fall,22
155,vergehen,22
156,Werth,22
157,Schaar,22
158,Stück,22
159,Drumb,22
160,fort,22
161,endlich,22
162,Seel,21
163,Heil,21
164,Grund,21
165,itzt,21
166,treten,21
167,verkehren,21
168,Schimpff,21
169,Freche,21
170,Haus,21
171,möchten,20
172,Maul,20
173,schlecht,20
174,kennen,20
175,bauen,20
176,Pöfel,20
177,eignen,20
178,ziehen,20
179,gemein,20
180,je,20
181,Flamme,20
182,Jahr,20
183,verzehren,20
184,leicht,20
185,rächen,20
186,weder,20
187,edel,20
188,könen,20
189,eben,19
190,Brunst,19
191,Umb,19
192,Straffe,19
193,Asche,19
194,rasend,19
195,pflegen,19
196,ists,19
197,Bestie,19
198,Ohr,19
199,schwer,19
200,jhn,19
201,Krieg,19
202,fressen,18
203,Bösewicht,18
204,Hof,18
205,stoßen,18
206,Hauß,18
207,Ehre,18
208,Eisen,18
209,Halß,18
210,Sache,18
211,treiben,18
212,stechen,18
213,nennen,18
214,schön,18
215,Abgrund,18
216,verachten,18
217,ewig,18
218,ehrlich,18
219,laut,18
220,Kette,18
221,Auß,17
222,wüten,17
223,rein,17
224,schonen,17
225,eigen,17
226,Schwerdt,17
227,achten,17
228,dienen,17
229,listen,17
230,Printz,17
231,Zunge,17
232,wehren,17
233,verderben,17
234,Auffs,17
235,Tyrann,17
236,grausam,17
237,ansehen,16
238,lieb,16
239,Ader,16
240,geil,16
241,heilig,16
242,Wilstu,16
243,Kercker,16
244,stellen,16
245,Glutt,16
246,nebst,16
247,Schau,16
248,Schwartz,16
249,Gold,16
250,folgen,16
251,Galgen,16
252,immer,16
253,jhm,16
254,E,16
255,teutsch,16
256,kalt,15
257,schlimm,15
258,Ibrahm,15
259,holen,15
260,Fuß,15
261,Füssen,15
262,Schwerd,15
263,nie,15
264,kehren,15
265,hart,15
266,Waffe,15
267,streng,15
268,blitzen,15
269,greiffen,15
270,Schwefel,15
271,solt,15
272,Beil,15
273,Vn,15
274,leichtfertig,15
275,gottlos,15
276,Majestät,15
277,vnnd,15
278,Barbirer,15
279,lieben,14
280,treu,14
281,Ja,14
282,wagen,14
283,Bluthund,14
284,schicken,14
285,Tyran,14
286,klauen,14
287,fällen,14
288,Wind,14
289,schaffen,14
290,schreiben,14
291,nimmermehr,14
292,wahr,14
293,verhaßt,14
294,richten,14
295,liegen,14
296,Band,14
297,bloß,14
298,schämen,14
299,Jhre,14
300,übel,14
301,wann,13
302,Bild,13
303,Schand,13
304,Sonne,13
305,wenig,13
306,halb,13
307,frembd,13
308,Thu,13
309,kaum,13
310,sihen,13
311,Pfal,13
312,Entzwey,13
313,Zepter,13
314,offen,13
315,Sünde,13
316,Hastu,13
317,geschehen,13
318,Zahn,13
319,begehen,13
320,Gericht,13
321,verletzen,13
322,leiden,13
323,Degen,13
324,Wahn,13
325,ruhen,13
326,Befehl,13
327,Hure,13
328,Vns,13
329,gering,13
330,Verbrechen,12
331,Trotz,12
332,fühlen,12
333,rasen,12
334,Greuel,12
335,dar,12
336,meist,12
337,Schwein,12
338,schätzen,12
339,kriegen,12
340,blind,12
341,lehren,12
342,Haar,12
343,Tochter,12
344,nachdem,12
345,Frevel,12
346,Untergang,12
347,Staub,12
348,oft,12
349,Hohn,12
350,fast,12
351,gantz,12
352,Asch,12
353,entdecken,12
354,krachen,12
355,Lüge,12
356,Gesicht,12
357,vielmehr,12
358,letzt,12
359,weichen,12
360,Grau,12
361,dahin,12
362,Haubt,12
363,Eyd,12
364,Wunder,12
365,grob,12
366,reden,12
367,davon,12
368,einmalen,12
369,denken,12
370,hinweg,12
371,jhren,12
372,Glück,12
373,verjagen,12
374,J,12
375,Stunde,12
376,Held,12
377,jenig,12
378,toden,12
379,weniger,12
380,Pfui,11
381,Unzucht,11
382,schützen,11
383,zeigen,11
384,Gall,11
385,Natur,11
386,Sieg,11
387,weh,11
388,blühen,11
389,Stamm,11
390,Purper,11
391,zwingen,11
392,Blutte,11
393,Donner,11
394,verbrennen,11
395,loß,11
396,verfolgen,11
397,Werck,11
398,wünschen,11
399,Bein,11
400,Rachgier,11
401,Vernunfft,11
402,vieler,11
403,Eifer,11
404,vnden,11
405,Ach,11
406,vil,11
407,Stand,11
408,verlachen,11
409,erfahren,11
410,Darzu,11
411,jagen,11
412,ermorden,11
413,Wahrheit,11
414,Baur,11
415,darum,11
416,lieber,11
417,Gethan,11
418,wehen,11
419,Keiser,11
420,arm,11
421,göttlich,11
422,dürfen,11
423,Ossmann,11
424,nein,10
425,begehren,10
426,gehören,10
427,Abgott,10
428,scheinen,10
429,Meyneyd,10
430,manch,10
431,Schaum,10
432,brauchen,10
433,Zucht,10
434,Opfer,10
435,Ziel,10
436,Elend,10
437,Muth,10
438,bemühen,10
439,vertilgen,10
440,jedoch,10
441,frisch,10
442,klein,10
443,dringen,10
444,bitten,10
445,erkennen,10
446,Dunst,10
447,Verdacht,10
448,schrecklich,10
449,Unthier,10
450,Lufft,10
451,Antlitz,10
452,Tempel,10
453,fehlen,10
454,Leiche,10
455,trotzen,10
456,fest,10
457,kanst,10
458,schließen,10
459,Name,10
460,Darff,10
461,lesen,10
462,Spott,10
463,Se,10
464,Obrigkeit,10
465,Schlampamp,10
466,dran,10
467,Geschlecht,10
468,Fort,10
469,Furie,10
470,gerecht,10
471,Frieden,10
472,Verrähter,10
473,hoffen,10
474,Kuh,10
475,erhitzen,10
476,C,10
477,Landschöppe,10
478,entweihen,9
479,Dienst,9
480,zart,9
481,Hochmuth,9
482,herrschen,9
483,üben,9
484,Unmensch,9
485,verhetzen,9
486,beißen,9
487,färben,9
488,Oel,9
489,Gesetz,9
490,erblassen,9
491,erkühnen,9
492,Strang,9
493,längst,9
494,Kwal,9
495,losen,9
496,Ubelthäter,9
497,waschen,9
498,statt,9
499,Schlang,9
500,Schwerdter,9
501,alleine,9
502,Betrug,9
503,nunmehr,9
504,klug,9
505,Freund,9
506,Gewissen,9
507,jed,9
508,Warumb,9
509,fordern,9
510,Milch,9
511,rauben,9
512,ehe,9
513,Altar,9
514,Cro,9
515,umbsonst,9
516,Rede,9
517,Tyrannen,9
518,treffen,9
519,Glider,9
520,Ort,9
521,Lohn,9
522,mühen,9
523,getreu,9
524,Rad,9
525,Ende,9
526,kochen,9
527,leider,9
528,geschwind,9
529,heraus,9
530,genug,9
531,Unterthan,9
