,word,frequency
0,lassen,214
1,müssen,204
2,wer,173
3,ja,170
4,sollen,143
5,Ka,141
6,all,140
7,mehr,138
8,Bey,104
9,solch,99
10,Aufferne,98
11,Sol,98
12,Auff,96
13,kommen,94
14,gehen,92
15,schon,84
16,Feind,84
17,Wil,83
18,sehen,80
19,geben,79
20,mögen,79
21,wil,78
22,O,77
23,seyn,76
24,groß,76
25,gleich,74
26,Boßheit,74
27,Deß,74
28,Jch,73
29,wissen,70
30,Sey,70
31,verflucht,70
32,bald,70
33,Blut,66
34,stehen,65
35,verfluchen,65
36,Mord,65
37,hoch,63
38,bluten,63
39,sterben,62
40,nehmen,62
41,Rach,59
42,Hand,59
43,Wol,58
44,gar,58
45,Jhr,55
46,halten,54
47,schlagen,53
48,Brust,53
49,Gift,52
50,auß,51
51,wolen,51
52,selber,50
53,Leib,49
54,solen,49
55,führen,49
56,suchen,48
57,bringen,48
58,hassen,47
59,heißen,46
60,stets,46
61,Macht,45
62,recht,45
63,Teuffel,44
64,brechen,44
65,gut,43
66,That,43
67,hören,43
68,Verräther,43
69,Schelm,42
70,Schmach,42
71,Di,42
72,Gifft,41
73,Seyn,40
74,stürtzen,40
75,reißen,40
76,Recht,40
77,Auge,40
78,stecken,39
79,arg,39
80,Haupt,39
81,Tag,38
82,Volck,38
83,straff,37
84,Kopf,37
85,Wort,36
86,eh,36
87,fallen,36
88,legen,36
89,Land,36
90,Hals,36
91,wohl,35
92,wider,35
93,welch,34
94,neu,34
95,Stahl,34
96,setzen,34
97,Gantz,34
98,Biß,34
99,toll,33
100,Thron,33
101,itzen,33
102,Kopfferne,33
103,verdammen,32
104,ehren,31
105,verdienen,31
106,Diß,31
107,bös,31
108,Todt,31
109,Frey,30
110,Grab,30
111,schändlich,30
112,bleiben,29
113,Käyser,29
114,ab,29
115,Sinn,29
116,straffen,29
117,thu,29
118,fahren,28
119,schauen,28
120,Schlange,28
121,Fluch,27
122,verdammt,27
123,finden,27
124,falsch,27
125,sprechen,26
126,brennen,26
127,lang,26
128,Stracks,26
129,umb,26
130,Hölle,26
131,Jhm,26
132,Mund,25
133,Blitz,25
134,beflecken,25
135,Blutthund,25
136,grimmig,25
137,gantzen,25
138,spinnen,24
139,glauben,24
140,schimpfen,24
141,Gunst,24
142,tragen,24
143,weit,23
144,diß,23
145,Nacht,23
146,gelten,23
147,Unschuld,23
148,voll,23
149,Tyranne,23
150,Unsre,23
151,Natter,23
152,schnöde,23
153,Thier,22
154,Fall,22
155,vergehen,22
156,Werth,22
157,treten,22
158,Schaar,22
159,Stück,22
160,Drumb,22
161,fort,22
162,endlich,22
163,Maul,21
164,schlecht,21
165,Seel,21
166,Heil,21
167,Grund,21
168,itzt,21
169,verkehren,21
170,rasend,21
171,Schimpff,21
172,Freche,21
173,Haus,21
174,möchten,20
175,kennen,20
176,bauen,20
177,Pöfel,20
178,eignen,20
179,ziehen,20
180,gemein,20
181,je,20
182,Flamme,20
183,Jahr,20
184,verzehren,20
185,leicht,20
186,rächen,20
187,weder,20
188,ists,20
189,edel,20
190,könen,20
191,Ohr,20
192,jhn,20
193,eben,19
194,Brunst,19
195,stoßen,19
196,Umb,19
197,Straffe,19
198,Asche,19
199,pflegen,19
200,Bestie,19
201,schwer,19
202,laut,19
203,Krieg,19
204,Kette,19
205,fressen,18
206,wüten,18
207,Bösewicht,18
208,Hof,18
209,Hauß,18
210,Ehre,18
211,Eisen,18
212,Halß,18
213,Sache,18
214,treiben,18
215,stechen,18
216,nennen,18
217,schön,18
218,Abgrund,18
219,wehren,18
220,verachten,18
221,ewig,18
222,ehrlich,18
223,Auß,17
224,rein,17
225,schonen,17
226,eigen,17
227,Schwerdt,17
228,achten,17
229,dienen,17
230,nebst,17
231,listen,17
232,Printz,17
233,Zunge,17
234,verderben,17
235,Auffs,17
236,Tyrann,17
237,grausam,17
238,jhm,17
239,ansehen,16
240,lieb,16
241,Ader,16
242,geil,16
243,heilig,16
244,Wilstu,16
245,Kercker,16
246,stellen,16
247,Glutt,16
248,Schau,16
249,greiffen,16
250,Schwartz,16
251,Gold,16
252,folgen,16
253,Beil,16
254,Galgen,16
255,immer,16
256,E,16
257,teutsch,16
258,vnnd,16
259,kalt,15
260,schlimm,15
261,Ibrahm,15
262,holen,15
263,Fuß,15
264,Füssen,15
265,Schwerd,15
266,nie,15
267,kehren,15
268,hart,15
269,Waffe,15
270,streng,15
271,blitzen,15
272,Schwefel,15
273,solt,15
274,Vn,15
275,leichtfertig,15
276,gottlos,15
277,Majestät,15
278,Barbirer,15
279,lieben,14
280,treu,14
281,halb,14
282,Ja,14
283,wagen,14
284,Bluthund,14
285,schicken,14
286,Tyran,14
287,klauen,14
288,fällen,14
289,Wind,14
290,schaffen,14
291,schreiben,14
292,nimmermehr,14
293,wahr,14
294,verhaßt,14
295,richten,14
296,Degen,14
297,liegen,14
298,Band,14
299,bloß,14
300,schämen,14
301,Jhre,14
302,übel,14
303,wann,13
304,Bild,13
305,Schand,13
306,Sonne,13
307,wenig,13
308,frembd,13
309,Thu,13
310,kaum,13
311,sihen,13
312,Pfal,13
313,Entzwey,13
314,Zepter,13
315,gantz,13
316,offen,13
317,Gesicht,13
318,Sünde,13
319,Hastu,13
320,geschehen,13
321,Zahn,13
322,begehen,13
323,Gericht,13
324,verletzen,13
325,leiden,13
326,Wahn,13
327,ruhen,13
328,Befehl,13
329,reden,13
330,davon,13
331,hinweg,13
332,Hure,13
333,Vns,13
334,gering,13
335,Verbrechen,12
336,Trotz,12
337,fühlen,12
338,rasen,12
339,Greuel,12
340,dar,12
341,meist,12
342,göttlich,12
343,Schwein,12
344,schätzen,12
345,kriegen,12
346,blind,12
347,lehren,12
348,Haar,12
349,Tochter,12
350,nachdem,12
351,Frevel,12
352,Untergang,12
353,Staub,12
354,oft,12
355,Hohn,12
356,fast,12
357,Asch,12
358,entdecken,12
359,krachen,12
360,Lüge,12
361,vielmehr,12
362,letzt,12
363,weichen,12
364,Grau,12
365,dahin,12
366,Haubt,12
367,Eyd,12
368,Wunder,12
369,grob,12
370,einmalen,12
371,denken,12
372,Schlampamp,12
373,jhren,12
374,Glück,12
375,verjagen,12
376,J,12
377,Stunde,12
378,Held,12
379,jenig,12
380,toden,12
381,weniger,12
382,Pfui,11
383,Unzucht,11
384,schützen,11
385,zeigen,11
386,Gall,11
387,Natur,11
388,Sieg,11
389,weh,11
390,blühen,11
391,Stamm,11
392,Purper,11
393,zwingen,11
394,Furie,11
395,Blutte,11
396,Donner,11
397,verbrennen,11
398,loß,11
399,verfolgen,11
400,Werck,11
401,wünschen,11
402,Bein,11
403,Rachgier,11
404,Vernunfft,11
405,vieler,11
406,Eifer,11
407,vnden,11
408,Ach,11
409,vil,11
410,Stand,11
411,verlachen,11
412,erfahren,11
413,Darzu,11
414,jagen,11
415,Geschlecht,11
416,ermorden,11
417,Wahrheit,11
418,Baur,11
419,darum,11
420,lieber,11
421,Gethan,11
422,wehen,11
423,Keiser,11
424,arm,11
425,dürfen,11
426,Ossmann,11
427,nein,10
428,begehren,10
429,gehören,10
430,Abgott,10
431,scheinen,10
432,Meyneyd,10
433,manch,10
434,Schaum,10
435,brauchen,10
436,Zucht,10
437,Opfer,10
438,Ziel,10
439,Elend,10
440,Muth,10
441,bemühen,10
442,vertilgen,10
443,jedoch,10
444,frisch,10
445,statt,10
446,klein,10
447,dringen,10
448,bitten,10
449,erkennen,10
450,Dunst,10
451,Verdacht,10
452,schrecklich,10
453,Unthier,10
454,Lufft,10
455,Antlitz,10
456,Tempel,10
457,fehlen,10
458,Leiche,10
459,trotzen,10
460,fest,10
461,kanst,10
462,schließen,10
463,Name,10
464,Darff,10
465,lesen,10
466,Spott,10
467,Se,10
468,Obrigkeit,10
469,dran,10
470,Fort,10
471,gerecht,10
472,Frieden,10
473,Verrähter,10
474,hoffen,10
475,Kuh,10
476,erhitzen,10
477,C,10
478,Landschöppe,10
479,entweihen,9
480,Dienst,9
481,zart,9
482,Hochmuth,9
483,herrschen,9
484,üben,9
485,fassen,9
486,Unmensch,9
487,verhetzen,9
488,beißen,9
489,färben,9
490,Oel,9
491,Gesetz,9
492,erblassen,9
493,erkühnen,9
494,Strang,9
495,längst,9
496,Kwal,9
497,losen,9
498,Ubelthäter,9
499,waschen,9
500,Schlang,9
501,Schwerdter,9
502,eilen,9
503,alleine,9
504,Betrug,9
505,Laufferne,9
506,nunmehr,9
507,klug,9
508,Freund,9
509,Arm,9
510,Gewissen,9
511,jed,9
512,Warumb,9
513,fordern,9
514,Milch,9
515,rauben,9
516,ehe,9
517,Altar,9
518,Cro,9
519,toben,9
520,umbsonst,9
521,Rede,9
522,Tyrannen,9
523,treffen,9
524,Glider,9
525,Ort,9
526,Lohn,9
527,mühen,9
528,getreu,9
529,Rad,9
530,Ende,9
531,kochen,9
532,leider,9
