,word,frequency
0,Ach,1456
1,auff,1252
2,kan,1165
3,O,1031
4,wil,932
5,mehr,904
6,seyn,810
7,muß,766
8,ja,742
9,bey,727
10,Herr,687
11,Jch,677
12,wol,592
13,Hertz,570
14,Welt,565
15,gar,563
16,Himmel,561
17,schon,560
18,Ja,554
19,Wer,524
20,sol,481
21,Zeit,480
22,wer,479
23,jhr,473
24,sey,462
25,Gott,458
26,Leben,450
27,vns,444
28,Tod,439
29,auß,435
30,lassen,419
31,gleich,412
32,Mutter,408
33,Liebe,401
34,Fürst,391
35,Geist,378
36,diß,369
37,Lust,367
38,deß,361
39,gantz,359
40,bald,350
41,Götter,343
42,weiß,334
43,Rom,328
44,ach,314
45,Jhr,313
46,wohl,302
47,Frau,298
48,Hertzen,295
49,umb,293
50,Kind,293
51,geben,279
52,Hand,277
53,stets,277
54,Brust,273
55,Teutschland,273
56,mag,266
57,Glück,265
58,Blutt,265
59,Reich,263
60,hast,262
61,Sohn,261
62,Augen,256
63,Fürsten,255
64,König,254
65,Macht,252
66,Tag,250
67,Vater,244
68,Leib,244
69,Blut,243
70,recht,241
71,müssen,241
72,macht,240
73,ists,238
74,itzt,236
75,Seele,232
76,kommen,230
77,Kinder,228
78,allein,216
79,vnnd,216
80,grossen,215
81,Hertze,215
82,Gunst,212
83,sehen,211
84,Tugend,210
85,Ruhm,209
86,grosse,207
87,ab,206
88,selber,205
89,Weib,205
90,hätte,205
91,Pein,204
92,thun,203
93,Noth,203
94,Menschen,201
95,Heil,199
96,Licht,199
97,wolte,198
98,Haupt,196
99,biß,195
100,unsre,195
101,Thron,194
102,Nacht,193
103,sterben,193
104,jhm,190
105,Seel,188
106,leben,188
107,Ey,186
108,wider,186
109,Erden,184
110,GOtt,181
111,Leute,181
112,leider,179
113,sagen,178
114,lange,177
115,Recht,176
116,solte,175
117,unsern,174
118,Majestät,173
119,Angst,171
120,Mann,169
121,dis,168
122,Friede,168
123,Schuld,167
124,Herrn,165
125,jhn,165
126,tausend,163
127,Furcht,163
128,Herren,161
129,Diß,161
130,frey,160
131,Mund,159
132,stehn,159
133,Feind,159
134,Königin,159
135,E,159
136,Sonne,158
137,Mensch,157
138,wissen,157
139,Printz,157
140,Blitz,156
141,grosser,154
142,Rach,152
143,wäre,152
144,Land,151
145,Ruh,151
146,sollen,150
147,Mars,147
148,Eh,145
149,thut,145
150,Rache,144
151,her,143
152,geht,143
153,gibt,141
154,worden,141
155,Lieb,140
156,Auff,139
157,Todt,139
158,laß,138
159,Sol,138
160,hoch,138
161,That,137
162,gethan,137
163,lieber,136
164,Tochter,136
165,Freund,136
166,Gold,135
167,Ehre,134
168,Seelen,134
169,gehn,133
170,Stadt,133
171,Schatz,133
172,reden,132
173,Volck,132
174,sonder,132
175,Deß,132
176,Wort,131
177,lieben,131
178,Stahl,131
179,vil,131
180,gehen,129
181,Zorn,129
182,steht,129
183,finden,128
184,wolt,128
185,Fall,128
186,nunmehr,128
187,Hund,127
188,groß,126
189,Bruder,126
190,werd,126
191,endlich,126
192,Rath,124
193,Schönheit,124
194,fast,124
195,solt,123
196,eben,123
197,Käyser,123
198,nie,123
199,Grimm,123
200,sagt,122
201,Welch,122
202,Laster,121
203,bringen,121
204,gantze,120
205,besser,120
206,Brand,120
207,Flammen,119
208,Ehr,119
209,Glutt,118
210,Thränen,118
211,Drumb,118
212,offt,117
213,lasse,117
214,Römer,116
215,wenig,115
216,ward,115
217,alß,114
218,Gift,114
219,Schmach,114
220,sehn,114
221,gut,114
222,solch,113
223,Nein,113
224,Laß,113
225,bleiben,112
226,Leid,112
227,Hals,112
228,Jn,112
229,Faust,111
230,gahr,111
231,Last,110
232,Ketten,110
233,immer,110
234,liebe,110
235,voll,109
236,Treu,109
237,todt,109
238,Brunst,107
239,Lebens,107
240,leiden,107
241,Je,107
242,vnser,107
243,habt,106
244,eh,106
245,hält,106
246,Wil,106
247,Mord,106
248,GOTT,106
249,möchte,105
250,Gifft,105
251,Hencker,105
252,ewig,105
253,läßt,104
254,Schmertz,104
255,Schmertzen,104
256,werth,103
257,Wollust,103
258,Kan,103
259,gantzen,103
260,tragen,102
261,Glantz,101
262,Sinn,101
263,davon,100
264,Grab,99
265,fort,99
266,de,99
267,all,98
268,sucht,98
269,nehmen,97
270,küssen,97
271,guten,96
272,Weh,96
273,Printzen,96
274,gerne,95
275,Gefahr,95
276,Anton,94
277,könte,93
278,Jedoch,93
279,neue,93
280,Hoffnung,93
281,weit,92
282,wahr,92
283,acht,92
284,Feinde,92
285,Kopff,91
286,Hauß,91
287,Trost,91
288,Boßheit,91
289,Schatten,90
290,Freyheit,90
291,führen,90
292,Engel,89
293,Gottes,89
294,Gewissen,89
295,hören,89
296,Sinnen,89
297,sage,88
298,Gewalt,88
299,gebracht,88
300,Dis,88
301,wegen,87
302,Werck,87
303,lieb,87
304,fällt,87
305,wolle,87
306,lauter,87
307,darff,86
308,siht,86
309,Helden,86
310,Sternen,86
311,weh,86
312,Glücke,86
313,halten,85
314,Käysers,85
315,Haß,85
316,Bild,85
317,leicht,85
318,Mittel,85
319,dar,85
320,Unschuld,85
321,Zepter,85
322,Diener,85
323,ichs,84
324,gehet,84
325,unserm,84
326,Arm,84
327,kaum,84
328,Schwerdt,84
329,Himmels,84
330,schöne,84
331,jhre,84
332,must,83
333,seyd,83
334,lang,83
335,nein,83
336,ohn,83
337,Glieder,83
338,Muth,83
339,diser,83
340,einander,82
341,kommt,82
342,Sonn,82
343,Geld,82
344,bleibt,82
345,nimmermehr,82
346,hir,82
347,wehe,82
348,erst,81
349,Wunden,81
350,einmahl,81
351,Kopf,81
352,Ende,81
353,sehe,81
354,Jahr,80
355,Bey,80
356,Fürstin,80
357,schlagen,79
358,unsrer,79
359,bricht,79
360,Schluß,79
361,Schaar,79
362,last,78
363,gemacht,78
364,Unglück,78
365,weder,78
366,Gnade,78
367,August,78
368,wann,77
369,Sonnen,77
370,Muß,77
371,Heer,77
372,läst,77
373,Feuer,76
374,Biß,76
375,zwey,76
376,schlägt,76
377,Qual,76
378,eur,76
379,armen,76
380,spricht,75
381,oft,75
382,Laßt,75
383,Mörder,75
384,dahin,75
385,gute,74
386,Antlitz,74
387,Füssen,74
388,Itzt,74
389,bitten,74
390,je,74
391,Richter,74
392,Schaut,74
393,heist,74
394,Teuffel,73
395,stracks,73
396,lebe,73
397,Altar,72
398,Sachen,72
399,mögen,72
400,Straffe,72
401,Stand,72
402,auffs,72
403,ferner,72
404,aufs,71
405,Meer,71
406,gefallen,71
407,Schwester,71
408,Königs,71
409,Gnaden,71
410,stehen,70
411,Magd,70
412,Göttin,70
413,Knecht,70
414,schön,70
415,zusammen,69
416,Witz,69
417,helffen,69
418,Hände,69
419,Beil,69
420,bereit,69
421,Schelm,68
422,Tempel,68
423,Dolch,68
424,See,68
425,brechen,68
426,denen,68
427,n,68
428,Gesicht,68
429,disem,68
430,Hause,67
431,Umb,67
432,Händen,67
433,hoffen,67
434,Schau,67
435,hohen,67
436,Ehren,66
437,Glut,66
438,Natur,66
439,Grund,66
440,Waffen,66
441,geschehen,66
442,Sophie,66
443,Fuß,65
444,Sturm,65
445,stürtzen,65
446,thu,65
447,Tode,65
448,grimme,65
449,Marter,65
450,Libe,65
451,Soldaten,65
452,Jst,65
453,Ding,64
454,bringt,64
455,Trotz,64
456,lachen,64
457,wolln,64
458,Adern,64
459,übel,64
460,steckt,64
461,Pracht,64
462,höchster,64
463,Freude,64
464,verlohren,63
465,werdet,63
466,Stein,63
467,Frauen,63
468,Jahre,63
469,Kleid,63
470,dise,63
471,hundert,62
