,word,frequency
0,auff,47
1,sagt,37
2,zornig,29
3,ab,23
4,gantz,22
5,gar,21
6,gehet,17
7,spricht,14
8,geht,14
9,reden,13
10,vnnd,13
11,hefftig,11
12,nieder,10
13,traurig,10
14,erschrickt,10
15,schlagen,9
16,wil,9
17,einander,9
18,jhn,9
19,kopff,9
20,stehen,8
21,Hand,8
22,Schauplatz,8
23,singen,8
24,stehet,8
25,endlich,8
26,gehen,8
27,Hanß,8
28,Augen,7
29,Hie,7
30,kläglich,7
31,Hände,7
32,gesungen,7
33,hinein,6
34,vielen,6
35,mehr,6
36,deß,6
37,auß,6
38,üm,6
39,Geberden,6
40,kan,6
41,gespielet,6
42,schläget,6
43,fallen,6
44,zeiget,6
45,seye,6
46,freudig,6
47,verwundert,5
48,gelauffen,5
49,stöst,5
50,springt,5
51,verwandelt,5
52,kommen,5
53,herfür,5
54,ruffet,5
55,entrüstet,5
56,fähet,5
57,gahr,5
58,freundlich,5
59,muß,5
60,Lied,5
61,davon,5
62,bekleidet,5
63,Knie,5
64,schreiet,5
65,herauß,5
66,siehet,5
67,Gehet,5
68,etc,5
69,lachet,5
70,kratzt,5
71,lacht,5
72,schlegt,5
73,Schweiget,5
74,stille,5
75,Tochter,4
76,küsset,4
77,wegen,4
78,jhre,4
79,Hertzen,4
80,heimlich,4
81,Gebehrden,4
82,Reverentz,4
83,darauff,4
84,Jhn,4
85,hernach,4
86,Seiten,4
87,singet,4
88,voll,4
89,Jn,4
90,kompt,4
91,schreien,4
92,schlägt,4
93,peitschet,4
94,gibt,4
95,Gebärden,4
96,schreit,4
97,jhm,4
98,Teuffel,4
99,abermal,4
100,wenig,4
101,indeme,4
102,Frieden,4
103,legt,3
104,halb,3
105,weinet,3
106,setzt,3
107,ganz,3
108,redet,3
109,güldene,3
110,lassen,3
111,wider,3
112,höret,3
113,stellet,3
114,gleichsam,3
115,sehen,3
116,Jhr,3
117,ergrimmet,3
118,zornigen,3
119,tritt,3
120,prächtig,3
121,jedoch,3
122,gleichsahm,3
123,traurigen,3
124,Becher,3
125,geblasen,3
126,weise,3
127,plötzlich,3
128,kläglicher,3
129,folgender,3
130,hören,3
131,fället,3
132,sitzet,3
133,schön,3
134,Jnstrumenten,3
135,Cupidines,3
136,erscheinen,3
137,nebst,3
138,hinweg,3
139,lauffen,3
140,fehet,3
141,frölichen,3
142,Gesichte,3
143,gehn,3
144,frölich,3
145,grossem,3
146,antwortet,3
147,fangen,3
148,Kopf,3
149,Zitter,3
150,Ketten,3
151,deut,3
152,laufft,3
153,stab,3
154,Hierauf,3
155,jn,3
156,Jungfrawen,3
157,abe,3
158,Brieff,3
159,todt,3
160,schon,3
161,sagendt,3
162,komt,3
163,Satz,3
164,Potentaten,3
165,antworten,2
166,kömpt,2
167,Prügel,2
168,bringt,2
169,Göttlichen,2
170,Geitzes,2
171,schwartze,2
172,rasend,2
173,Kleidern,2
174,ficht,2
175,jämmerlich,2
176,ja,2
177,sollen,2
178,gleich,2
179,seyn,2
180,willkommen,2
181,Arm,2
182,machet,2
183,andächtig,2
184,fort,2
185,Gebürge,2
186,selbige,2
187,hüpffet,2
188,mercket,2
189,worauff,2
190,steiget,2
191,Mund,2
192,heraus,2
193,leget,2
194,Peitschen,2
195,trägt,2
196,jhrem,2
197,Himmels,2
198,preisen,2
199,loben,2
200,Thon,2
201,leuchten,2
202,wann,2
203,umb,2
204,Gefängnüß,2
205,Gegend,2
206,Gezelten,2
207,Haupte,2
208,güldenen,2
209,herrlich,2
210,schönen,2
211,Tapezereien,2
212,Thron,2
213,zuer,2
214,seiten,2
215,hönisch,2
216,Merkurio,2
217,hinder,2
218,hierauff,2
219,öffnet,2
220,allerhand,2
221,auffs,2
222,immer,2
223,hüpfet,2
224,springet,2
225,kniet,2
226,trinken,2
227,tantzet,2
228,schelten,2
229,bald,2
230,alsobald,2
231,Musik,2
232,angefangen,2
233,weinig,2
234,müssen,2
235,allezeit,2
236,Verß,2
237,Handlung,2
238,zuem,2
239,Ende,2
240,träget,2
241,Kopff,2
242,mahl,2
243,Pandor,2
244,weiß,2
245,gebrauchen,2
246,Zuseher,2
247,gen,2
248,Feldscherer,2
249,jämmerlichen,2
250,GOtt,2
251,Händen,2
252,Hierauff,2
253,gantze,2
254,Glaubens,2
255,Himmlischen,2
256,erscheinet,2
257,Todte,2
258,tantzen,2
259,Verwunderung,2
260,reissen,2
261,überlaut,2
262,weile,2
263,betrübet,2
264,Kleider,2
265,laut,2
266,Maule,2
267,betrübt,2
268,lieset,2
269,giebet,2
270,starck,2
271,bestürtzt,2
272,Cörper,2
273,brüstet,2
274,stösset,2
275,sicht,2
276,musiciret,2
277,todte,2
278,bedeckt,2
279,kömmt,2
280,Kleidung,2
281,Ohnmacht,2
282,sieht,2
283,bleibt,2
284,Gesicht,2
285,zittern,2
286,Blut,2
287,Hals,2
288,reißt,2
289,Degen,2
290,Käyser,2
291,worauf,2
292,Küsset,2
293,desto,2
294,Jupiters,2
295,Ehre,2
296,weitem,2
297,freudigen,2
298,wendet,2
299,hält,2
300,befürchte,2
301,Rücken,2
302,Orsanen,2
303,Donner,2
304,umarmen,2
305,Kommt,2
306,kommt,2
307,Jungen,2
