,word,frequency
0,gehen,1243
1,müssen,940
2,ja,920
3,lassen,810
4,wer,810
5,kommen,801
6,Ka,791
7,geben,635
8,gut,627
9,sehen,595
10,ab,583
11,sollen,576
12,wissen,550
13,stehen,537
14,Bey,531
15,Wol,523
16,mehr,511
17,schon,503
18,Aufferne,486
19,Jhr,450
20,Auff,447
21,bringen,433
22,gar,400
23,wohl,396
24,all,370
25,gleich,368
26,groß,349
27,recht,348
28,Sey,329
29,bald,320
30,hören,313
31,seyn,302
32,halten,294
33,Hand,293
34,nehmen,293
35,nein,290
36,sprechen,285
37,mögen,278
38,Jch,269
39,Sol,264
40,bleiben,254
41,Vn,253
42,setzen,242
43,wil,239
44,reden,237
45,hoch,236
46,solch,219
47,Deß,204
48,Wil,201
49,Wort,201
50,fallen,200
51,Tag,199
52,heißen,197
53,Di,196
54,Jhm,196
55,Sache,195
56,thu,194
57,tragen,193
58,auß,192
59,Recht,192
60,finden,191
61,suchen,191
62,führen,190
63,schön,179
64,lang,176
65,selber,173
66,ists,171
67,Nacht,169
68,wolen,168
69,Diß,168
70,stellen,165
71,geschehen,162
72,schauen,158
73,Biß,157
74,jhn,156
75,diß,154
76,fragen,154
77,eh,154
78,legen,151
79,bitten,146
80,lesen,146
81,wahr,145
82,schlagen,144
83,Käyser,144
84,Haus,137
85,Seyn,136
86,glauben,136
87,wider,136
88,Feind,134
89,Jahr,129
90,Thron,129
91,neu,128
92,hoffen,128
93,fort,128
94,je,127
95,solen,125
96,Land,125
97,O,124
98,weit,124
99,ruhen,123
100,Macht,123
101,zeigen,120
102,That,120
103,schicken,119
104,Fall,118
105,Gantz,116
106,Werck,116
107,folgen,114
108,denken,114
109,Nu,114
110,holen,111
111,lieb,110
112,Darzu,108
113,Blut,105
114,Ding,105
115,Schauplatz,104
116,brechen,103
117,davon,103
118,ziehen,101
119,Frey,101
120,Geld,100
121,Leib,99
122,schaffen,98
123,stecken,97
124,verstehen,96
125,Glück,96
126,leicht,96
127,itzen,96
128,singen,96
129,Aria,96
130,treten,95
131,Hauß,95
132,schreiben,93
133,sterben,93
134,hie,92
135,Sinn,92
136,kömmen,91
137,wann,91
138,stets,90
139,oft,90
140,vielleicht,90
141,ehren,89
142,bluten,89
143,letzt,89
144,Haupt,88
145,kennen,88
146,fahren,87
147,Auge,86
148,Sonne,86
149,dar,86
150,Stracks,86
151,Grund,86
152,liegen,86
153,Fuß,85
154,Se,85
155,hinein,84
156,schwer,84
157,begehren,84
158,Vns,84
159,Umb,83
160,wagen,83
161,wen,83
162,umb,82
163,Tochter,82
164,Schwerdt,82
165,At,82
166,Ach,81
167,treu,80
168,erscheinen,80
169,tun,80
170,endlich,80
171,warum,80
172,Ei,80
173,essen,79
174,Hir,79
175,sitzen,78
176,ach,78
177,fein,78
178,jhm,78
179,Ihro,78
180,offen,77
181,E,77
182,Gold,76
183,entdecken,76
184,fest,76
185,eben,75
186,fangen,75
187,Mittel,74
188,Gifft,74
189,Thu,74
190,Zimmer,74
191,Schiff,74
192,gewiß,74
193,jedoch,73
194,scheinen,73
195,Volck,73
196,Gnade,73
197,Briefferne,73
198,könen,72
199,Mund,72
200,klein,72
201,erfahren,71
202,immer,71
203,Auß,71
204,dürfen,71
205,wenig,71
206,Freund,71
207,gerne,71
208,Hof,71
209,geschwind,70
210,voll,70
211,Kopfferne,70
212,möchten,70
213,See,69
214,Stahl,68
215,brauchen,68
216,wehren,68
217,gehören,68
218,etlich,68
219,Datum,68
220,weniger,67
221,halb,67
222,pflegen,67
223,Exzellenz,67
224,Hanß,67
225,schließen,66
226,gantzen,66
227,Waffe,66
228,niemand,66
229,bewegen,65
230,eilen,65
231,Ey,65
232,Schau,64
233,sihen,63
234,spielen,63
235,Drumb,63
236,fehlen,63
237,dienen,62
238,Auffs,62
239,kompen,61
240,Bild,61
241,nebst,61
242,Krieg,61
243,Rey,61
244,Printz,61
245,vieler,61
246,mer,61
247,Gefahr,60
248,Traum,60
249,reißen,60
250,still,60
251,Ort,60
252,Kunst,59
253,A,59
254,zwingen,59
255,jung,59
256,Last,59
257,reisen,59
258,ohn,59
259,königlich,59
260,vnser,59
261,lernen,58
262,sicher,58
263,oberer,58
264,warten,58
265,herein,58
266,befehlen,58
267,Heil,58
268,vergehen,58
269,Ohr,58
270,gewinnen,58
271,lauffen,57
272,Gift,57
273,Gute,57
274,edel,57
275,Brust,57
276,Bett,57
277,Wind,57
278,wegen,57
279,heuen,57
280,vorig,57
281,Ewr,56
282,Flamme,56
283,gelten,56
284,rein,56
285,lehren,56
286,Stück,56
287,Majestät,56
288,falsch,55
289,Ende,55
290,reichen,55
291,Stunde,54
292,Darnach,54
293,nie,54
294,morgen,54
295,Muth,54
296,Kompt,54
297,schlaff,53
298,ehrlich,53
299,Frucht,53
300,Arm,53
301,trauen,53
302,kaum,53
303,klug,53
304,fast,53
305,August,53
306,heimlich,53
307,ganz,53
308,heute,52
309,Spiel,52
310,Noth,52
311,Warumb,52
312,itzt,52
313,richten,52
314,Schwartz,51
315,Buch,51
316,Gemach,51
317,steigen,51
318,halt,51
319,hernach,51
320,hart,51
321,Zepter,51
322,treffen,50
323,kehren,50
324,Befehl,50
325,Ehre,50
326,Blitz,50
327,alleine,50
328,springen,50
329,Todt,50
330,verzeihen,50
331,schlecht,49
332,Schein,49
333,kriegen,49
334,frisch,49
335,Kopf,49
336,ruffen,49
337,treiben,48
338,Frieden,48
339,dafür,48
340,Unsre,48
341,Haar,48
342,Kette,48
343,bauen,48
344,versprechen,48
345,stoßen,48
346,verrichten,48
347,Darff,48
348,Stand,48
349,diser,48
350,gemein,48
351,heraus,48
352,Juncker,48
353,listen,47
354,verändern,47
355,nunmehr,47
356,Lager,47
357,nennen,47
358,Kercker,47
359,heben,47
360,Degen,47
361,vernehmen,47
362,vil,47
363,verschwinden,46
364,Band,46
365,Unschuld,46
366,Glutt,46
367,Schatz,46
368,binden,46
369,dringen,46
370,dencken,46
371,Non,46
372,Antoniu,46
373,Vincentiu,46
374,Ab,45
375,weichen,45
376,Hals,45
377,Rach,45
378,Vil,45
379,J,45
380,Kapitänleutenant,45
381,solt,44
382,versuchen,44
383,seit,44
384,Abas,44
385,zuvor,44
386,gern,44
387,My,44
388,bekommen,43
389,frembd,43
390,wünschen,43
391,bemühen,43
392,streng,43
393,darnach,43
394,jhren,43
395,Seyd,42
396,einmalen,42
397,Entzwey,42
398,bereit,42
399,Schlange,42
400,Theil,42
401,verbinden,42
402,Gesicht,42
403,Genung,42
404,fürstlich,42
405,trinken,42
406,Hastu,41
407,genug,41
408,Fort,41
409,Kleid,41
410,schweigen,41
411,Mond,41
412,blasen,41
