,word,frequency
0,sollen,59
1,sehen,33
2,müssen,18
3,kommen,16
4,ganz,16
5,wohl,16
6,auslachen,16
7,all,16
8,recht,15
9,lassen,15
10,gut,13
11,schon,13
12,gleich,13
13,wer,12
14,wissen,11
15,geben,11
16,mögen,10
17,bald,10
18,ja,9
19,verdienen,9
20,bringen,9
21,davon,8
22,verderben,8
23,mehr,8
24,gewiß,8
25,gehen,7
26,neu,7
27,denken,7
28,Vergnügen,7
29,groß,7
30,heute,7
31,endlich,6
32,eben,6
33,gar,6
34,glauben,6
35,klein,6
36,Hand,6
37,thu,6
38,schön,5
39,möchten,5
40,fangen,5
41,Feind,5
42,Lohn,5
43,seyn,5
44,lernen,5
45,Triumph,5
46,boshaft,5
47,itzen,5
48,Tochter,5
49,geschehen,5
50,vergehen,5
51,lang,5
52,bös,5
53,Bey,5
54,Tag,5
55,schlecht,5
56,lehren,5
57,lieber,5
58,legen,5
59,kriegen,5
60,Brief,5
61,Sache,4
62,Nu,4
63,wünschen,4
64,jed,4
65,Haus,4
66,eh,4
67,kömmen,4
68,rächen,4
69,sprechen,4
70,weniger,4
71,finden,4
72,O,4
73,gefallen,4
74,reden,4
75,tun,4
76,listen,4
77,verlieren,4
78,Streich,4
79,Kopf,4
80,spotten,4
81,wahr,4
82,halb,4
83,ehrlich,4
84,spielen,4
85,Sey,3
86,merken,3
87,brechen,3
88,Spaß,3
89,itzt,3
90,lieb,3
91,vertreiben,3
92,Verdienst,3
93,Fall,3
94,entgehen,3
95,Zeug,3
96,Schlacht,3
97,hoch,3
98,rauben,3
99,Wut,3
100,ergötzen,3
101,danken,3
102,toll,3
103,gewinnen,3
104,dafür,3
105,Dabey,3
106,vielleicht,3
107,solch,3
108,Posse,3
109,Seyn,3
110,stehen,3
111,Weise,3
112,glücklich,3
113,ausfallen,3
114,schicken,3
115,respectiv,3
116,immer,3
117,Verdruß,3
118,nennen,3
119,voll,3
120,Jahr,3
121,Schling,3
122,locken,3
123,übrig,3
124,erhalten,3
125,nehmen,3
126,beschämen,3
127,klug,3
128,bekommen,3
129,kurz,3
130,brauchen,3
131,Glück,3
132,Ka,3
133,dennoch,3
134,Beth,3
135,Stand,3
136,Ducaten,2
137,greifen,2
138,Eisen,2
139,Maul,2
140,Gedanke,2
141,Gift,2
142,daraus,2
143,kosten,2
144,Nacht,2
145,Hals,2
146,wixen,2
147,schlagen,2
148,Name,2
149,stecken,2
150,wunderlich,2
151,vortreflich,2
152,unterdessen,2
153,erfahren,2
154,treu,2
155,ohnehin,2
156,50,2
157,Spott,2
158,Dank,2
159,zehn,2
160,Beute,2
161,Dolche,2
162,Bräut,2
163,fliegen,2
164,stellen,2
165,fallen,2
166,erleben,2
167,Leiche,2
168,Vorwand,2
169,Abend,2
170,schmecken,2
171,schreiben,2
172,meyn,2
173,heraus,2
174,wenigstens,2
175,entführen,2
176,Auge,2
177,Ducat,2
178,Mägdche,2
179,darauf,2
180,Weile,2
181,wann,2
182,Grimasse,2
183,entdecken,2
184,Unglück,2
185,Ding,2
186,Prozeß,2
187,vollkommen,2
188,halten,2
189,Monopolium,2
190,Fort,2
191,Geld,2
192,Ursache,2
193,gerecht,2
194,ziehen,2
195,Freund,2
196,vollführen,2
197,Frevel,2
198,Geschick,2
199,geheim,2
200,kennen,2
201,Unsre,2
202,Verlust,2
203,verhelfen,2
204,Sieg,2
205,Wahrheit,2
206,Dorf,2
207,jung,2
208,ebenso,2
209,niederträchtig,2
210,ungerecht,2
211,Arm,2
212,fahren,2
213,fort,2
214,Mühe,2
215,vollends,2
216,Ende,2
217,angenehm,2
218,morgen,2
219,Degen,2
220,liegen,2
221,dürfen,2
222,Rücken,2
223,Lied,2
224,ankömmen,2
225,hart,2
226,Schmatz,2
227,Glas,2
228,niemals,2
229,scheinen,2
230,vergessen,2
231,dießen,2
232,schenken,2
233,zufrieden,2
