,word,frequency
0,sollen,471
1,müssen,266
2,lassen,249
3,gehen,218
4,ja,207
5,reden,153
6,sehen,152
7,wissen,152
8,hören,145
9,schweigen,140
10,wer,139
11,gut,126
12,wohl,125
13,mehr,119
14,all,115
15,schon,113
16,nein,107
17,geben,106
18,gar,102
19,kommen,98
20,nehmen,95
21,böse,94
22,denken,85
23,mögen,84
24,glauben,77
25,halten,77
26,gleich,76
27,ganz,76
28,seyn,75
29,recht,70
30,übel,69
31,Haus,65
32,zornig,65
33,Wut,63
34,solch,61
35,verstehen,61
36,gewiß,58
37,Wort,57
38,tun,56
39,immer,55
40,möchten,54
41,warum,53
42,bleiben,51
43,sprechen,51
44,drohen,49
45,thu,47
46,bald,46
47,Ey,46
48,schimpfen,46
49,dumm,46
50,O,45
51,ärgern,45
52,Bey,44
53,bringen,44
54,stehen,44
55,lieber,44
56,dürfen,42
57,Maul,42
58,Hand,42
59,heute,42
60,Kopf,42
61,eben,42
62,Tochter,41
63,Tag,41
64,genug,40
65,finden,39
66,ab,38
67,Sache,37
68,heißen,37
69,still,37
70,stoßen,37
71,lang,37
72,wahr,34
73,Gesicht,34
74,setzen,34
75,schlagen,33
76,weit,33
77,hitzig,33
78,je,33
79,Geld,33
80,Henker,33
81,spotten,33
82,wegen,32
83,erzürnen,32
84,bös,32
85,zürnen,32
86,Freund,31
87,voll,30
88,lieb,30
89,fallen,30
90,Recht,30
91,vielleicht,30
92,gehören,29
93,groß,29
94,schämen,29
95,davon,29
96,nennen,29
97,Brief,28
98,stören,28
99,brauchen,27
100,los,27
101,darüber,27
102,oft,27
103,Nu,26
104,bekommen,26
105,Auge,26
106,Rede,26
107,kömmen,26
108,dafür,26
109,merken,25
110,werfen,25
111,verdammt,25
112,selber,25
113,verdrießlich,25
114,Sey,24
115,fort,24
116,kriegen,24
117,halb,24
118,bezahlen,24
119,verdienen,24
120,Ding,24
121,endlich,24
122,wann,24
123,schicken,23
124,Art,23
125,lesen,23
126,wider,23
127,unverschämt,23
128,anhören,23
129,kennen,22
130,itzt,22
131,gern,22
132,höhnisch,22
133,klein,22
134,wütend,22
135,schön,21
136,wenig,21
137,weniger,21
138,reißen,21
139,bitten,21
140,laufen,21
141,Schelm,21
142,Jahr,21
143,jagen,20
144,Nacht,20
145,neu,20
146,Mama,20
147,aufbringen,20
148,Wuth,20
149,Streich,20
150,jung,19
151,laut,19
152,fahren,19
153,Ende,19
154,schreiben,19
155,Hals,19
156,niederträchtig,19
157,gefallen,18
158,suchen,18
159,fangen,18
160,Ohr,18
161,schuldig,18
162,Pfui,18
163,hoch,18
164,daran,18
165,Freundschaft,18
166,Schwester,18
167,schlecht,18
168,Zank,18
169,hart,17
170,fragen,17
171,zeigen,17
172,Mund,17
173,Verdruß,17
174,führen,17
175,unterstehen,17
176,Wahrheit,17
177,Lohn,17
178,schimpflich,17
179,Streit,17
180,Stelle,17
181,rasend,17
182,sauer,16
183,befehlen,16
184,empören,16
185,ungerecht,16
186,beleidigen,16
187,quälen,16
188,kosten,16
189,Schurke,16
190,Ehre,16
191,Stunde,16
192,gieben,15
193,zwingen,15
194,verlangen,15
195,umsonst,15
196,wahrhaftig,15
197,heraus,15
198,lernen,15
199,ansehen,15
200,verächtlich,15
201,Fuß,15
202,gottlos,15
203,Schlingel,15
204,falsch,15
205,eher,15
206,gerne,15
207,tragen,14
208,vergessen,14
209,Geduld,14
210,ziehen,14
211,Glück,14
212,Lärm,14
213,Ohrfeige,14
214,gnädig,14
215,strafen,14
216,anfangen,14
217,undankbar,14
218,darauf,14
219,betrügen,14
220,Zeug,14
221,Sprache,14
222,unsinnig,14
223,Geschwätz,14
224,höflich,14
225,darum,14
226,treiben,14
227,legen,14
228,Spitzbub,14
229,Ursache,14
230,umgehen,14
231,Ka,13
232,etwa,13
233,grob,13
234,wenigstens,13
235,fein,13
236,Verdacht,13
237,Arm,13
238,stellen,13
239,weder,13
240,bloß,13
241,unhalten,13
242,Antwort,13
243,grausam,13
244,vorhin,13
245,rächen,13
246,fremd,13
247,trotzig,13
248,bestrafen,13
249,helfen,13
250,klug,13
251,Augenblick,13
252,Ei,13
253,kaum,12
254,heuen,12
255,Posse,12
256,Prügel,12
257,Schatz,12
258,brechen,12
259,lieben,12
260,niemals,12
261,Degen,12
262,antworten,12
263,ärgerlich,12
264,deutsch,12
265,auslachen,12
266,arg,12
267,Weise,12
268,Muhme,12
269,warten,11
270,Seyn,11
271,drum,11
272,Grobheit,11
273,geschwind,11
274,zurück,11
275,lehren,11
276,hoffen,11
277,eh,11
278,itzen,11
279,leicht,11
280,beschimpfen,11
281,Fluch,11
282,drohend,11
283,erzählen,11
284,vieler,11
285,Lüge,11
286,nöthig,11
287,Bösewicht,11
288,jemand,11
289,deswegen,11
290,Gewissen,11
291,niemand,10
292,trinken,10
293,fast,10
294,geschehen,10
295,Ruhe,10
296,scheinen,10
297,gering,10
298,prügeln,10
299,herum,10
300,Scherz,10
301,rufen,10
302,lächerlich,10
303,Lisett,10
304,erlauben,10
305,verdrüßlich,10
306,vortrefflich,10
307,Frage,10
308,Pflicht,10
309,verlieren,10
310,schwören,10
311,Vorwurf,10
312,ach,10
313,liegen,10
314,frei,10
315,Wille,10
316,Dank,10
317,toll,10
318,Heller,10
319,arm,10
320,Befehl,10
321,verlassen,10
322,närrisch,10
323,Zimmer,10
324,Kleinigkeit,10
325,ungeduldig,10
326,zanken,10
327,ehe,10
328,etwan,10
329,ändern,9
330,seyd,9
331,Gieb,9
332,Gelegenheit,9
333,stecken,9
334,ehrlich,9
335,spielen,9
336,packen,9
337,Mühe,9
338,Meinung,9
339,Sinn,9
340,holen,9
341,unwillig,9
342,Miene,9
343,wem,9
344,welch,9
345,Verräther,9
346,Blick,9
347,Feind,9
348,statt,9
349,Ton,9
350,erklären,9
351,unerträglich,9
352,Name,9
353,übrig,9
354,reizen,9
355,dabei,9
356,eigen,9
357,tadeln,9
358,Geschlecht,9
359,Stube,9
360,Cathrin,9
361,möglich,9
362,lustig,9
363,Hut,9
364,verdammen,9
365,Uhr,9
366,schade,8
367,jed,8
368,aussetzen,8
369,eigensinnig,8
370,dießen,8
371,Bein,8
372,steigen,8
373,Spaß,8
374,sterben,8
375,Krieg,8
376,Bosheit,8
377,Frey,8
378,kurz,8
379,Umstand,8
380,ziemlich,8
381,stolz,8
382,künftig,8
383,hintergehen,8
384,beschweren,8
385,streiten,8
386,letzt,8
387,Grund,8
388,Beleidigung,8
389,Unsre,8
390,Blut,8
391,treten,8
392,winken,8
393,Tyrann,8
394,ewig,8
395,freilich,8
396,Schelte,8
397,rasen,8
398,dergleichen,8
399,unrecht,8
400,hernach,8
401,Dabey,8
402,drauf,8
403,deutlich,8
404,widersprechen,8
405,einfältig,8
406,hinaus,8
407,hübsch,8
408,Thaler,8
409,Buch,8
410,entweder,8
411,ordentlich,8
412,Vers,8
413,Fehler,8
414,durchaus,8
415,schmälen,8
416,verfluchen,8
417,Stück,8
418,unwürdig,8
419,übelnehmen,8
420,Mal,8
421,Julian,8
422,Gedanke,7
423,Thu,7
424,schmeißen,7
425,schaffen,7
426,Flegel,7
427,Gnade,7
428,Gehorsam,7
429,leiden,7
430,wagen,7
431,erkennen,7
432,Familie,7
433,bewegen,7
434,versprechen,7
435,schwer,7
436,unmöglich,7
437,Gericht,7
438,verzeihen,7
439,fliehen,7
440,Verbrechen,7
441,stets,7
442,behalten,7
443,überall,7
444,kränken,7
445,rauben,7
446,Seyd,7
447,Gute,7
448,verbergen,7
