,word,frequency
0,arm,186
1,Mitleid,147
2,bedauern,55
3,sollen,50
4,lieb,45
5,sehen,40
6,müssen,37
7,unglücklich,36
8,fehlen,34
9,lassen,31
10,beklagen,28
11,gut,27
12,nein,27
13,mehr,25
14,ach,25
15,ja,24
16,O,23
17,gehen,23
18,wissen,23
19,bekümmern,22
20,wer,22
21,kommen,21
22,denken,20
23,Arm,20
24,seyn,20
25,Freund,19
26,Unglück,18
27,Schwester,17
28,nehmen,16
29,schon,16
30,gewiß,16
31,helfen,16
32,ganz,16
33,leid,15
34,geschehen,15
35,gnädig,15
36,Bey,15
37,Tochter,15
38,vielleicht,15
39,wohl,15
40,gar,14
41,mitleidig,14
42,weinen,13
43,recht,13
44,Ach,13
45,jammern,13
46,lieber,12
47,genug,12
48,verdienen,12
49,Sey,11
50,geben,11
51,schade,11
52,hören,10
53,thu,10
54,vergeben,10
55,all,10
56,verzeihen,10
57,tun,10
58,schön,9
59,unschuldig,9
60,mögen,9
61,beleidigen,9
62,Auge,9
63,Fehler,8
64,grausam,8
65,Pflicht,8
66,büßen,8
67,Erbarmen,8
68,bald,8
69,sorgen,7
70,wenig,7
71,dürfen,7
72,flehen,7
73,einzig,7
74,reden,7
75,empfinden,7
76,bleiben,7
77,etwa,7
78,Thräne,7
79,glauben,7
80,willen,7
81,klagen,7
82,gleich,7
83,Luci,7
84,Damo,7
85,darum,7
86,wahrhaftig,6
87,halten,6
88,fort,6
89,betaur,6
90,schonen,6
91,tragen,6
92,scheinen,6
93,zurück,6
94,wahr,6
95,Mama,6
96,bringen,6
97,warum,6
98,erbarmen,6
99,nahe,6
100,Träne,6
101,kennen,6
102,Seyn,6
103,selber,6
104,Noth,6
105,vieler,6
106,rächen,6
107,groß,5
108,wenigstens,5
109,gern,5
110,bewegen,5
111,Befreyen,5
112,Gram,5
113,jung,5
114,gethan,5
115,beten,5
116,Haus,5
117,fürchten,5
118,fühlen,5
119,solch,5
120,Zärtlichkeit,5
121,lang,5
122,mitleidsvoll,5
123,Gewissen,5
124,übel,5
125,vergessen,5
126,Schmerz,5
127,Mägdche,5
128,Augenblick,5
129,eben,5
130,lernen,5
131,Elend,5
132,Hannche,5
133,klein,4
134,trösten,4
135,schlimm,4
136,möchten,4
137,krank,4
138,befreyt,4
139,Strafe,4
140,rühren,4
141,finden,4
142,Vorwurf,4
143,verlassen,4
144,Ehre,4
145,Bedenken,4
146,allzu,4
147,liebenswürdig,4
148,schweigen,4
149,Unschuld,4
150,Blut,4
151,Blick,4
152,Menschlichkeit,4
153,stehen,4
154,Barmherzigkeit,4
155,Geld,4
156,Verlust,4
157,Juli,4
158,Hand,4
159,beschwören,4
160,niemals,4
161,dafür,4
162,Geschlecht,4
163,endlich,4
164,barmherzig,4
165,brauchen,4
166,Verbrechen,4
167,Mittel,4
168,anflehen,4
169,immer,4
170,selig,4
171,daran,4
172,Lucien,4
173,verlangen,4
174,Reue,4
175,sprechen,4
176,entschuldigen,4
177,weit,3
178,Glück,3
179,Engerl,3
180,bekommen,3
181,wegen,3
182,Nacht,3
183,schlecht,3
184,ehrlich,3
185,Arme,3
186,statt,3
187,nie,3
188,reuen,3
189,beweinen,3
190,bestrafen,3
191,bloß,3
192,ab,3
193,Unrecht,3
194,Leib,3
195,Zustand,3
196,Gedanke,3
197,würdig,3
198,dahin,3
199,bitten,3
200,derjenige,3
201,Ursache,3
202,ansehen,3
203,lesen,3
204,Klementin,3
205,womit,3
206,wünschen,3
207,bekümmert,3
208,heilig,3
209,sterben,3
210,töten,3
211,Recht,3
212,ziehen,3
213,umsonst,3
214,schwach,3
215,rufen,3
216,weh,3
217,lieben,3
218,wiederum,3
219,Tu,3
220,voraus,3
221,versuchen,3
222,Ding,3
223,erwarten,3
224,klug,3
225,Nu,3
226,zärtlich,3
227,gerne,3
228,zuvor,3
229,verantworten,3
230,begreifen,3
231,Beystand,3
232,verbinden,3
233,betrügen,3
234,Schaden,3
235,menschlich,3
236,unglückselig,3
237,Tag,3
238,schuldig,3
239,liebreich,3
240,kurz,3
241,jed,3
242,messen,3
243,verschonen,3
244,erheben,3
245,bemerken,3
246,eigen,3
247,davon,3
248,gestehen,3
249,Schelm,3
250,Schwachheit,3
251,Art,3
252,Vergebung,3
253,edel,3
254,danken,3
255,sitzen,3
256,Vergieb,3
257,Brief,3
258,jemand,3
259,schämen,3
260,Muhme,3
261,fast,3
262,allerliebst,3
263,fangen,3
264,mitleidend,3
265,laufen,3
266,Lisett,3
267,Julian,3
268,Verdruß,3
269,Wehmut,3
270,Lottche,3
271,Sache,3
272,Mühe,2
273,erlauben,2
274,schaden,2
275,gedenken,2
276,heute,2
277,belohnen,2
278,fein,2
279,Grund,2
280,Falbe,2
281,unrecht,2
282,öfter,2
283,liegen,2
284,fragen,2
285,verzeyh,2
286,tilgen,2
287,itzen,2
288,fahren,2
289,hülflos,2
290,übergeben,2
291,dringen,2
292,folgen,2
293,ists,2
294,geschwind,2
295,angenehm,2
296,Wort,2
297,schleunig,2
298,heißen,2
299,Unglückliche,2
300,möglich,2
301,erbitten,2
302,verschmähen,2
303,Wahrheit,2
304,Mund,2
305,rührend,2
306,widerstehen,2
307,bewundern,2
308,Wunde,2
309,Kampf,2
310,zerreissen,2
311,erhalten,2
312,erinnern,2
313,Theure,2
314,Flucht,2
315,Anblick,2
316,hersenden,2
317,führen,2
318,Jüngling,2
319,zart,2
320,trauern,2
321,Sprache,2
322,matt,2
323,wohnen,2
324,Verdienst,2
325,dadurch,2
326,zitternd,2
327,leicht,2
328,erfahren,2
329,brav,2
330,Seinig,2
331,sauer,2
332,verdient,2
333,stecken,2
334,ansprechen,2
335,Trunk,2
336,oft,2
337,wert,2
338,tauern,2
339,Erniedrigung,2
340,suchen,2
341,Tür,2
342,gutherzig,2
343,versagen,2
344,Unsers,2
345,indessen,2
346,weichherzig,2
347,breit,2
348,gerathen,2
349,tyrannisch,2
350,gieben,2
351,brechen,2
352,Leidenschaft,2
353,Aufführung,2
354,freylich,2
355,gottlos,2
356,wiedergeben,2
357,Beym,2
358,jetzo,2
359,aufnehmen,2
360,Vermögen,2
361,Dank,2
362,werfen,2
363,verursachen,2
364,Philint,2
365,weitläuftig,2
366,beschämen,2
367,beständig,2
368,Umgang,2
369,gütig,2
370,zeigen,2
371,Dabey,2
372,kränken,2
373,Umstand,2
374,dabei,2
375,o,2
376,bereit,2
377,letzt,2
378,Unglückselige,2
379,stets,2
380,beschämt,2
381,verhaßt,2
382,verstehen,2
383,bereits,2
384,Entfernung,2
385,berauben,2
386,fließen,2
387,retten,2
388,verlieren,2
389,würdigen,2
390,schließen,2
391,fliehen,2
392,darunter,2
393,Cathrin,2
394,besitzen,2
395,rechtschaffen,2
396,verhelfen,2
397,Dero,2
398,fallen,2
399,Menschenliebe,2
400,annehmen,2
401,Eltern,2
402,verächtlich,2
403,Freundschaft,2
404,Stolz,2
405,Ruhe,2
406,Name,2
407,ausweinen,2
408,hoffen,2
409,hart,2
410,jemals,2
411,fähig,2
412,wen,2
413,bejammernswürdig,2
414,eigennützig,2
415,deswegen,2
416,leiden,2
417,weis,2
418,Zeuch,2
419,fremd,2
420,listen,2
421,verzweifelt,2
422,allezeit,2
423,reißen,2
424,Feind,2
425,Mittleid,2
426,strafen,2
427,zweifeln,2
428,Gesundheit,2
429,Darben,2
430,Ei,2
431,Hals,2
432,still,2
433,Wange,2
434,Standhaft,2
435,bestimmen,2
436,Zeichen,2
437,Vergnügen,2
438,herunter,2
439,Gethan,2
440,freigebig,2
441,schaffen,2
442,Leid,2
443,Kreuz,2
444,freilich,2
445,Abschied,2
446,großmütig,2
447,schwer,2
448,aufwachsen,2
449,wann,2
450,wüst,2
451,Medo,2
452,Vorsatz,2
453,erweisen,2
454,grämen,2
455,Mädge,2
456,weder,2
457,ewig,2
458,äußerst,2
459,Gebot,2
460,dencken,2
461,Licentiat,2
462,arbeiten,2
463,colombinisch,1
464,Heurath,1
465,Fisperl,1
466,heurathest,1
467,erhören,1
468,Braut,1
469,Fuß,1
470,Colombin,1
471,richten,1
472,fest,1
473,erwischen,1
474,Ehe,1
475,Satisfaction,1
476,heurathen,1
477,väterlich,1
478,getreu,1
479,Perücke,1
480,täglich,1
481,Hase,1
482,erlegen,1
483,wozu,1
484,nützen,1
485,Wehmuth,1
486,außer,1
487,Bath,1
488,Ohr,1
489,Woche,1
490,verdorben,1
491,dumm,1
492,Auerhah,1
493,Lembrand,1
494,ergehen,1
495,falsch,1
496,türkisch,1
497,Forstheim,1
498,Schätzchen,1
499,wehen,1
500,verwundet,1
501,willigen,1
502,begehen,1
