,word,frequency
0,fürchten,200
1,erschrecken,88
2,fliehen,85
3,sollen,83
4,müssen,76
5,sehen,75
6,Angst,73
7,kommen,73
8,zittern,71
9,schon,68
10,kömmen,64
11,O,59
12,helfen,54
13,möchten,50
14,wer,50
15,ja,47
16,lassen,45
17,wissen,45
18,bange,45
19,ängstlich,45
20,gewiß,41
21,mehr,40
22,gehen,40
23,scheuen,40
24,ganz,38
25,willen,37
26,wohl,34
27,furchtsam,33
28,gar,33
29,glauben,33
30,besorgen,30
31,hören,29
32,recht,29
33,immer,28
34,seyn,27
35,Bey,27
36,nein,27
37,ach,27
38,gleich,26
39,Zittre,26
40,Gefahr,25
41,all,25
42,gut,24
43,geben,24
44,vielleicht,23
45,laufen,23
46,ängstigen,23
47,nehmen,23
48,trauen,22
49,thu,22
50,halten,21
51,bald,21
52,groß,21
53,verlieren,20
54,Feind,19
55,denken,19
56,stehen,18
57,Nacht,18
58,Hand,18
59,eben,18
60,Unglück,17
61,dürfen,17
62,Haus,16
63,davon,16
64,bös,16
65,entdecken,16
66,scheinen,16
67,entsetzlich,15
68,bringen,15
69,Gnade,15
70,verbergen,15
71,entfliehen,15
72,bitten,15
73,geschehen,14
74,bleiben,14
75,gefährlich,14
76,beben,14
77,Entsetzen,14
78,bestürzt,14
79,erwarten,13
80,mögen,13
81,warum,13
82,leicht,13
83,drohen,13
84,behüten,13
85,Auge,13
86,Freund,13
87,voll,12
88,schreien,12
89,eilen,12
90,sterben,12
91,nah,12
92,fassen,12
93,tun,12
94,Ach,12
95,solch,12
96,fangen,11
97,Sache,11
98,befürchten,11
99,schlagen,11
100,oft,11
101,Sey,11
102,reden,11
103,lieber,11
104,Todesangst,11
105,arg,10
106,unmöglich,10
107,weniger,10
108,genug,10
109,lang,10
110,hüten,10
111,sprechen,10
112,neu,10
113,fühlen,10
114,Tag,10
115,laut,10
116,furchtbar,10
117,wenigstens,10
118,retten,10
119,verstecken,10
120,stecken,9
121,gnädig,9
122,fort,9
123,Wort,9
124,finden,9
125,niemand,9
126,Fluch,9
127,fallen,9
128,Flucht,9
129,fast,9
130,kennen,9
131,jemand,9
132,suchen,9
133,lieb,9
134,Seyn,9
135,selber,9
136,Schwester,9
137,hintergehen,9
138,schleichen,9
139,begegnen,8
140,Fall,8
141,darum,8
142,angst,8
143,verrathen,8
144,holen,8
145,erwecken,8
146,Augenblick,8
147,weichen,8
148,jed,8
149,itzen,8
150,nennen,8
151,wenig,8
152,Gegenwart,8
153,Sinn,8
154,übel,7
155,sicher,7
156,wirklich,7
157,etwa,7
158,verfolgen,7
159,dießen,7
160,anfangen,7
161,Wille,7
162,lieben,7
163,schwören,7
164,überall,7
165,Abgrund,7
166,rasend,7
167,je,7
168,scheu,7
169,That,7
170,schnell,7
171,warnen,7
172,springen,7
173,geheim,7
174,schrecklich,7
175,verschonen,7
176,Zimmer,7
177,dafür,7
178,wohin,7
179,Weise,7
180,schützen,7
181,zitternd,7
182,schaudern,6
183,Haut,6
184,sorgen,6
185,Lauf,6
186,Unsre,6
187,erschrecklich,6
188,Gedanke,6
189,Folge,6
190,Blick,6
191,fechten,6
192,heute,6
193,wünschen,6
194,folgen,6
195,Traum,6
196,Absicht,6
197,Stunde,6
198,Beängstigung,6
199,Schauer,6
200,fürchterlich,6
201,klein,6
202,gewahren,6
203,ab,6
204,Vorsicht,6
205,Ihro,6
206,Ka,6
207,wahr,6
208,Ursache,6
209,weit,6
210,umsonst,6
211,Verdacht,6
212,beschwören,6
213,Hals,6
214,wann,6
215,Übel,5
216,wegen,5
217,nahe,5
218,heuen,5
219,hart,5
220,gerne,5
221,entsetzen,5
222,Donner,5
223,erschlagen,5
224,verderben,5
225,bedenken,5
226,Macht,5
227,meyn,5
228,brauchen,5
229,Gesicht,5
230,nie,5
231,reißen,5
232,kaum,5
233,eh,5
234,Ort,5
235,merken,5
236,närrisch,5
237,allzu,5
238,verzeihen,5
239,Herzen,5
240,verstehen,5
241,Stirn,5
242,zeigen,5
243,ehe,5
244,verschweigen,5
245,davor,5
246,bleich,5
247,Name,5
248,Ungeheuer,5
249,Grab,5
250,werfen,5
251,itzt,5
252,wahrhaftig,5
253,strafen,5
254,Muth,5
255,geschwind,5
256,beschützen,5
257,besorgt,5
258,darauf,5
259,verlassen,5
260,Schutz,5
261,Recht,5
262,erfüllen,5
263,Anblick,5
264,Art,5
265,halb,5
266,schwach,5
267,erblicken,5
268,überfallen,5
269,Verderben,5
270,schauert,5
271,Böse,5
272,Dabey,5
273,ziehen,5
274,Furchtbarkeit,5
275,daher,5
276,Noth,5
277,stellen,4
278,dahin,4
279,Tochter,4
280,legen,4
281,benehmen,4
282,erhalten,4
283,setzen,4
284,brennen,4
285,sobald,4
286,tragen,4
287,Himmelswille,4
288,blitzen,4
289,Land,4
290,möglich,4
291,wen,4
292,zwingen,4
293,empfinden,4
294,theils,4
295,Glück,4
296,Hölle,4
297,arm,4
298,Hitze,4
299,aufhören,4
300,schonen,4
301,verursachen,4
302,wider,4
303,hoffen,4
304,treiben,4
305,schlimm,4
306,gefürchtet,4
307,Bangigkeit,4
308,verschließen,4
309,letzt,4
310,schlafen,4
311,schlummern,4
312,schreckenvoll,4
313,hervor,4
314,Schwert,4
315,lehren,4
316,verraten,4
317,still,4
318,Thron,4
319,zurück,4
320,falsch,4
321,endlich,4
322,weder,4
323,Verbindung,4
324,Ungetreue,4
325,ungestüm,4
326,schüchtern,4
327,rühren,4
328,übereilen,4
329,Dalto,4
330,schicken,4
331,führen,4
332,Ohnmacht,4
333,Hut,4
334,künftig,4
335,Fehler,4
336,Ding,4
337,Schaden,4
338,ankommen,4
339,eröffnen,4
340,Verbrechen,4
341,Leib,4
342,Papa,4
343,Fenster,4
344,bestürmen,4
345,Streich,4
346,schauervoll,4
347,Bild,4
348,flehen,4
349,Ohr,4
350,Ahndung,4
351,grauen,4
352,Sata,4
353,Kopf,4
354,Gewissen,4
355,Sünde,4
356,Ungewißheit,4
357,Furchtsam,4
358,toden,4
359,kriegen,4
360,bekommen,4
361,nahen,4
362,deswegen,4
363,erschrocken,4
364,einfallen,4
365,zurücken,4
366,dabei,4
367,Wand,4
368,herum,4
369,Lisett,4
370,Athen,4
371,schreyt,4
372,Excellenz,4
373,verfluchen,3
374,brechen,3
375,erschröcklich,3
376,begleiten,3
377,wehren,3
378,Schröcke,3
379,verlohren,3
380,Gegend,3
381,öfter,3
382,Theil,3
383,rennen,3
384,Feld,3
385,erlauben,3
386,kühn,3
387,entstehen,3
388,verbinden,3
389,ists,3
390,Arm,3
391,allezeit,3
392,Ausgang,3
393,Brust,3
394,Bitte,3
395,stolz,3
396,ängsten,3
397,schwer,3
398,trachten,3
399,o,3
400,gethan,3
401,verzag,3
402,aushalten,3
403,einnehmen,3
404,Erwachen,3
405,kurz,3
406,Verzweiflung,3
407,getrauen,3
408,verhüten,3
409,gestehen,3
410,Zusammenkunft,3
411,anfangs,3
412,vorüber,3
413,Sprache,3
414,schweben,3
415,ergreifen,3
416,kalt,3
417,herauf,3
418,welch,3
419,stumm,3
420,sinken,3
421,nieder,3
422,weggehen,3
423,hoch,3
424,Lager,3
425,Verräther,3
426,unsrer,3
427,klingen,3
428,wanken,3
429,rauben,3
430,matt,3
431,bedrohen,3
432,bewaffnen,3
433,flehend,3
434,los,3
435,Stoß,3
436,dünken,3
437,Kraft,3
438,Tat,3
439,fahren,3
440,verflucht,3
441,entgegen,3
442,schön,3
443,zustoßen,3
444,erkennen,3
445,Grund,3
446,schaffen,3
447,Qual,3
448,Anschlag,3
449,abscheulich,3
450,gehören,3
451,drücken,3
452,Cathrin,3
453,Umgang,3
454,Quaal,3
455,unterdessen,3
456,vorhin,3
457,begehen,3
458,bloß,3
459,voraus,3
460,erfahren,3
461,helffen,3
462,bereuen,3
463,danken,3
464,unsinnig,3
465,Schwager,3
466,trotzen,3
467,ungewiß,3
468,Verbrecher,3
469,Blut,3
470,Held,3
471,gern,3
472,versprechen,3
473,eher,3
474,vorher,3
475,Warnung,3
476,Bösewicht,3
477,Eile,3
478,bereits,3
479,befehlen,3
480,bemeistern,3
481,listen,3
482,heftig,3
483,Einbildung,3
484,Gang,3
485,Geschick,3
486,Freundschaft,3
487,messen,3
488,ewig,3
489,Schrecknisse,3
490,Minute,3
491,einmalen,3
492,ausser,3
493,schämen,3
494,heraus,3
495,Krieg,3
496,Gewitter,3
497,warten,3
498,sitzen,3
499,Mund,3
500,fragen,3
501,grausam,3
502,Lucien,3
503,stören,3
504,eigen,3
505,kömmsen,3
506,entkommen,3
507,Seyd,3
508,Hauhau,3
509,Bett,3
510,klopfen,3
511,Ton,3
512,vorstellen,3
513,wovor,3
514,bedeuten,3
515,Climen,3
516,dahinter,3
517,manchmal,3
518,daran,3
519,einbilden,3
520,Geld,3
521,schlecht,3
522,Henker,3
523,abjagen,3
524,sprich,3
525,Forcht,3
526,behalten,3
527,düncken,3
528,vermeiden,3
529,eingebildet,3
530,Trud,3
531,unerschrocken,2
532,Sicherheit,2
533,könen,2
534,indessen,2
535,Gewöhr,2
536,nihm,2
537,Körper,2
538,umbringen,2
539,ohnehin,2
540,hinein,2
541,Knittel,2
542,gleichwohl,2
543,Sach,2
544,schenken,2
545,auslassen,2
546,Ankunft,2
547,ungefähr,2
548,empfangen,2
549,Woche,2
550,Ende,2
551,Hase,2
552,zugehen,2
553,nothwendig,2
554,hochgräflich,2
555,schaden,2
556,Sehnsucht,2
557,Ungeduld,2
558,versteinert,2
559,beklagen,2
560,hassen,2
561,Schrift,2
562,Strenge,2
563,meiden,2
564,tief,2
565,Frevel,2
566,einziger,2
567,erfinden,2
568,Degen,2
569,Schwerdt,2
570,fest,2
571,Nein,2
572,betrüben,2
573,Schreye,2
574,Mop,2
