,word,frequency
0,Freund,343
1,Freundschaft,174
2,gut,91
3,sollen,53
4,lieb,43
5,ja,33
6,müssen,29
7,lassen,28
8,seyn,27
9,Freundin,26
10,ganz,24
11,wohl,23
12,wissen,21
13,sehen,21
14,O,20
15,Bey,19
16,mehr,18
17,all,17
18,lieber,17
19,lieben,17
20,recht,16
21,freundschaftlich,16
22,wer,16
23,hören,15
24,tun,15
25,wahr,15
26,bleiben,14
27,geben,14
28,gehen,13
29,finden,13
30,nie,12
31,gleich,12
32,kommen,12
33,liebenswürdig,11
34,nehmen,11
35,reden,11
36,Tag,11
37,schon,10
38,glauben,10
39,Feind,10
40,denken,10
41,genug,10
42,letzt,10
43,halten,9
44,immer,9
45,kennen,9
46,freundlich,9
47,dürfen,9
48,setzen,9
49,versöhnen,9
50,Schwester,9
51,einzig,9
52,Wort,9
53,Tochter,9
54,Glück,9
55,bald,8
56,verbinden,8
57,umarmen,8
58,nein,8
59,Pflicht,8
60,eben,8
61,Blut,8
62,verzeihen,8
63,versichern,7
64,Zärtlichkeit,7
65,Ach,7
66,Seyn,7
67,wünschen,7
68,glücklich,7
69,verlangen,7
70,sterben,7
71,Hand,7
72,bitten,7
73,wenigstens,7
74,Recht,7
75,gar,7
76,aufopfern,7
77,nennen,7
78,lernen,7
79,verdienen,7
80,neu,7
81,Vertraulichkeit,6
82,ehrlich,6
83,gern,6
84,erkennen,6
85,treu,6
86,Mund,6
87,suchen,6
88,Bitte,6
89,gewiß,6
90,zweifeln,6
91,Augenblick,6
92,heute,6
93,danken,6
94,vertraut,6
95,Unsre,6
96,vielleicht,6
97,solch,6
98,nunmehr,6
99,thu,6
100,wenig,6
101,groß,6
102,vernünftig,5
103,sprechen,5
104,großmüthig,5
105,erweisen,5
106,schätzen,5
107,vertrauen,5
108,fehlen,5
109,ziehen,5
110,schenken,5
111,trennen,5
112,würdig,5
113,Gut,5
114,zärtlich,5
115,Dienst,5
116,Leidenschaft,5
117,wert,5
118,schuldig,5
119,weniger,5
120,lang,5
121,Ehre,5
122,hoffen,5
123,je,5
124,Auge,5
125,weit,5
126,aufrichtig,5
127,Bemühung,5
128,Vermögen,5
129,Klerdo,5
130,zärtlichster,5
131,erfahren,5
132,gönnen,5
133,verlassen,5
134,trauen,5
135,Probe,5
136,Climen,5
137,zeigen,4
138,gefallen,4
139,legen,4
140,Band,4
141,dießen,4
142,Sey,4
143,erlauben,4
144,einnehmen,4
145,stark,4
146,erfüllen,4
147,warum,4
148,edel,4
149,folgen,4
150,Sache,4
151,Verwandte,4
152,raten,4
153,allzu,4
154,leiden,4
155,zufrieden,4
156,Haus,4
157,eher,4
158,Umgang,4
159,bringen,4
160,Vertrauen,4
161,ach,4
162,Opfer,4
163,oft,4
164,gieben,4
165,stellen,4
166,heilig,4
167,vergessen,4
168,entdecken,4
169,stehen,4
170,Gute,4
171,Brust,4
172,Stunde,4
173,nah,4
174,mögen,4
175,seit,4
176,genau,4
177,heißen,4
178,vielmehr,4
179,unschuldig,4
180,davon,3
181,niemals,3
182,wodurch,3
183,herzlich,3
184,scheinen,3
185,empfinden,3
186,vertragen,3
187,That,3
188,Herzensfreund,3
189,Familie,3
190,verbindlich,3
191,gnädig,3
192,führen,3
193,Unterredung,3
194,derjenige,3
195,empfangen,3
196,Verbindung,3
197,wählen,3
198,klein,3
199,Arm,3
200,itzen,3
201,annehmen,3
202,woran,3
203,Geld,3
204,unterstützen,3
205,vortreflich,3
206,mißbrauchen,3
207,belohnen,3
208,itzt,3
209,He,3
210,allezeit,3
211,wahrhaft,3
212,besitzen,3
213,einst,3
214,verknüpfen,3
215,jung,3
216,entfernen,3
217,Name,3
218,vergeben,3
219,Lippe,3
220,Gesetz,3
221,unsrer,3
222,vorsichtig,3
223,sogleich,3
224,bereits,3
225,Natur,3
226,behalten,3
227,grüßen,3
228,beleidigen,3
229,Hochachtung,3
230,großmütig,3
231,Wille,3
232,helfen,3
233,erhalten,3
234,Wesen,3
235,seyd,3
236,selber,3
237,beständig,3
238,hart,3
239,reizend,3
240,itzo,3
241,Sanftmut,3
242,gemein,3
243,getreu,3
244,allerbester,3
245,Vergnügen,3
246,Werth,3
247,befürchten,3
248,verstehen,3
249,künftig,3
250,Antwort,3
251,Codru,3
252,umgehen,3
253,heimlich,2
254,Papa,2
255,besonderer,2
256,Freundlichkeit,2
257,leicht,2
258,Aufrichtigkeit,2
259,Unglück,2
260,Gesinnung,2
261,ewig,2
262,feurig,2
263,geheim,2
264,entgegen,2
265,vereinen,2
266,statt,2
267,hassen,2
268,versprechen,2
269,Menschenfreund,2
270,Gewissen,2
271,arbeiten,2
272,Vortheil,2
273,grossmüthig,2
274,erwarten,2
275,zurück,2
276,Belveder,2
277,Arme,2
278,daran,2
279,besorgen,2
280,zustehen,2
281,Beweis,2
282,gründen,2
283,geschehen,2
284,gethan,2
285,Umstand,2
286,heftig,2
287,Fürsprecher,2
288,verehren,2
289,bedienen,2
290,Absicht,2
291,Sitte,2
292,Trieb,2
293,entfernt,2
294,Stück,2
295,segnen,2
296,Kraft,2
297,frisch,2
298,heraus,2
299,karg,2
300,Ihrige,2
301,Grund,2
302,pflegen,2
303,Bekanntschaft,2
304,verfolgen,2
305,begleiten,2
306,Ruhe,2
307,theuer,2
308,vereinigen,2
309,Hochzeit,2
310,darinnen,2
311,beschaffen,2
312,leisten,2
313,gewinnen,2
314,möglich,2
315,allerliebst,2
316,sinnen,2
317,schön,2
318,vergeblich,2
319,Held,2
320,bereit,2
321,verläugnen,2
322,schlafen,2
323,Ursache,2
324,Vertheidigung,2
325,Wert,2
326,gehören,2
327,betrogen,2
328,Granvilla,2
329,kurz,2
330,vorig,2
331,gelingen,2
332,schwach,2
333,unwürdig,2
334,Unmensch,2
335,unüberwindlich,2
336,jemals,2
337,gering,2
338,Fehler,2
339,süß,2
340,freudig,2
341,ruhig,2
342,Eifer,2
343,beweinen,2
344,schüchtern,2
345,Rede,2
346,Erkenntlichkeit,2
347,edelmüthig,2
348,begegnen,2
349,beschwören,2
350,messen,2
351,dringen,2
352,verletzen,2
353,erblicken,2
354,Brief,2
355,Unglückliche,2
356,anwenden,2
357,vorhin,2
358,nieder,2
359,zubringen,2
360,stets,2
361,Wohl,2
362,bloß,2
363,Ey,2
364,antreffen,2
365,verlieben,2
366,geistlich,2
367,freylich,2
368,dafür,2
369,Rang,2
370,wann,2
371,Besitzer,2
372,gelten,2
373,selig,2
374,Wahrheit,2
375,Jahr,2
376,Handel,2
377,Ehrfurcht,2
378,befehlen,2
379,willen,2
380,bisher,2
381,beweisen,2
382,Lucien,2
383,Lehre,2
384,Southwell,2
385,versagen,2
386,sterbend,2
387,Kunst,2
388,Reise,2
389,schwören,2
390,mindern,2
391,Amali,2
392,Hut,2
393,gütig,2
394,eilen,2
395,treulos,2
396,nachdem,2
397,manch,2
398,grollen,2
399,Grad,2
400,Besuch,2
401,laut,2
402,Schutz,2
403,bekannt,2
404,indessen,2
405,gedenken,2
406,Verbrechen,2
407,entschließen,2
408,Feindschaft,2
409,Gebot,2
410,kömmen,2
411,Art,2
412,verderben,2
413,alsdenn,2
414,ausüben,2
415,Ansehung,2
416,wegen,2
417,Eidschwur,2
418,darauf,2
419,gestehen,2
420,Geront,2
421,halb,2
422,Jetzo,2
423,wirken,2
424,väterlich,2
425,giebsen,2
426,durchaus,2
427,genugsam,2
428,stiften,2
429,spät,2
430,gebieten,2
431,Übereinstimmung,2
432,Harmonie,2
433,einerlei,2
434,lenken,2
435,herrschen,2
436,fest,2
437,Verstellung,2
438,Julian,2
439,rein,2
440,blühen,2
441,Athen,2
442,Zeugniß,2
443,einlassen,2
444,jederzeit,2
445,rechtschaffen,2
446,Ausspruch,2
447,falsch,2
448,herein,1
449,Blutsfreund,1
450,belieben,1
451,lesen,1
452,Beleidigung,1
453,Wutzel,1
454,umbringen,1
455,Deme,1
456,Thorheit,1
457,abhalten,1
458,Hitze,1
459,besinnen,1
460,wolen,1
461,schleichen,1
462,Besoldung,1
463,aufhalten,1
464,Weiche,1
465,Alsdenn,1
466,Heurath,1
467,beysammen,1
468,woher,1
469,ankömmen,1
470,dankbar,1
471,theurer,1
472,bereden,1
473,abneigen,1
474,Leonor,1
475,Heyrathe,1
476,ebenfalls,1
477,Schwiegervater,1
478,Stand,1
479,vergelten,1
480,Gehorsam,1
481,hülflos,1
482,qvälen,1
483,Leid,1
484,geruhig,1
485,erzählen,1
486,umfassen,1
487,ruffen,1
488,Erfodert,1
489,knüpfen,1
490,zerreissen,1
491,überwinden,1
492,Zwist,1
493,kühn,1
494,Raub,1
495,entfloh,1
496,nebst,1
497,betrüben,1
498,taugen,1
499,meyn,1
500,werther,1
501,Porretta,1
502,ehrwürdig,1
503,überzeugen,1
504,Eilfertigkeit,1
505,Zutrauen,1
506,womit,1
507,erlaucht,1
508,beehren,1
509,berechtigen,1
510,Grandiso,1
511,uneigennützig,1
512,Italien,1
513,richten,1
514,verkennen,1
515,verschmähen,1
516,unsriger,1
517,zureichend,1
518,Markgräfi,1
519,Mitleid,1
520,bewährt,1
521,Älter,1
522,Gegenwart,1
523,unvergleichlich,1
524,betragen,1
525,Widerstand,1
526,Sieg,1
527,erhöhen,1
528,dienen,1
529,Nebenbuhler,1
530,möchten,1
531,Geliebte,1
532,wiederfinden,1
533,Unruhe,1
534,weder,1
535,aufgeben,1
536,Gehab,1
537,erleben,1
538,gehab,1
