,word,frequency
0,glücklich,395
1,Glück,334
2,sehen,322
3,gut,202
4,sollen,191
5,Vergnügen,169
6,O,166
7,lieb,160
8,ja,157
9,schön,153
10,lassen,151
11,müssen,140
12,seyn,140
13,recht,139
14,kommen,137
15,ganz,137
16,schon,120
17,geben,114
18,all,113
19,mehr,100
20,wissen,91
21,groß,90
22,wohl,85
23,Bey,84
24,zufrieden,81
25,danken,80
26,Glückseligkeit,78
27,Tag,75
28,hören,71
29,wer,70
30,freuen,70
31,angenehm,68
32,finden,68
33,gehen,64
34,nehmen,64
35,wünschen,62
36,vergnügen,60
37,bringen,60
38,glauben,59
39,gern,58
40,Tochter,57
41,heute,56
42,lustig,55
43,Freund,55
44,Sey,52
45,entzücken,52
46,gönnen,51
47,gleich,50
48,gewiß,50
49,froh,49
50,endlich,49
51,erfreuen,48
52,bald,46
53,neu,46
54,genießen,42
55,Augenblick,42
56,Sieg,42
57,gefallen,41
58,Hand,41
59,Seyn,40
60,dürfen,40
61,wahr,40
62,Haus,37
63,umarmen,37
64,lieber,36
65,Dank,36
66,immer,36
67,tun,36
68,einzig,35
69,ach,35
70,gar,34
71,halten,34
72,Unsre,34
73,denken,34
74,Schwester,34
75,jed,33
76,genug,33
77,vielleicht,33
78,Ka,32
79,solch,32
80,empfinden,32
81,Sache,32
82,Wunsch,32
83,singen,32
84,vergnügt,32
85,desto,31
86,vergessen,31
87,Ehre,30
88,lernen,30
89,stehen,30
90,lieben,30
91,eben,29
92,möchten,29
93,kennen,28
94,erhalten,28
95,je,28
96,oft,27
97,warum,27
98,zeigen,27
99,suchen,26
100,welch,26
101,Pflicht,26
102,wann,25
103,Jahr,25
104,sterben,25
105,helfen,25
106,gehören,25
107,weniger,24
108,erwarten,24
109,geschehen,24
110,vortrefflich,24
111,klein,24
112,freudig,24
113,Auge,24
114,dafür,24
115,bekommen,23
116,jung,23
117,leicht,23
118,bleiben,23
119,reden,22
120,voll,22
121,hoffen,22
122,nie,22
123,Schmerz,22
124,belohnen,22
125,fallen,22
126,herzlich,22
127,fein,22
128,davon,21
129,mögen,21
130,letzt,21
131,sprechen,21
132,thu,21
133,Stunde,21
134,kömmen,20
135,Gelegenheit,20
136,fühlen,20
137,gewinnen,20
138,führen,20
139,beglücken,20
140,Gut,20
141,Dankbarkeit,20
142,vollkommen,20
143,nein,19
144,zurück,19
145,Braut,19
146,heuen,19
147,Gedanke,19
148,entdecken,19
149,nennen,19
150,verdienen,19
151,lesen,19
152,lang,18
153,allerliebst,18
154,brav,18
155,munter,18
156,gerne,18
157,Arm,18
158,Wort,18
159,Kunst,18
160,nunmehr,18
161,Schatz,18
162,Vermögen,18
163,hübsch,18
164,Ach,18
165,Trost,18
166,gnädig,18
167,süß,18
168,Geld,18
169,still,17
170,ruhen,17
171,dadurch,17
172,setzen,17
173,laut,17
174,scheinen,17
175,kaum,17
176,schätzen,17
177,Dieß,17
178,edel,17
179,Gesicht,17
180,Brust,17
181,Anblick,17
182,wenig,17
183,Segen,17
184,Gute,17
185,selig,16
186,versprechen,16
187,o,16
188,Unglück,16
189,daran,16
190,wunderbar,16
191,weit,16
192,niemals,16
193,heißen,16
194,verlieren,16
195,Triumph,16
196,schenken,16
197,ergötzen,16
198,eigen,16
199,siegen,16
200,Muhme,16
201,ruhig,15
202,Ruhe,15
203,kriegen,15
204,sanft,15
205,kurz,15
206,itzt,15
207,Verbindung,15
208,richtig,15
209,arm,15
210,Entzückung,15
211,Jüngling,15
212,rauben,15
213,Art,15
214,frohlocken,15
215,segnen,15
216,unschuldig,15
217,Julian,15
218,dienen,14
219,künftig,14
220,halb,14
221,klug,14
222,Mama,14
223,erfüllen,14
224,rein,14
225,Besitz,14
226,Dienst,14
227,Luci,14
228,Ihrige,13
229,wenigstens,13
230,Nu,13
231,Spaß,13
232,übel,13
233,trinken,13
234,verbinden,13
235,wider,13
236,eilen,13
237,zärtlich,13
238,hoch,13
239,tragen,13
240,Bard,13
241,dabei,13
242,willkommen,13
243,gütig,12
244,Macht,12
245,annehmen,12
246,Nacht,12
247,Zweifel,12
248,Bild,12
249,rufen,12
250,überlassen,12
251,That,12
252,stets,12
