,word,frequency
0,gehen,624
1,ab,554
2,vorig,275
3,Hand,150
4,sehen,120
5,lesen,103
6,nehmen,98
7,stehen,86
8,ziehen,81
9,Bey,81
10,setzen,80
11,zurück,68
12,Brief,65
13,Kopf,65
14,geben,62
15,halten,61
16,laufen,59
17,Cathrin,59
18,kömmen,58
19,abgehen,55
20,kommen,54
21,fallen,53
22,Haus,49
23,Julian,48
24,schütteln,47
25,legen,38
26,heraus,38
27,treten,38
28,Lottche,38
29,heimlich,36
30,führen,35
31,bringen,35
32,stellen,33
33,nachdem,33
34,zeigen,33
35,werfen,30
36,gieben,29
37,nieder,28
38,Codru,28
39,rufen,27
40,laut,27
41,Gedanke,26
42,Julche,26
43,Zimmer,25
44,Lisett,25
45,geschwind,25
46,ganz,24
47,immer,24
48,tragen,24
49,heben,24
50,all,23
51,hervor,23
52,Degen,23
53,singen,23
54,herein,23
55,Sachte,23
56,ernsthaft,22
57,Mop,22
58,gewahren,22
59,schreiben,22
60,Rösche,22
61,Sylvesterin,22
62,fangen,21
63,klopfen,21
64,Thüre,21
65,Arm,21
66,leise,21
67,trinken,21
68,schlagen,21
69,greifen,21
70,Szene,21
71,lassen,20
72,bleiben,20
73,Theater,20
74,Stillschweigen,20
75,Tasche,20
76,Buch,20
77,Lorche,20
78,hören,19
79,fort,19
80,Southwell,19
81,Beth,19
82,groß,18
83,winken,18
84,Gesicht,18
85,weggehen,18
86,Glas,18
87,Philli,18
88,Luische,18
89,sprechen,17
90,Papier,17
91,reißen,17
92,Uhr,17
93,Marciu,17
94,Faustibu,17
95,Geld,16
96,Cyru,16
97,Scen,15
98,Aria,15
99,sacht,15
100,Fuß,15
101,tief,15
102,beiseite,15
103,Achsel,15
104,Climen,15
105,sitzen,14
106,klein,14
107,reden,14
108,alleine,14
109,recht,13
110,folgen,13
111,Schwert,13
112,Porciu,13
113,Tiefenbor,13
114,neben,12
115,Hernach,12
116,endlich,12
117,verstecken,12
118,fahren,12
119,stoßen,12
120,hinein,12
121,springen,12
122,Markgräfi,12
123,Augenblick,12
124,Auge,12
125,Wort,12
126,Altar,12
127,Bard,12
128,suchen,12
129,stecken,12
130,Damo,12
131,Sack,12
132,Publiu,12
133,Kaltenbrun,12
134,Sil,12
135,liegen,11
136,gleich,11
137,darauf,11
138,bedienen,11
139,Verbeugung,11
140,Ohr,11
141,Schritt,11
142,fassen,11
143,Säbel,11
144,wenden,11
145,weniger,11
146,kehren,11
147,Ring,11
148,reichen,11
149,herum,11
150,Reverenz,11
151,Hannche,11
152,Beyseit,11
153,Hippokra,11
154,Fiekche,11
155,Piro,11
156,Christianche,11
157,Ohldi,11
158,voll,10
159,entgegen,10
160,aufheben,10
161,Hut,10
162,besiehen,10
163,tun,10
164,begleiten,10
165,nähern,10
166,erblicken,10
167,zucken,10
168,Philint,10
169,Phoka,10
170,Philippe,10
171,Thron,10
172,los,9
173,lang,9
174,umsehen,9
175,linker,9
176,seitwärts,9
177,Schauplatz,9
178,besinnen,9
179,Lanze,9
180,zeigend,9
181,Tür,9
182,schleichen,9
183,helfen,9
184,Themi,9
185,Beym,8
186,nihmen,8
187,eilends,8
188,Kleid,8
189,folgend,8
190,küssen,8
191,wissen,8
192,Saal,8
193,herausgehen,8
194,Zween,8
195,schlafen,8
196,Lehnstuhl,8
197,lehnen,8
198,drücken,8
199,Pause,8
200,fortgehen,8
201,Adler,8
202,ansehen,8
203,ergreifen,8
204,holen,8
205,Finger,8
206,Ton,8
207,knieen,8
208,Arsen,8
209,Pharnace,8
210,Domitiu,8
211,Praatger,8
212,Festung,8
213,listen,8
214,Rede,7
215,langsam,7
216,Stellung,7
217,übrig,7
218,beyd,7
219,nah,7
220,steigen,7
221,sogleich,7
222,bald,7
223,Notariu,7
224,eben,7
225,hierauf,7
226,schnell,7
227,gehören,7
228,Schild,7
229,halb,7
230,umher,7
231,Gefängnis,7
232,nochmals,7
233,eilend,7
234,Serviliu,7
235,bedenklich,7
236,zieren,7
237,Kreuz,7
238,Korb,7
239,selber,6
240,Art,6
241,mitten,6
242,Pistole,6
243,Dabey,6
244,zuvor,6
245,jed,6
246,stark,6
247,Ort,6
248,davon,6
249,neigen,6
250,spielen,6
251,hinaus,6
252,betrachten,6
253,kleiden,6
254,eilen,6
255,zugehen,6
256,gen,6
257,umwenden,6
258,umarmen,6
259,Kette,6
260,aufstehen,6
261,tiefsinnig,6
262,Brust,6
263,Flasche,6
264,hereintreten,6
265,zerreißen,6
266,unterbrechen,6
267,Tochter,6
268,blättern,6
269,zählen,6
270,Baur,6
271,Laterne,6
272,Schnupftuch,6
273,Liesche,6
274,jung,6
275,kosten,6
276,hinten,6
277,ehrenwehren,6
278,Melpomen,6
279,Sessel,6
280,Flei,6
281,Chrysand,6
282,Fels,5
283,gleichfalls,5
284,Lärm,5
285,erscheinen,5
286,antworten,5
287,Kreinz,5
288,sollen,5
289,Wirthshau,5
290,heftig,5
291,Mitte,5
292,kommend,5
293,etlicher,5
294,Philota,5
295,packen,5
296,Schäfertracht,5
297,Belveder,5
298,hinweg,5
299,Bewegung,5
300,erwachen,5
301,Druid,5
302,Helm,5
303,Blume,5
304,umkehren,5
305,Blatt,5
306,kömmt,5
307,schenken,5
308,indes,5
309,zurückhalten,5
310,verschieden,5
311,Capitai,5
312,Juli,5
313,letzt,5
314,klingeln,5
315,Knie,5
316,erhaben,5
317,pedantisch,5
318,Kömmt,5
319,wer,5
320,Klerdo,5
321,Sampson,5
322,nachdenken,5
323,scherzhaft,5
324,zurechen,5
325,Tribu,5
326,Landrat,5
327,Mantelsack,5
328,speien,5
329,gießen,5
330,Tropfen,5
331,Titel,5
332,Laconiu,5
333,Dorier,5
334,Silenu,5
335,Perspectiv,5
336,schreyt,5
337,Cyrum,5
338,abseits,5
339,Arat,5
340,Zanckenheimi,5
341,Ducat,5
342,Kleidung,4
343,lächerlich,4
344,worauf,4
345,Kreinze,4
346,indessen,4
347,hernach,4
348,erkennen,4
349,schon,4
350,beuteln,4
351,Stab,4
352,Schloß,4
353,Colombin,4
354,Entfernung,4
355,öffnen,4
356,Kaffee,4
357,eilig,4
358,Monta,4
359,Weile,4
360,verbergen,4
361,inne,4
362,verändern,4
363,entfernt,4
364,Musik,4
365,Valeriu,4
366,richten,4
367,schlafend,4
368,starr,4
369,winden,4
370,Schulter,4
371,Stelle,4
372,gelassen,4
373,Fort,4
374,Begriff,4
375,vertraulich,4
376,Vorhang,4
377,Brille,4
378,vorhin,4
379,finden,4
380,Schreibtafel,4
381,beständig,4
382,Sitz,4
383,weigern,4
384,Luci,4
385,Artabanu,4
386,erwachend,4
387,zurücken,4
388,vorne,4
389,pochen,4
390,besonders,4
391,schmecken,4
392,essen,4
393,zupfen,4
394,Dose,4
395,Fläschchen,4
396,Theil,4
397,abführen,4
398,Tharsu,4
399,Seduliu,4
400,Gedicht,4
401,lauffen,4
402,allerhand,4
403,Scena,4
404,Tempo,4
405,Soffocle,4
406,Pyrhu,4
407,Fyr,4
408,Nachtlicht,4
409,Schlafrock,3
410,Baum,3
411,Ende,3
412,sehend,3
413,Gesträusse,3
414,schauen,3
415,fragen,3
416,Schreyt,3
417,Bock,3
418,gucken,3
419,verschwinden,3
420,befinden,3
421,darüber,3
422,sobald,3
423,verwandeln,3
424,Hauß,3
425,Compliment,3
426,unterdessen,3
427,Zeichen,3
428,rückwärts,3
429,tanzen,3
430,hinauf,3
431,einschenken,3
432,Kaffeetisch,3
433,Notar,3
434,Aridäu,3
435,jagen,3
436,ordentlich,3
437,oft,3
438,weit,3
439,steif,3
440,lustig,3
441,Vers,3
442,thu,3
443,jemand,3
444,unbeweglich,3
445,entfliehen,3
446,zurückkommen,3
447,zuletzt,3
448,fern,3
449,Kranz,3
450,ungestüm,3
451,mehr,3
452,sterben,3
453,nahen,3
454,Liciniu,3
455,Eingang,3
456,zulaufen,3
457,wegführen,3
458,weiß,3
459,erheben,3
460,entreißen,3
461,hastig,3
462,sinnen,3
463,Taschenbuch,3
464,Rechnung,3
465,schüchtern,3
466,Feder,3
467,Schatulle,3
468,Arme,3
469,anstecken,3
470,Tasse,3
471,weisend,3
472,Rücken,3
473,verlegen,3
474,zuführen,3
475,rücken,3
476,Herbey,3
477,kniend,3
478,Blossen,3
479,mittlerer,3
480,aufziehen,3
481,Ohnmacht,3
482,merken,3
483,Innehalten,3
484,zuhören,3
485,tödte,3
486,Mine,3
487,nachlaufen,3
488,ermuntern,3
489,erholen,3
490,Inwendig,3
491,Ecke,3
492,Bus,3
493,denken,3
494,Stück,3
495,Jambu,3
496,aufhalten,3
497,erbrichen,3
498,Amali,3
499,Lucien,3
500,begegnen,3
501,Gasthof,3
502,Reisekleider,3
503,Zettel,3
504,eifrig,3
505,bloß,3
506,Rock,3
507,pfeifen,3
508,draußen,3
509,Marthen,3
510,gut,3
511,anstoßen,3
512,neu,3
513,Spöttisch,3
514,Schwester,3
515,Wagehal,3
516,Bogen,3
517,Tuch,3
518,schreyend,3
519,Bart,3
520,garstig,3
521,Tresse,3
522,Perücke,3
523,voran,3
524,vorher,3
525,Dami,3
526,Füssen,3
527,Elisind,3
528,Grund,3
529,Philaid,3
530,sterbend,3
531,Schwerdter,3
532,Aret,3
533,Tartar,3
534,alsdann,3
535,persisch,3
536,kläglich,3
537,kriechen,3
538,Nb,3
539,Dorche,3
540,Gasse,3
541,Sc,3
542,Beyseite,3
543,tragend,3
544,löschen,3
545,Börse,3
546,küsen,2
547,Portrait,2
548,gestatten,2
549,erden,2
550,anziehen,2
551,zehlen,2
552,anstatt,2
553,forchtsam,2
554,wider,2
555,Mantel,2
556,Zetul,2
557,deutend,2
558,bedecken,2
559,Gewöhr,2
560,decken,2
561,Körper,2
562,Schmecks,2
563,leer,2
564,Seye,2
565,Schlafhaub,2
566,Schuh,2
567,unterreden,2
568,melden,2
569,still,2
570,Nacht,2
571,Sache,2
572,zaghaft,2
573,Mühe,2
574,Recht,2
575,Thurm,2
576,Gansbiegel,2
577,Orgester,2
578,Menuet,2
579,nachrufend,2
580,müssen,2
581,Forstheim,2
582,Hase,2
583,Parterr,2
584,breiten,2
585,Schwerd,2
586,loß,2
587,fortlaufen,2
588,kriegen,2
589,stille,2
590,ansehend,2
591,stets,2
592,einander,2
593,laufend,2
594,Giebt,2
595,warten,2
596,Sahl,2
597,Aufstehend,2
