,word,frequency
0,ach,887
1,müssen,363
2,sehen,362
3,sollen,284
4,O,266
5,mehr,253
6,Schmerz,244
7,unglücklich,211
8,lassen,202
9,Unglück,200
10,wissen,195
11,ja,165
12,Thräne,163
13,ganz,159
14,seyn,158
15,wohl,157
16,Ach,152
17,all,148
18,schon,147
19,weinen,138
20,gehen,111
21,Tag,110
22,kommen,104
23,Auge,104
24,Bey,102
25,gewiß,97
26,traurig,93
27,leiden,92
28,groß,92
29,warum,92
30,wer,88
31,nehmen,87
32,vielleicht,84
33,elend,84
34,grausam,83
35,glauben,83
36,geben,81
37,gut,80
38,hören,77
39,Elend,76
40,fallen,75
41,betrüben,74
42,gar,73
43,quälen,70
44,nein,68
45,Freund,68
46,fühlen,67
47,Blut,67
48,seufzen,67
49,recht,67
50,sterben,66
51,immer,66
52,denken,66
53,bald,65
54,arm,65
55,Qual,64
56,lieb,62
57,weh,61
58,Hand,60
59,bringen,60
60,gleich,60
61,Glück,59
62,letzt,59
63,verlieren,59
64,Jahr,58
65,genug,58
66,stehen,57
67,Träne,57
68,Augenblick,57
69,bleiben,56
70,eben,56
71,Klage,56
72,Nacht,55
73,oft,55
74,lang,54
75,vergessen,52
76,verzeihen,52
77,rühren,52
78,solch,51
79,sprechen,51
80,nie,51
81,Tochter,49
82,dürfen,49
83,halten,48
84,Ehre,48
85,empfinden,48
86,vergeben,47
87,Haus,47
88,Gedanke,47
89,finden,47
90,Seyn,46
91,lieben,46
92,helfen,46
93,Grab,46
94,suchen,45
95,glücklich,45
96,verdienen,45
97,scheinen,45
98,thu,44
99,einzig,44
100,liegen,43
101,verlassen,43
102,reden,42
103,klagen,42
104,tun,42
105,klein,42
106,Schwester,42
107,schwach,42
108,jed,41
109,Wort,41
110,Gram,41
111,Noth,40
112,schwer,40
113,Arm,40
114,wahr,39
115,Kummer,39
116,kennen,38
117,Pflicht,38
118,mögen,38
119,schön,37
120,weniger,37
121,Brust,37
122,schrecklich,37
123,bitten,37
124,Pei,37
125,ewig,37
126,fürchterlich,37
127,gnädig,36
128,neu,36
