,word,frequency
0,gut,501
1,sehen,411
2,schön,392
3,edel,370
4,sollen,356
5,groß,331
6,all,326
7,Hand,322
8,ganz,268
9,müssen,251
10,O,249
11,hoch,248
12,Gnade,236
13,geben,219
14,lassen,218
15,stehen,196
16,wer,196
17,wissen,191
18,Ehre,171
19,ja,170
20,mehr,155
21,wohl,152
22,immer,145
23,schon,144
24,jed,143
25,nie,134
26,dürfen,121
27,gnädig,120
28,kommen,118
29,halten,117
30,nehmen,116
31,treu,115
32,Held,114
33,Auge,114
34,gehen,113
35,ehren,111
36,gleich,111
37,finden,107
38,lieb,105
39,stolz,105
40,bringen,103
41,solch,102
42,heilig,102
43,tragen,101
44,küssen,99
45,führen,98
46,segnen,95
47,Wort,94
48,Name,93
49,Glück,90
50,hübsch,87
51,kennen,86
52,sprechen,86
53,Dank,86
54,tun,84
55,Gut,83
56,Land,83
57,Kraft,81
58,Tag,80
59,mögen,80
60,bleiben,79
61,Fuß,79
62,gar,78
63,jung,78
64,nennen,77
65,zeigen,77
66,ewig,76
67,Vaterland,75
68,denken,74
69,Dienst,74
70,Recht,74
71,retten,74
72,recht,73
73,fromm,73
74,dienen,71
75,Freund,70
76,gewiß,70
77,Blick,70
78,Gehorsam,69
79,wahr,69
80,Kunst,69
81,seyn,69
82,Haus,69
83,frei,69
84,stark,68
85,Haupt,68
86,weit,67
87,rein,67
88,brav,67
89,Macht,67
90,Heil,66
91,Pflicht,65
92,glauben,63
93,erheben,63
94,verdienen,63
95,Befehl,62
96,hören,62
97,neu,61
98,loben,61
99,Feind,61
100,voll,61
101,Blut,61
102,gern,60
103,danken,60
104,dafür,60
105,Tochter,60
106,Gunst,60
107,Arm,57
108,Segen,57
109,sterben,57
110,kühn,56
111,Gold,56
112,Jahr,55
113,würdig,55
114,schützen,55
115,möchten,55
116,empfangen,55
117,Natur,54
118,göttlich,53
119,Thron,53
120,Wille,53
121,Sinn,52
122,sanft,51
123,herrlich,51
124,befehlen,51
125,Sieg,51
126,liegen,51
127,Kopf,50
128,schätzen,50
129,grüßen,50
130,Sey,50
131,Bey,50
132,klein,50
133,klug,49
134,scheinen,49
135,lang,49
136,Sonne,49
137,selber,49
138,oft,49
139,gütig,48
140,fühlen,48
141,stets,48
142,preisen,48
143,Brust,48
144,schlagen,48
145,Jüngling,48
146,Unsre,47
147,vergessen,47
148,setzen,47
149,Werk,47
150,Gute,47
151,helfen,47
152,fallen,47
153,Mut,46
154,legen,45
155,tief,45
156,Durchlaucht,45
157,schuldig,45
158,königlich,44
159,Leib,44
160,Bild,44
161,je,44
162,verehren,44
163,erscheinen,44
164,einzig,43
165,lieber,43
166,stellen,43
167,himmlisch,43
168,rufen,43
169,Schwert,43
170,manch,42
171,wünschen,42
172,Wesen,42
173,erhalten,42
174,ziehen,42
175,Unschuld,42
176,welch,41
177,Ihro,41
178,teuer,41
179,Verdienst,41
180,folgen,41
181,erhaben,40
182,Krieg,40
183,wagen,39
184,tapfer,39
185,That,39
186,dank,39
187,schwören,39
188,leicht,39
189,rühmen,39
190,erkennen,39
191,Preis,39
192,Schutz,38
193,freundlich,38
194,genug,38
195,Tat,38
196,eben,37
197,Lob,37
198,Huld,37
199,heben,37
200,bewundern,37
201,fein,37
202,letzt,37
203,einst,36
204,bald,36
205,lieben,36
206,Augenblick,36
207,Stirn,36
208,arm,36
209,Majestät,35
210,süß,35
211,Glanz,35
212,still,35
213,fest,35
214,heuen,34
215,mild,34
216,treten,34
217,beneiden,34
218,mächtig,34
219,Retter,34
220,niemand,33
221,verstehen,33
222,Achtung,33
223,gefallen,33
224,schenken,32
225,Stand,32
226,Lippe,32
227,gelten,32
228,herab,32
229,glänzen,32
230,heißen,32
231,lehren,32
232,Vertrauen,32
233,bitten,32
234,Grab,32
235,Respekt,31
236,Hof,31
237,erwarten,31
238,Gesicht,31
239,Geschöpf,31
240,heute,31
241,Mund,31
242,Schwester,30
243,reizend,30
244,Zeichen,30
245,Kampf,30
246,krönen,30
247,vortrefflich,29
248,wert,29
249,laut,29
250,zieren,29
251,Genie,29
252,Freiheit,29
253,gewinnen,29
254,schmücken,29
255,ach,28
256,belohnen,28
257,Menschheit,28
258,wahrlich,28
259,Herrlichkeit,28
260,schwer,28
261,Edel,28
262,schauen,28
263,galant,28
264,brauchen,28
265,unsrer,28
266,vertrauen,28
267,Werth,28
268,vermögen,28
269,zurück,28
270,Frankreich,28
271,darum,27
272,eignen,27
273,Ach,27
274,trefflich,27
275,spielen,27
276,Geschlecht,27
277,Reiz,27
278,Glauben,27
279,verlassen,27
280,Schatz,27
281,Stunde,27
282,gehorsamst,26
283,wenig,26
284,beschützen,26
285,fehlen,26
286,niemals,26
287,gerecht,26
288,Angesicht,26
289,Stolz,26
290,thu,26
291,Bus,26
292,Gesetz,26
293,ehrlich,26
294,wohnen,25
295,suchen,25
296,gehören,25
297,Gruß,25
298,Zug,25
299,steigen,25
300,Feld,25
301,vieler,25
302,Tempel,25
303,bescheiden,25
304,gehorchen,25
305,sitzen,25
306,erfüllen,25
307,lernen,24
308,Herzen,24
309,werfen,24
310,o,24
311,Nacht,24
312,Gottheit,24
313,kaum,24
314,glücklich,24
315,erlauben,24
316,bauen,24
317,Stärke,24
318,treffen,24
319,lohnen,24
320,willkommen,24
321,Wahrheit,24
322,Drum,24
323,liebenswürdig,23
324,weniger,23
325,hoffen,23
326,wandeln,23
327,drücken,23
328,behüten,23
329,lieblich,23
330,artig,23
331,Herrscher,23
332,ruhen,23
333,blühen,23
334,allerliebst,23
335,senden,23
336,edeln,23
337,leuchten,23
338,heil,23
339,Lohn,23
340,unschuldig,23
341,Fahne,23
342,reichen,22
343,Geschick,22
344,Ehrfurcht,22
345,gebären,22
346,schreiben,22
347,zart,22
348,nein,22
349,Tapferkeit,22
350,wacker,22
351,Ring,22
352,Größe,22
353,Wunsch,22
354,ergeben,22
355,Wunder,22
356,Opfer,22
357,verdanken,21
358,wunderbar,21
359,Art,21
360,leiten,21
361,vergelten,21
362,wählen,21
363,siegen,21
364,Sterbliche,21
365,Braut,21
366,begleiten,21
367,besitzen,21
