,word,frequency
0,sterben,287
1,verlieren,217
2,Verzweiflung,189
3,O,145
4,mehr,142
5,sehen,135
6,lassen,132
7,sollen,122
8,retten,108
9,müssen,101
10,verlassen,74
11,schon,74
12,gehen,74
13,ganz,68
14,all,67
15,tot,64
16,Hand,64
17,kommen,62
18,Auge,62
19,geben,58
20,Rettung,53
21,außer,52
22,ja,49
23,stürzen,48
24,nie,48
25,Abgrund,47
26,fallen,47
27,bringen,46
28,Hölle,46
29,Grab,42
30,toden,42
31,wissen,40
32,ewig,38
33,helfen,38
34,stehen,37
35,nein,37
36,nehmen,37
37,verzweifeln,36
38,Fort,36
39,fort,35
40,denken,35
41,Vergebung,35
42,Blut,34
43,mögen,33
44,bleiben,33
45,Wort,33
46,letzt,32
47,immer,32
48,wer,32
49,entsetzlich,31
50,fliehen,31
51,liegen,30
52,Todt,29
53,Fluch,28
54,Brust,28
55,zurück,28
56,schrecklich,27
57,hören,27
58,lang,27
59,verzweifelnd,26
60,verzweifelt,25
61,Fuß,25
62,töten,24
63,gut,24
64,tief,24
65,flehen,24
66,Blick,23
67,Elend,23
68,rufen,23
69,vernichten,23
70,reißen,23
71,gleich,23
72,Haus,23
73,Arm,22
74,sinken,22
75,jed,22
76,einzig,21
77,wohl,21
78,sprechen,21
79,halten,21
80,hoffen,21
81,führen,21
82,Ohnmacht,20
83,finden,20
84,kalt,20
85,Tochter,20
86,nah,20
87,dürfen,20
88,lieber,19
89,vergessen,19
90,voll,19
91,ach,19
92,Erbarmen,19
93,Augenblick,19
94,bitten,19
95,Mord,19
96,Nacht,19
97,Sterben,18
98,werfen,18
99,glauben,18
100,Wahnsinn,18
101,ziehen,18
102,sterbend,17
103,niemand,17
104,lieb,17
105,groß,17
106,Gnade,17
107,verstoßen,17
108,hinab,16
109,Gedanke,16
110,heilig,16
111,Ende,16
112,Ach,16
113,wagen,16
114,fassen,16
115,Schwert,16
116,tragen,16
117,möchten,15
118,fern,15
119,dahin,15
120,kaum,15
121,Stunde,15
122,grausam,15
123,suchen,14
124,treiben,14
125,Schmerz,14
126,Bild,14
127,nieder,14
128,verlohren,14
129,fahren,14
130,ermorden,14
131,Leiche,14
132,vergehen,14
133,Ehre,14
134,gar,13
135,entfliehen,13
136,Tag,13
137,niemals,13
138,brechen,13
139,zerreißen,13
140,Ort,13
141,weit,13
142,beten,13
143,weh,13
144,geschehen,13
145,treffen,13
146,Knie,13
147,fühlen,13
148,Feind,13
149,steigen,13
150,eh,12
151,Kraft,12
152,Ahndung,12
153,wehen,12
154,bald,12
155,still,12
156,selber,12
157,schweben,12
158,Traum,12
159,Untergang,12
160,blutig,12
161,Haupt,12
162,Ruhe,12
163,Macht,12
164,Qual,11
165,elend,11
166,vergebens,11
167,endlich,11
168,gewiß,11
169,vergeben,11
170,Erbarmung,11
171,verraten,11
172,Weh,11
173,hinweg,11
174,verloren,11
175,zittern,11
176,hinein,11
177,Unschuld,11
178,vielleicht,11
179,schlagen,11
180,gern,11
181,stoßen,11
182,o,11
183,schreien,11
184,kehren,11
185,befreien,11
186,Leib,11
187,legen,11
188,rächen,11
189,nennen,11
190,unglücklich,11
191,Freund,11
192,Kette,11
193,ab,11
194,Schritt,11
195,warum,10
196,Freiheit,10
197,tun,10
198,möglich,10
199,jung,10
200,Schwester,10
201,Wesen,10
202,zugrunde,10
203,fest,10
204,beschwören,10
205,richten,10
206,Sonne,10
207,morden,10
208,wohin,10
209,Muth,10
210,Finsternis,10
211,Boden,10
212,Mund,10
213,eilen,10
214,hoch,10
215,ergreifen,10
216,flehend,10
217,unmöglich,10
218,dringen,10
219,lesen,9
220,neu,9
221,übrig,9
222,halb,9
223,jagen,9
224,schwer,9
225,Name,9
226,lieben,9
227,genug,9
228,Sünde,9
229,unschuldig,9
230,gieben,9
231,Sinn,9
232,wenden,9
233,selig,9
234,seyn,9
235,Verderben,9
236,nahen,9
237,treten,9
238,verzweiflungsvoll,9
239,Bus,9
240,Tödte,9
241,heraus,9
242,nimmer,9
243,Nein,9
244,einst,9
245,bös,9
246,Träne,8
247,klein,8
248,Kopf,8
249,Glauben,8
250,arm,8
251,setzen,8
252,Wille,8
253,holen,8
254,Fels,8
255,Stelle,8
256,umbringen,8
257,Anblick,8
258,verlorn,8
259,erscheinen,8
260,nahe,8
261,einsam,8
262,hoffnungslos,8
263,Haar,8
264,vermögen,8
265,Ungeheuer,8
266,wütend,8
267,Entsetzen,8
268,Angst,8
269,eignen,8
270,erkennen,8
271,fließen,8
272,Flucht,8
273,rein,8
274,Zeichen,8
275,kennen,8
276,lösen,8
277,oft,8
278,daran,8
279,kerkern,8
280,erhalten,7
281,ruhig,7
282,spät,7
283,dunkel,7
284,schön,7
285,los,7
286,Todesurteil,7
287,Wut,7
288,Raum,7
289,neben,7
290,vorbei,7
291,entsagen,7
292,umher,7
293,hinaus,7
294,Trost,7
295,entgegen,7
296,gefangen,7
297,Sieg,7
298,bleich,7
299,Wunde,7
300,stark,7
301,kämpfen,7
302,Jahr,7
303,weinen,7
304,itzen,7
305,erheben,7
306,folgen,7
307,vergiften,7
308,furchtbar,7
309,drücken,7
310,frei,7
311,eher,7
312,laut,7
313,schnell,7
314,verbergen,7
315,Kampf,7
316,ringen,7
317,leuchten,7
318,erfüllen,7
319,Erlösung,7
320,ungeheuer,7
321,hinauf,7
322,ruhen,7
323,enden,7
324,wirklich,7
325,Sünder,7
326,erschlagen,7
327,ledig,7
328,davon,7
329,wahr,7
330,Far,6
331,Ausweg,6
332,Tor,6
333,gerne,6
334,untergehen,6
335,Sehnsucht,6
336,verschwinden,6
337,trösten,6
338,Fall,6
339,Tat,6
340,Bund,6
341,stellen,6
342,schwören,6
343,Seligkeit,6
344,heben,6
345,fürchterlich,6
346,tödten,6
347,Ziel,6
348,Hals,6
349,verstummen,6
350,Mittel,6
351,reichen,6
352,Gefühl,6
353,starr,6
354,weichen,6
355,Unsre,6
356,erlösen,6
357,bieten,6
358,verzweiflend,6
359,ringend,6
360,Frevel,6
361,Natur,6
362,Strafe,6
363,Grauen,6
364,Glück,6
365,heute,6
366,Unglück,6
367,Verzweiflungsvoll,6
368,Barbar,6
369,thu,6
370,ohnmächtig,6
371,fast,6
372,entreißen,6
373,Pei,6
374,Gebet,6
375,umsonst,6
376,fremd,6
377,Schutz,6
378,Flamme,6
379,verschonen,6
380,Vernichtung,6
381,morgen,6
382,Bey,6
383,Gute,6
384,Leiden,6
385,schwach,6
386,verrathen,6
387,eigen,5
388,Spitze,5
389,wenig,5
390,Art,5
391,schließen,5
392,Leichnam,5
393,leer,5
394,fürchten,5
395,Selbstmord,5
396,endigen,5
397,geschwind,5
398,rasch,5
399,drängen,5
400,Bitte,5
401,Gesicht,5
402,besitzen,5
403,zwingen,5
404,unsrer,5
405,schröcklich,5
406,Zunge,5
407,überall,5
408,Verdammnis,5
409,Retter,5
410,sprich,5
411,warm,5
412,erblassen,5
413,gebären,5
414,sicher,5
415,Geschick,5
416,bewahren,5
417,Gieb,5
418,krank,5
419,Rächer,5
420,Wolke,5
421,verfluchen,5
422,Decke,5
423,Tote,5
424,Stirn,5
425,locken,5
426,Entsetzliche,5
427,Reue,5
428,wahnsinnig,5
429,wanken,5
