,word,frequency
0,O,3956
1,Gott,2789
2,Herz,2784
3,Liebe,2767
4,mehr,2566
5,Herr,2417
6,schon,2334
7,muß,2213
8,ja,2084
9,Vater,2046
10,Ach,1946
11,wohl,1928
12,Mann,1868
13,Leben,1726
14,immer,1564
15,Welt,1539
16,Mutter,1404
17,Augen,1291
18,ganz,1278
19,Himmel,1233
20,hast,1231
21,Glück,1216
22,Seele,1204
23,weiß,1188
24,Weib,1171
25,Hand,1169
26,Herzen,1139
27,gar,1126
28,nie,1084
29,Menschen,1084
30,Mädchen,1072
31,Ja,1033
32,Freund,1011
33,lieber,1009
34,Kind,969
35,lassen,965
36,sagen,960
37,seyn,959
38,gut,955
39,Wer,947
40,Sohn,936
41,o,930
42,gleich,917
43,Teufel,916
44,wäre,911
45,sei,909
46,sehen,905
47,Tod,895
48,Freude,892
49,recht,888
50,Frau,844
51,s,840
52,liebe,818
53,allein,816
54,Mensch,813
55,geht,807
56,Zeit,796
57,macht,777
58,wer,764
59,Bruder,757
60,glücklich,755
61,hätte,754
62,laß,754
63,Nein,753
64,wär,742
65,Tochter,725
66,Nacht,720
67,Wort,701
68,Blut,701
69,lieben,686
70,ganze,672
71,Brust,671
72,Tag,665
73,bald,649
74,seid,645
75,oft,635
76,fort,627
77,gern,621
78,n,608
79,Herrn,604
80,mag,600
81,kommen,598
82,kommt,596
83,geben,594
84,Haus,594
85,ewig,585
86,Kinder,579
87,bey,571
88,seh,565
89,Kopf,565
90,Laß,561
91,wollt,556
92,sollen,548
93,darf,539
94,her,537
95,willst,537
96,sehn,535
97,genug,533
98,Ehre,515
99,schön,512
100,Geist,511
101,all,510
102,habt,508
103,erst,508
104,steht,508
105,lange,507
106,liebt,506
107,wissen,505
108,Dank,503
109,ach,502
110,Kerl,501
111,ganzen,497
112,sterben,494
113,müssen,493
114,zurück,490
115,warum,488
116,heute,486
117,Blick,484
118,Erde,484
119,verloren,483
120,eben,473
121,weh,472
122,lieb,464
123,König,457
124,Götter,456
125,sag,456
126,gemacht,453
127,Tage,451
128,Warum,450
129,Hölle,448
130,Augenblick,445
131,wahr,441
132,wenig,439
133,Lebens,438
134,sagt,438
135,sah,436
136,hätt,432
137,alten,428
138,Leute,426
139,nein,425
140,Natur,417
141,Ha,417
142,unsre,416
143,leben,416
144,Ei,416
145,besser,414
146,Lust,414
147,davon,413
148,möchte,412
149,sieht,411
150,Schwester,411
151,finden,407
152,sollst,406
153,selber,405
154,nehmen,405
155,Schmerz,405
156,ward,405
157,Unglück,399
158,hören,396
159,voll,395
160,gute,394
161,werd,393
162,gewiß,392
163,sey,392
164,könnt,388
165,ab,387
166,guten,387
167,Gottes,387
168,Geld,386
169,Freunde,384
170,Namen,384
171,weit,380
172,Feuer,379
173,Tränen,378
174,schöne,377
175,halten,376
176,Auge,375
177,heut,374
178,arme,374
179,Sonne,373
180,Busen,372
181,kannst,371
182,liegt,370
183,Sieh,369
184,Macht,367
185,guter,366
186,Engel,364
187,lang,364
188,Volk,360
189,vielleicht,357
190,vergessen,356
191,bleiben,356
192,Ende,355
193,Rache,354
194,Freuden,351
195,Schicksal,350
196,läßt,348
197,Hause,347
198,Ruhe,347
199,Stunde,347
200,Kraft,344
201,denken,344
202,ha,342
203,reden,340
204,tausend,337
205,verlassen,336
206,Haupt,336
207,Weh,336
208,je,334
209,Gesicht,329
210,bleibt,328
211,Gedanken,327
212,großen,327
213,laßt,324
214,armen,322
215,endlich,320
216,geh,318
217,Gewalt,317
218,Worte,317
219,Graf,317
220,sehe,316
221,Armen,316
222,gehen,314
223,bringen,314
224,Arm,312
225,Tugend,309
226,alte,307
227,Männer,307
228,Recht,304
229,kaum,304
230,sollt,303
231,Land,302
232,Hülfe,298
233,Arme,297
234,ists,297
235,Hoffnung,295
236,leicht,295
237,nieder,293
238,länger,293
239,Bild,292
240,Vaters,292
241,große,291
242,Halt,291
243,froh,291
244,Königin,290
245,Thränen,290
246,gehn,289
247,Schuld,289
248,sieh,289
249,Welch,287
250,lebt,287
251,gibt,286
252,mußt,286
253,tun,285
254,dafür,285
255,Ritter,285
256,Stadt,284
257,einst,284
258,ersten,281
259,Fluch,281
260,kam,281
261,unsern,279
262,Weiber,278
263,zusammen,277
264,thun,277
265,still,275
266,Narr,274
267,komm,274
268,konnte,272
269,Schon,272
270,Morgen,271
271,tief,271
272,Furcht,270
273,Licht,270
274,Stimme,270
275,Wesen,269
276,Leib,269
277,Ey,268
278,weinen,267
279,schönen,266
280,Sinn,266
281,gab,265
282,Gefühl,265
283,ichs,263
284,leiden,260
285,spricht,260
286,Gnade,259
287,Luft,258
288,Geh,257
289,gesagt,256
290,sprechen,256
291,schwer,256
292,frei,255
293,böse,253
294,möcht,253
295,viele,253
296,Seite,252
297,Laßt,252
298,retten,252
299,lebe,252
300,geworden,250
301,getan,250
302,sage,250
303,Feind,249
304,Schwert,249
305,seit,248
306,Füßen,247
307,Himmels,245
308,fest,245
309,Art,244
310,halt,244
311,alter,243
312,Hände,242
313,Angst,242
314,Segen,242
315,dahin,239
316,Freiheit,237
317,nimmer,237
318,Lieb,237
319,groß,237
320,Braut,237
321,Jahre,236
322,schnell,236
323,los,235
324,Gnaden,234
325,fühle,233
326,letzten,233
327,hör,233
328,kömmt,233
329,gehört,232
330,ruhig,232
331,glauben,232
332,Händen,231
333,seht,230
334,Leiden,230
335,Alter,230
336,gefallen,229
337,siehst,227
338,hört,226
339,Komm,226
340,Hals,226
341,eh,225
342,hoch,225
343,gegeben,224
344,liebes,224
345,Mund,223
346,scheint,223
347,Kuß,222
348,weißt,221
349,willen,221
350,Heil,221
351,stehen,220
352,lachen,220
353,tragen,220
354,Faust,220
355,zwei,219
356,Jugend,219
357,Elend,218
358,verdient,218
359,Herzens,217
360,stets,217
361,Not,216
362,Verzweiflung,216
363,übel,215
364,itzt,215
365,herum,215
366,Freundschaft,214
367,Vergnügen,212
368,erste,212
369,Fräulein,212
370,Mut,212
371,fühl,212
372,fühlen,211
373,Zorn,211
374,führen,211
375,Wohl,211
376,nimm,211
377,Grab,210
378,Wein,210
379,Lippen,209
380,Ding,209
381,Sache,209
382,hält,208
383,fallen,208
384,unsrer,208
385,höre,207
386,Herren,207
387,zufrieden,207
388,edler,207
389,Wasser,206
390,welch,206
391,andre,206
392,entgegen,206
393,Unschuld,206
394,wären,205
395,ließ,204
396,Pflicht,204
397,thut,202
398,Boden,201
399,dabei,201
400,fast,201
401,Wahrheit,201
402,Jüngling,201
403,Gefahr,200
404,Still,199
405,unglücklich,199
406,beide,199
407,bringt,199
408,Karl,198
409,nennen,197
410,beim,197
411,Prinz,197
412,unserm,197
413,armer,197
414,Stunden,196
415,kennen,195
416,darum,195
417,Junge,195
418,Tode,194
419,tut,194
420,neue,194
421,Sei,194
422,giebt,194
423,Anblick,193
424,glaube,193
425,gerne,193
426,Willen,193
427,Gold,193
428,Diener,192
429,steh,192
430,wirklich,192
431,verliebt,192
432,Mörder,192
433,worden,191
434,stehn,191
435,bitte,191
436,helfen,191
437,Seht,190
438,Hund,190
439,Trost,190
440,denke,189
441,schöner,189
442,Vaterland,189
443,Treue,188
444,Lohn,188
445,ganzes,187
446,Wunder,187
447,gesehen,186
448,hätten,186
449,Maul,186
450,Leidenschaft,185
451,Fürsten,185
452,Schönheit,185
453,hinaus,184
454,Drum,184
455,Hast,183
456,letzte,183
457,besten,182
458,Jahren,182
459,Narren,181
460,Zunge,181
461,acht,180
462,Tat,180
463,fürchte,180
464,heißt,180
465,heraus,180
466,Feinde,180
467,Gift,180
468,Kunst,179
469,ging,178
470,Traum,178
471,Schande,178
472,schlägt,177
473,darüber,177
474,daran,177
475,möglich,177
476,Stelle,177
477,Lieber,177
478,niemand,177
479,gebracht,177
480,machst,176
481,morgen,176
482,todt,176
483,müßt,175
484,Spaß,174
485,kenne,174
486,geliebt,174
487,küssen,173
488,Jammer,173
489,verlieren,172
490,Sinnen,172
491,einzige,171
492,Muß,171
493,schlagen,171
494,Sturm,170
495,Verstand,169
496,darauf,169
497,lustig,169
498,eignen,168
499,Wonne,167
500,Brief,167
501,hinein,167
502,denen,166
503,glaubt,166
504,tot,166
505,Herzog,166
506,Vetter,165
507,fürchten,165
508,wahrlich,165
509,Nu,164
510,Jahr,164
511,freut,164
512,aufs,164
513,Fürst,164
514,Wetter,164
515,Gut,163
516,Ohren,163
517,Mannes,163
518,Kaiser,163
519,g,163
520,liegen,162
521,komme,162
522,führt,162
523,Henker,162
524,einander,161
525,seyd,161
526,wegen,160
527,reich,160
528,gekommen,160
529,Arbeit,160
530,Werk,160
531,Opfer,160
532,sagte,159
533,Spiel,159
534,Willst,159
535,sagst,159
536,freundlich,159
537,Gräfin,159
538,suchen,158
539,Mitleid,157
540,Bald,156
541,zieht,156
542,heiß,156
543,schuldig,156
544,Nimm,156
545,fehlt,155
546,Todes,155
547,Haß,155
548,jungen,155
549,Rettung,155
550,Muth,154
551,machte,153
552,zittern,153
553,herrlich,153
554,Geister,152
555,Ruhm,152
556,Gedanke,152
557,liebte,152
558,Sinne,152
559,gesehn,152
560,Ort,152
561,Gegenwart,152
562,sprach,152
563,schönes,151
564,Menschheit,151
565,Kummer,151
566,Fort,151
567,Krieg,150
568,werdet,150
569,Abend,150
570,fühlt,150
571,Streich,150
572,fällt,150
573,Schweig,150
574,hohen,149
575,mirs,149
576,gethan,149
577,sicher,149
578,danken,148
579,neuen,148
580,stand,148
581,Hilfe,148
582,wagen,148
583,wider,148
584,Sieg,148
585,Schrecken,147
586,niemals,147
587,unserer,147
588,treu,147
589,Aug,147
590,Satan,147
591,glaub,147
592,kalt,146
593,Fuß,146
594,laut,146
595,gutes,146
596,Haar,145
597,Angesicht,145
598,Wut,145
599,leid,144
600,Stolz,144
601,fassen,144
602,gefällt,144
603,Pfui,144
604,Verderben,144
605,Wunsch,143
606,setzen,143
607,Manne,143
608,mach,143
609,bricht,142
610,Zeiten,142
611,Blumen,142
612,liebst,142
613,denk,142
614,d,142
615,Tagen,141
616,gehabt,141
617,wert,141
618,Glanz,141
619,denkt,141
620,Blicke,141
621,Rede,141
622,Reich,140
623,Schmerzen,140
624,Ruh,140
625,geboren,140
626,Staub,140
627,He,140
628,Meer,139
629,wenigstens,139
630,Grabe,139
631,Meister,139
632,Held,139
633,Gestalt,138
634,müßte,138
635,trägt,138
636,gefunden,138
637,kleine,138
638,Kindern,138
639,weder,137
640,freuen,137
641,Bösewicht,137
642,eins,137
643,Guelfo,137
644,kleinen,136
645,edle,136
646,vergebens,136
647,Gewissen,136
648,geschehen,135
649,Wangen,135
650,danke,135
651,nahe,135
652,Flammen,135
653,brennt,134
654,drum,134
655,Seit,133
656,kennt,133
657,Glauben,133
658,etwa,133
659,Zeichen,133
660,mögen,133
661,Zimmer,133
662,paar,132
663,Wege,132
664,süße,132
665,beiden,132
666,lacht,132
667,Dienst,132
668,Knabe,132
669,Wunde,132
670,Noth,132
671,Schritt,131
672,herab,131
673,Qual,131
674,nimmt,131
675,nah,131
676,gestern,130
677,Mühe,130
678,heilig,130
679,mußte,130
680,treibt,130
681,Thron,130
682,Krone,130
683,gehe,129
684,krank,129
685,Gemahl,129
686,Frieden,129
687,Gunst,129
688,Geschöpf,129
689,arm,128
690,überall,128
691,stolz,128
692,rein,128
693,toll,128
694,schlecht,128
695,Dinge,128
696,Brüder,128
697,Seel,128
698,Ohr,128
699,Allein,128
700,Fenster,127
701,Schatten,127
702,hassen,127
703,willkommen,127
704,neu,127
705,Vermögen,127
706,Blitz,127
707,traurig,126
708,spielen,126
709,deren,126
710,Nase,126
711,lasse,125
712,bekommen,125
713,längst,125
714,solch,125
715,rächen,125
716,Familie,125
717,wahrhaftig,125
718,wann,125
719,Zukunft,125
720,heißen,125
721,umsonst,124
722,Ton,124
723,drei,124
724,großer,124
725,zeigen,124
726,Nie,124
727,lauter,124
728,jezt,124
729,lernen,123
730,armes,123
731,singen,123
732,Ketten,123
733,Baron,123
734,gnädige,123
735,de,123
736,Stirne,123
737,schrecklich,122
738,Donner,122
739,junge,122
740,reißt,122
741,geschehn,122
742,Je,122
743,bezahlen,121
744,bösen,121
745,Gesellschaft,121
746,brav,121
747,Ganz,121
748,Schelm,121
749,Erden,121
750,statt,121
751,stark,121
752,bitt,121
753,Seelen,120
754,freilich,120
755,halte,120
756,eher,120
757,früh,120
758,Leibe,120
759,Sorge,120
760,Antlitz,120
761,Wind,119
762,hättest,119
763,Sünde,119
764,Geliebte,119
765,dank,119
766,Wehe,119
767,Güte,118
768,genießen,118
769,Schmach,118
770,edlen,118
771,Kampf,118
772,rasend,117
773,Mond,117
774,halb,117
775,Ernst,117
776,sitzen,117
777,gerettet,117
778,werfen,117
779,Schatz,117
780,nit,117
781,hübsch,116
782,oben,116
783,erhalten,116
784,Mord,116
785,brechen,115
786,schien,115
787,Abgrund,115
788,Befehl,115
789,legen,115
790,Sterne,115
791,wild,115
792,lag,115
793,That,115
794,mache,114
795,herzlich,114
796,Schutz,114
797,Helden,114
798,Ziel,114
799,ans,114
800,Hunde,114
801,Jungfrau,114
802,Waffen,114
803,Eltern,113
804,weniger,113
805,bloß,113
806,außer,113
807,Ungeheuer,113
808,Königs,113
809,Gattin,113
810,süß,113
811,Richter,113
812,Gram,112
813,junger,112
814,Leuten,112
815,Entzücken,112
816,nennt,112
817,Wünsche,111
818,süßen,111
819,Augenblicke,111
820,fand,111
821,hart,111
822,Vertrauen,111
823,dran,111
824,finde,111
825,hohe,111
826,Schurke,111
827,Schlaf,111
828,Kommt,110
829,lesen,110
830,wißt,110
831,Lande,110
832,Esel,110
833,sanft,110
834,fröhlich,110
835,Strafe,110
836,Degen,110
837,empfangen,110
838,Felsen,109
839,fragen,109
840,folgen,109
841,Gleich,109
842,fern,109
843,bitten,109
844,schwach,109
845,wollten,108
846,elend,108
847,Geduld,108
848,dürfen,108
849,stillen,108
850,Bettler,108
851,Wolken,108
852,Seid,108
853,schlafen,108
854,warm,108
855,Wär,108
856,Schloß,108
857,ey,108
858,Rom,108
859,übrig,107
860,genommen,107
861,drückt,107
862,Majestät,107
863,gerade,107
864,nimmermehr,107
865,schau,107
866,ziehen,107
867,Dukaten,107
868,sogar,106
869,ruft,106
870,dienen,106
871,Hinweg,106
872,Preis,106
873,hieher,106
874,dieß,106
875,verderben,105
876,drauf,105
877,Vielleicht,105
878,Lebt,105
879,könnten,105
880,Wald,105
881,rufen,105
882,Immer,105
883,Frauen,105
884,hoffen,105
885,hundert,105
886,gilt,105
887,Sorgen,105
888,Last,105
889,vergeben,105
890,Erbarmen,105
891,ertragen,105
892,bange,104
893,Geschlecht,104
894,nahm,104
895,alt,104
896,täglich,104
897,gebe,104
898,weint,104
899,werth,104
900,einzigen,103
901,Laune,103
902,sollten,103
903,brauchen,103
904,schönste,103
905,gnädiger,103
906,leider,103
907,hielt,103
908,Mädel,103
909,Ewigkeit,103
910,Adern,103
911,beste,102
912,treiben,102
913,plötzlich,102
914,Rücken,102
915,geb,102
916,Golo,102
917,Munde,101
918,Ring,101
919,Unglückliche,101
920,hilft,101
921,schwarzen,101
922,Grafen,101
923,fürchterlich,100
924,Weisheit,100
925,selig,100
926,bleib,100
927,schweigen,100
928,kurz,100
929,Bravo,100
930,Dolch,100
931,wehe,100
932,heimlich,99
933,klagen,99
934,Liebhaber,99
935,Bursche,99
936,umher,99
937,Lassen,99
938,Haare,99
939,zeigt,99
940,Ah,99
941,betrogen,99
942,freylich,99
943,Glücks,98
944,unsers,98
945,wurde,98
946,Geschick,98
947,zittre,98
948,find,98
949,schauen,98
950,gefangen,98
951,Glut,98
952,Verflucht,98
953,hi,98
954,Sachen,97
955,Hör,97
956,offen,97
957,sucht,97
958,laufen,97
959,klein,97
960,wilden,97
961,Leid,97
962,Hätt,97
963,freue,97
964,Band,97
965,Bund,97
966,erfahren,97
967,Lager,97
968,Agnes,97
969,Verbrechen,96
970,desto,96
971,glaubte,96
972,Sprache,96
973,Kerls,96
974,ums,96
975,fiel,96
976,dumm,95
977,stürzt,95
978,Stein,95
979,schlug,95
980,Bürger,95
981,erfüllt,95
982,vermag,95
983,stürzen,95
984,Fest,95
985,Hilf,95
986,jung,94
987,schreiben,94
988,gedacht,94
989,hörte,94
990,Geliebten,94
991,würd,94
992,Feld,94
993,Rechte,94
994,Armer,94
995,Guten,94
996,Dirne,94
997,rief,94
998,Desto,94
999,Wollust,93
1000,zärtlich,93
1001,Eh,93
1002,Lied,93
1003,bleibe,93
1004,Zärtlichkeit,93
1005,rings,93
1006,Grund,93
1007,kühn,93
1008,zuletzt,93
1009,zog,93
1010,Papa,93
1011,dachte,93
1012,gib,93
1013,Sultan,93
1014,einzig,93
1015,klug,92
1016,Schein,92
1017,Doktor,92
1018,bezahlt,92
1019,daher,92
1020,treten,92
1021,würdig,92
1022,Vergebung,92
1023,Schlag,92
1024,ewige,91
1025,stille,91
1026,stehe,91
1027,gehalten,91
1028,sterbe,91
1029,hervor,91
1030,grausam,91
1031,Name,91
1032,schwere,91
1033,Reue,91
1034,Knaben,91
1035,Gericht,91
1036,drücken,90
1037,wünsche,90
1038,Glieder,90
1039,wilde,90
1040,damals,90
1041,Sag,90
1042,unschuldig,90
1043,Horch,90
1044,herunter,90
1045,Freundin,89
1046,schlimmer,89
1047,zugleich,89
1048,Worten,89
1049,empor,89
1050,Platz,89
1051,zittert,89
1052,Mauern,89
1053,böser,89
1054,Stand,89
1055,Bey,89
1056,Unglücklicher,88
1057,he,88
1058,hängen,88
1059,Garten,88
1060,erzählen,88
1061,Hof,88
1062,Gib,88
1063,Wahl,88
1064,neben,88
1065,Weibes,88
1066,Libussa,88
1067,fremden,87
1068,Seligkeit,87
1069,Gelegenheit,87
1070,meint,87
