,word,frequency
0,fürchten,527
1,helfen,362
2,O,317
3,kommen,290
4,sollen,256
5,zittern,225
6,müssen,221
7,sehen,199
8,schon,189
9,bange,184
10,lassen,184
11,Angst,181
12,fliehen,173
13,gehen,152
14,wer,145
15,wissen,145
16,ja,132
17,erschrecken,117
18,retten,116
19,ganz,116
20,all,115
21,stehen,110
22,ängstlich,109
23,mehr,106
24,hören,98
25,wohl,93
26,Hilfe,92
27,glauben,82
28,immer,82
29,nehmen,82
30,Zittre,82
31,Gefahr,80
32,Haus,78
33,gut,78
34,gar,77
35,Sinn,75
36,Ach,75
37,davon,72
38,scheuen,72
39,trauen,72
40,Feind,71
41,gleich,69
42,bös,68
43,geben,67
44,kömmen,66
45,Gnade,63
46,denken,62
47,warum,62
48,bitten,61
49,bleiben,61
50,nein,60
51,Nacht,59
52,Auge,58
53,verlieren,57
54,entsetzlich,57
55,Eile,57
56,schleichen,57
57,möchten,57
58,bringen,56
59,rufen,56
60,schreien,55
61,willen,54
62,vielleicht,54
63,schrecklich,53
64,halten,53
65,eilen,53
66,fassen,53
67,ach,50
68,wagen,49
69,Gotteswille,49
70,jed,48
71,schlagen,46
72,gewiß,46
73,schützen,46
74,stürzen,45
75,groß,44
76,kennen,44
77,verfluchen,44
78,Himmelswille,44
79,bald,44
80,ängstigen,44
81,nah,44
82,dürfen,43
83,unmöglich,42
84,Hand,42
85,Bey,41
86,sprechen,40
87,Wort,39
88,bewahren,39
89,fort,39
90,Unglück,39
91,verlassen,38
92,laufen,38
93,drohen,38
94,fürchterlich,37
95,entfliehen,37
96,folgen,37
97,Hölle,36
98,thu,36
99,treiben,35
100,finden,35
101,nie,35
102,furchtsam,35
103,warnen,35
104,Augenblick,35
105,schonen,34
106,hoch,34
107,fangen,34
108,Freund,34
109,mögen,34
110,schaudern,34
111,Fort,34
112,brennen,33
113,weh,33
114,grauen,33
115,recht,32
116,nahen,32
117,kaum,32
118,hüten,32
119,oft,32
120,heraus,32
121,besorgen,32
122,Flucht,32
123,schnell,32
124,lieb,31
125,Kopf,31
126,fühlen,31
127,seyn,31
128,still,30
129,ziehen,30
130,Macht,30
131,gefährlich,30
132,zurück,30
133,tun,30
134,Tag,29
135,geschehen,29
136,lieber,29
137,Stunde,29
138,stürmen,29
139,Sey,29
140,treten,29
141,weit,28
142,eben,28
143,ungeheuer,27
144,Fluch,27
145,neu,27
146,reißen,27
147,scheinen,27
148,lang,27
149,gnädig,27
150,solch,27
151,Traum,26
152,Blut,26
153,suchen,26
154,Entsetzen,26
155,Vorsicht,26
156,schlimm,26
157,gern,26
158,leicht,26
159,Schutz,26
160,wahr,25
161,Ende,25
162,selber,25
163,fallen,25
164,weichen,25
165,erschrecklich,25
166,Ding,25
167,nahe,24
168,Brust,24
169,allmächtig,24
170,laut,24
171,treffen,24
172,Sache,24
173,ab,24
174,Nein,24
175,Land,24
176,welch,23
177,sterben,23
178,voll,23
179,verbergen,23
180,genug,23
181,Tochter,23
182,führen,23
183,flehen,23
184,Auweh,23
185,sicher,23
186,Blick,23
187,tief,22
188,brauchen,22
189,erscheinen,22
190,Unsre,22
191,brechen,22
192,schwer,22
193,furchtbar,22
194,eh,22
195,verrathen,22
196,weniger,22
197,Bangigkeit,21
198,ergreifen,21
199,sorgen,21
200,stellen,21
201,wohin,21
202,behüten,21
203,Rettung,21
204,arm,21
205,Schloß,21
206,tragen,21
207,begegnen,21
208,Muth,21
209,Schwert,21
210,He,21
211,jagen,20
212,Gesicht,20
213,Glück,20
214,Gedanke,20
215,fechten,20
216,hoffen,20
217,rennen,20
218,Anblick,20
219,Kraft,20
220,verderben,20
221,darum,19
222,Mut,19
223,fast,19
224,Fuß,19
225,scheu,19
226,ahnden,19
227,schaffen,19
228,o,19
229,Folge,19
230,Verderben,19
231,stark,19
232,Hut,19
233,niemand,19
234,Nähe,19
235,schön,18
236,verschonen,18
237,hurtig,18
238,beben,18
239,besorgt,18
240,los,18
241,fest,18
242,holen,18
243,zag,18
244,arg,17
245,zeigen,17
246,verfolgen,17
247,je,17
248,letzt,17
249,beschwören,17
250,liegen,17
251,entgegen,17
252,Unheil,17
253,angst,16
254,leise,16
255,schweben,16
256,herum,16
257,schaden,16
258,steigen,16
259,wirklich,16
260,lauern,16
261,vergehen,16
262,Donner,16
263,vergessen,16
264,klein,16
265,überfallen,16
266,Abgrund,15
267,setzen,15
268,werfen,15
269,gewahren,15
270,dringen,15
271,hinaus,15
272,Ort,15
273,Grab,15
274,reden,15
275,Blitz,15
276,Schritt,15
277,möglich,15
278,erfahren,15
279,Ehre,15
280,schlafen,15
281,befürchten,15
282,horchen,15
283,schauen,15
284,heimlich,14
285,Bild,14
286,fern,14
287,Name,14
288,Spiel,14
289,toll,14
290,Hals,14
291,falsch,14
292,Gewitter,14
293,herauf,14
294,Au,14
295,geschwind,14
296,kalt,14
297,Bus,14
298,Flamme,14
299,fliegen,14
300,verflucht,14
301,Drum,14
302,nennen,14
303,Te,14
304,unsrer,14
305,heute,14
306,lernen,14
307,Zweifel,14
308,wanken,14
309,Wille,14
310,halt,14
311,erschüttern,13
312,fragen,13
313,Ungeheuer,13
314,erwarten,13
315,sitzen,13
316,Leib,13
317,Tür,13
318,nieder,13
319,wegen,13
320,Braut,13
321,Zeichen,13
322,Abend,13
323,plötzlich,13
324,umgeben,13
325,Ey,13
326,rauben,13
327,Bangen,13
328,Wesen,13
329,klopfen,13
330,schaudernd,13
331,ists,13
332,lieben,12
333,hart,12
334,Tat,12
335,außer,12
336,Stelle,12
337,ewig,12
338,Fels,12
339,Todesangst,12
340,Werk,12
341,Ohr,12
342,Lärm,12
343,eng,12
344,Beben,12
345,entdecken,12
346,weder,12
347,entkommen,12
348,Schrei,12
349,Fall,12
350,Ring,12
351,zitternd,12
352,verstecken,12
353,Waffe,12
354,That,12
355,Zimmer,12
356,Arm,12
357,wenig,12
358,wahrlich,12
359,gelten,12
360,frei,12
361,Böse,12
362,beschützen,12
363,Ei,11
364,desto,11
365,heben,11
366,springen,11
367,rasen,11
368,banger,11
369,heißen,11
370,fahren,11
371,hinein,11
372,lesen,11
373,entwischen,11
374,Lager,11
375,bangen,11
376,ängsten,11
377,Schlaf,11
378,Morgen,11
379,Knie,11
380,endlich,11
381,verraten,11
382,Stirn,11
383,ruhen,11
384,bedrohen,11
385,Schar,11
386,legen,11
387,drängen,11
388,greifen,11
389,davor,11
390,klingen,11
391,Haar,11
392,vorher,11
393,ruhig,11
394,Zukunft,11
395,Krieg,10
396,bekommen,10
397,feindlich,10
398,eignen,10
399,anfangen,10
400,Schwester,10
401,besitzen,10
402,Dieb,10
403,Haupt,10
404,drum,10
405,bloß,10
406,heran,10
407,verdächtig,10
408,Dank,10
409,Gesetz,10
410,gräßlich,10
411,erkennen,10
412,umher,10
413,stets,10
414,entrinnen,10
415,Lauf,10
416,wenden,10
417,stecken,10
418,verhüten,10
419,itzen,10
420,toden,10
421,verlangen,9
422,Warnung,9
423,eher,9
424,erreichen,9
425,eigen,9
426,ermorden,9
427,vorsichtig,9
428,zaudern,9
429,hängen,9
430,seit,9
431,Bett,9
432,warten,9
433,Schlange,9
434,herbei,9
435,drauf,9
436,daran,9
437,Miau,9
438,träumen,9
439,herein,9
440,locken,9
441,Natur,9
442,jemand,9
443,Ists,9
444,mächtig,9
445,Gewissen,9
446,sichern,9
447,wann,9
448,verstehen,9
449,beginnen,9
450,heftig,9
451,erfüllen,9
452,dafür,9
453,jung,9
454,meiden,9
455,übel,9
456,Held,9
457,schicken,9
458,Fenster,9
459,Ungewitter,9
460,wider,9
461,darauf,9
462,Gefühl,9
463,Gute,9
464,wahrhaftig,9
465,überall,9
466,heuen,8
467,dabei,8
468,entfernen,8
469,stören,8
470,wenigstens,8
471,verzweifeln,8
472,Geld,8
473,Wagen,8
474,Wind,8
475,blitzen,8
476,verstellen,8
477,jemals,8
478,verhaßt,8
479,schreiben,8
480,Kunst,8
481,gestern,8
482,entführen,8
483,heiß,8
484,Angstschweiß,8
485,Plan,8
486,entweichen,8
487,spielen,8
488,etwa,8
489,indessen,8
490,Weh,8
491,Geheimnis,8
492,drohend,8
493,heilig,8
494,leer,8
495,vorbei,8
496,stoßen,8
497,Sonne,8
498,vergebens,8
499,Gericht,8
500,winken,8
501,Scheu,8
502,Hütte,8
503,wecken,8
504,gerne,8
