,word,frequency
0,Freund,856
1,gut,253
2,Freundschaft,170
3,freundlich,76
4,sollen,75
5,Freundin,71
6,lieb,67
7,lassen,67
8,lieber,61
9,sehen,59
10,wissen,57
11,O,48
12,all,43
13,ja,43
14,mehr,42
15,wohl,41
16,ganz,39
17,kommen,39
18,geben,39
19,gern,37
20,müssen,37
21,bleiben,35
22,kennen,34
23,finden,34
24,Hand,31
25,schon,31
26,gehen,30
27,treu,30
28,nehmen,27
29,hören,27
30,immer,26
31,gar,25
32,mögen,25
33,vergessen,25
34,gleich,24
35,Haus,23
36,recht,23
37,halten,23
38,wahr,23
39,wer,22
40,vertrauen,22
41,seyn,22
42,sprechen,20
43,Sey,20
44,Feind,19
45,freundschaftlich,19
46,stehen,19
47,Glück,19
48,lieben,18
49,verlassen,18
50,denken,18
51,jed,17
52,schön,17
53,ehrlich,17
54,oft,16
55,nie,16
56,möchten,15
57,lang,15
58,groß,15
59,brüderlich,15
60,tun,14
61,danken,14
62,edel,14
63,willkommen,14
64,herzlich,14
65,schenken,14
66,Bey,14
67,fühlen,13
68,fest,13
69,wünschen,13
70,Brust,13
71,dürfen,12
72,Wort,12
73,je,12
74,glauben,12
75,verbinden,12
76,versöhnen,12
77,verlieren,12
78,Vertraute,11
79,gewiß,11
80,klein,11
81,nennen,11
82,neu,11
83,unsrer,11
84,grüßen,11
85,Unsre,11
86,Augenblick,11
87,heißen,11
88,vertraut,10
89,jung,10
90,hoffen,10
91,helfen,10
92,suchen,10
93,einzig,10
94,retten,10
95,ewig,10
96,glücklich,10
97,solch,10
98,Dienst,10
99,drücken,9
100,weniger,9
101,selber,9
102,bringen,9
103,hoch,9
104,vielleicht,9
105,brauchen,9
106,still,9
107,scheiden,9
108,Schwester,9
109,bald,9
110,heute,9
111,Tag,9
112,Auge,9
113,eben,8
114,führen,8
115,wagen,8
116,lernen,8
117,Gute,8
118,sterben,8
119,arm,8
120,thu,8
121,bedürfen,8
122,scheinen,8
123,dienen,8
124,Blut,8
125,manch,8
