,word,frequency
0,lieben,1794
1,lieb,772
2,sehen,720
3,sollen,603
4,O,555
5,lassen,493
6,ganz,471
7,all,433
8,gut,426
9,müssen,420
10,geben,403
11,mehr,391
12,ja,390
13,Hand,387
14,Auge,373
15,wissen,343
16,ewig,312
17,schon,292
18,nie,286
19,immer,282
20,Blick,280
21,schön,275
22,nehmen,272
23,kommen,261
24,wer,260
25,wohl,258
26,bleiben,252
27,fühlen,239
28,Arm,204
29,denken,197
30,halten,192
31,verlieben,190
32,Kuß,188
33,süß,184
34,küssen,182
35,jed,182
36,stehen,182
37,Brust,180
38,gehen,179
39,Glück,178
40,treu,178
41,finden,172
42,sprechen,166
43,dürfen,156
44,einzig,153
45,Tochter,153
46,Schwester,153
47,Wort,152
48,lieber,150
49,Leidenschaft,148
50,kennen,146
51,zärtlich,144
52,verlassen,141
53,Blut,141
54,gar,138
55,Geliebter,137
56,gleich,136
57,glauben,136
58,groß,135
59,tragen,131
60,Tag,129
61,mögen,125
62,hoch,117
63,hören,115
64,nein,114
65,recht,113
66,Lippe,112
67,wahr,112
68,vergessen,112
69,Bus,111
70,rein,109
71,fest,104
72,bald,103
73,Bey,103
74,ziehen,100
75,Nacht,100
76,Augenblick,99
77,oft,99
78,voll,96
79,drücken,96
80,ach,95
81,gern,95
82,liegen,94
83,heilig,94
84,Ehre,94
85,seyn,93
86,möchten,92
87,Ach,88
88,Gefühl,88
89,Bild,88
90,lang,86
91,Natur,86
92,tief,85
93,je,84
94,sanft,83
95,neu,83
96,führen,82
97,verlieren,81
98,tun,81
99,Herzen,81
100,schlagen,81
101,bringen,81
102,scheinen,81
103,glücklich,80
104,nennen,78
105,Sinn,78
106,klein,78
107,Sonne,78
108,schwören,78
109,Haus,78
110,nimmer,77
111,suchen,76
112,werfen,76
113,Wunsch,76
114,letzt,76
115,sterben,73
116,Fuß,73
117,Leib,73
118,genug,72
119,fallen,72
120,Flamme,72
121,Gedanke,72
122,frei,71
123,besitzen,71
124,Kuss,70
125,still,70
126,heiß,70
127,gewiß,69
128,warm,69
129,seit,68
130,Jahr,68
131,zurück,68
132,Mund,68
133,solch,68
134,wünschen,67
135,Kraft,66
136,weit,66
137,warum,66
138,fassen,66
139,jung,65
140,Bund,65
141,hängen,64
142,Haupt,64
143,zeigen,61
144,Stunde,61
145,eben,61
146,trennen,61
147,Ring,61
148,Freund,60
149,binden,60
150,Wesen,59
151,Band,59
152,verliebt,59
153,stets,59
154,Sey,59
155,weniger,58
156,Zärtlichkeit,57
157,geliebt,57
158,schenken,57
159,Unsre,57
160,leicht,57
161,treiben,56
162,Name,55
163,scheiden,55
164,ruhen,54
165,verzeihen,54
166,legen,53
167,wagen,53
168,Braut,53
