,word,frequency
0,Spöttisch,39
1,bitter,28
2,reißen,27
3,Hand,21
4,spöttisch,20
5,Verachtung,19
6,Blick,18
7,werfen,17
8,ab,16
9,schlagen,15
10,Schwert,14
11,feurig,13
12,stehen,13
13,stoßen,12
14,sehen,12
15,treten,11
16,fallen,11
17,nieder,11
18,Furie,10
19,all,10
20,laufen,10
21,durchdringend,9
22,zurück,9
23,voll,9
24,stürzen,9
25,Fuß,9
26,lassen,9
27,gehen,9
28,immer,9
29,wüthend,9
30,ziehen,9
31,halten,8
32,kalt,8
33,Abscheu,8
34,Auge,8
35,Kopf,8
36,Gesicht,8
37,fürchterlich,8
38,fort,8
39,fahren,7
40,drücken,7
41,Haar,7
42,fassen,7
43,finster,7
44,eindringend,7
45,kommen,7
46,schrecklich,6
47,geben,6
48,springen,6
49,setzen,6
50,durchbohren,6
51,Maulschelle,6
52,kehren,6
53,Hölle,6
54,Ton,6
55,ganz,6
56,Brust,6
57,beißend,5
58,blicken,5
59,Zimmer,5
60,plötzlich,5
61,Flamme,5
62,scharf,5
63,zeigen,5
64,tragen,5
65,wenden,5
66,Mund,5
67,Fenster,5
68,Bühne,5
69,los,5
70,triumphirend,5
71,herum,5
72,Peitsche,5
73,furchtbar,5
74,heftig,5
75,brummend,5
76,Zeichen,5
77,rot,5
78,Degen,5
79,blutig,4
80,Mephistophele,4
81,eilen,4
82,rasend,4
83,Hals,4
84,bleiben,4
85,stellen,4
86,Keule,4
87,Arm,4
88,Helm,4
89,verwandeln,4
90,gräßlich,4
91,Bewegung,4
92,brennend,4
93,hervor,4
94,stoßend,4
95,jagen,4
96,entgegen,4
97,Ungeheuer,4
98,hören,4
99,triumphierend,4
100,führen,4
101,schreyend,4
102,hinein,4
103,pöbeln,4
104,verächtlich,4
105,Füssen,4
106,Thron,4
107,frostig,3
108,starr,3
109,groß,3
110,stark,3
111,Befremdung,3
112,fest,3
113,halb,3
114,Auff,3
115,Becher,3
116,niederstoßend,3
117,wildlachend,3
118,wüten,3
119,Szene,3
120,Kranz,3
121,erkennen,3
122,erscheinen,3
123,teuflisch,3
124,Miene,3
125,betrachten,3
126,Unwille,3
127,schleppen,3
128,tückisch,3
129,öffnen,3
130,umgeben,3
131,tief,3
132,wüst,3
133,schauen,3
134,Hintergrund,3
135,Fackel,3
136,erschallen,3
137,Tür,3
138,lang,3
139,Lanze,3
140,Baum,3
141,Haupt,3
142,folgen,3
143,rollen,3
144,rasch,3
145,stolz,3
146,sogleich,3
147,Zahn,3
148,Wort,3
149,Haus,3
150,Flügel,3
151,packen,3
152,herein,3
153,Maul,3
154,gleich,3
155,Lippe,3
156,horchend,3
157,knirschend,3
158,binden,3
159,heraus,3
160,worauf,3
161,Palast,3
162,kleiden,3
163,Fratz,3
164,spucken,2
165,giftig,2
166,murmelnd,2
167,darauf,2
168,beinahe,2
169,toben,2
170,steigen,2
171,schnell,2
172,höhnisch,2
173,Geitze,2
174,Marqui,2
175,zerreißen,2
176,still,2
177,Kleider,2
178,gelauffen,2
179,fliegend,2
180,Donner,2
181,Gierig,2
182,reichen,2
183,verhüllen,2
184,schließen,2
185,hinweg,2
186,Deß,2
187,abscheulich,2
188,mehr,2
189,Veranda,2
190,Kleidung,2
191,Pudel,2
192,murmeln,2
193,wegschleudernd,2
194,beyd,2
195,bloß,2
196,schreiend,2
197,wider,2
198,heimlich,2
199,verbeißend,2
200,schnarrend,2
201,Haut,2
202,Hohn,2
203,Blut,2
204,Hemd,2
205,Gruppe,2
206,Mantel,2
207,rauh,2
208,deutend,2
209,Stirn,2
210,Grausen,2
211,vorig,2
212,schleudern,2
213,Augenblick,2
214,Blitz,2
215,Grau,2
216,reißend,2
217,Brief,2
218,aufspringen,2
219,angreifend,2
220,Vließ,2
221,Grabgewölbe,2
222,Rey,2
223,laut,2
224,stechen,2
225,hinten,2
226,Seye,2
227,Ausdruck,2
228,hoch,2
