,word,frequency
0,gut,900
1,all,767
2,sehen,766
3,schön,748
4,groß,734
5,sollen,702
6,hoch,618
7,Hand,605
8,edel,593
9,müssen,572
10,lassen,569
11,wer,491
12,geben,486
13,O,470
14,ja,464
15,ganz,436
16,wissen,430
17,Gnade,416
18,stehen,393
19,mehr,380
20,Ehre,358
21,schon,329
22,Held,308
23,Bey,301
24,ehren,279
25,solch,278
26,wohl,268
27,Ka,265
28,treu,259
29,kommen,253
30,seyn,246
31,gleich,240
32,nehmen,236
33,halten,235
34,gnädig,232
35,jed,231
36,nie,231
37,gar,231
38,mögen,230
39,bringen,225
40,gehen,222
41,lieb,221
42,recht,220
43,küssen,218
44,Macht,209
45,Auge,208
46,immer,207
47,dürfen,203
48,Land,199
49,Glück,197
50,finden,196
51,Dienst,196
52,führen,190
53,Heil,188
54,tragen,183
55,Name,182
56,stolz,174
57,Sey,171
58,kennen,170
59,Gunst,168
60,bleiben,168
61,Wort,164
62,sprechen,163
63,Majestät,163
64,Tag,160
65,Gehorsam,160
66,ewig,157
67,Feind,156
68,heilig,156
69,Blut,156
70,zeigen,153
71,wahr,153
72,hübsch,150
73,segnen,149
74,Thron,149
75,Fuß,148
76,Gut,148
77,Vaterland,147
78,stets,145
79,weit,143
80,Dank,143
81,dienen,143
82,Haupt,142
83,schätzen,141
84,klug,140
85,loben,140
86,Tochter,138
87,verdienen,136
88,nennen,134
89,verehren,134
90,denken,133
91,glauben,131
92,Haus,130
93,Recht,130
94,jung,127
95,tun,126
96,hören,125
97,erheben,124
98,Freund,124
99,Krieg,123
100,gewiß,121
101,sterben,121
102,Jahr,120
103,rein,120
104,Jhr,120
105,Pflicht,119
106,Unsre,119
107,fromm,118
108,würdig,118
109,Kraft,118
110,fallen,118
111,Wol,117
112,rühmen,116
113,bald,116
114,setzen,116
115,Blick,115
116,lang,115
117,gütig,114
118,voll,112
119,kühn,112
120,schützen,112
121,möchten,111
122,brav,111
123,retten,110
124,Kunst,109
125,königlich,108
126,neu,108
127,selber,108
128,dafür,106
129,Wille,106
130,Jch,106
131,Befehl,105
132,That,105
133,erkennen,105
134,E,105
135,Arm,104
136,Sonne,104
137,Sieg,103
138,Sinn,102
139,gern,102
140,schuldig,101
141,danken,101
142,Lob,100
143,Gold,99
144,stark,97
145,Verdienst,97
146,herrlich,96
147,klein,96
148,eben,96
149,wünschen,95
150,Brust,95
151,Sol,94
152,fein,93
153,preisen,93
154,frei,93
155,Deß,93
156,Seyn,92
157,scheinen,91
158,Gute,90
159,vergessen,90
160,oft,90
161,Segen,89
162,Auff,89
163,liegen,88
164,helfen,88
165,welch,88
166,legen,88
167,Aufferne,88
168,befehlen,87
169,stellen,87
170,letzt,86
171,leicht,85
172,lieben,85
173,heißen,85
174,suchen,85
175,Mund,85
176,Schwester,85
177,erhalten,85
178,göttlich,84
179,schlagen,83
180,Ach,83
181,Leib,82
182,bitten,82
183,Kopf,81
184,empfangen,81
185,schauen,80
186,grüßen,80
187,genug,79
188,je,78
189,thu,78
190,Natur,77
191,Mut,77
192,folgen,77
193,Stand,77
194,wagen,76
195,Nacht,76
196,vortrefflich,76
197,mächtig,74
198,niemand,73
199,Durchlaucht,73
200,einzig,73
201,Werk,73
202,fühlen,73
203,lehren,73
204,Glanz,73
205,zieren,73
206,arm,73
207,Jüngling,73
208,erscheinen,72
209,heute,72
210,heben,72
211,Sache,71
212,krönen,71
213,Ihro,70
214,lieber,70
215,bewundern,70
216,ehrlich,70
217,gefallen,69
218,Unschuld,69
219,gehören,69
220,rufen,69
221,reden,69
222,ziehen,68
223,hoffen,68
224,schmücken,68
225,sanft,68
226,Schlacht,67
227,verstehen,66
228,Huld,66
229,wil,66
230,lernen,65
231,Stirn,65
232,Werth,65
233,Gesicht,65
234,Achtung,64
235,ach,64
236,fest,64
237,einst,64
238,Tempel,64
239,allerliebst,64
240,Augenblick,63
241,schwören,63
242,tapfer,63
243,Muth,63
244,Schwert,63
245,laut,63
246,unsrer,62
247,schwer,62
248,Gantz,62
249,Schatz,62
250,erhaben,62
251,dank,62
252,fehlen,61
253,Hof,61
254,manch,61
255,Frieden,61
256,Wil,61
257,Bild,61
258,nein,59
259,getreu,59
260,belohnen,58
261,schaffen,58
262,Stolz,57
263,tief,57
264,trefflich,57
265,treten,57
266,Schutz,57
267,Vn,57
268,gerecht,56
269,Wesen,56
270,auß,56
271,gelten,56
272,beschützen,56
273,Vertrauen,55
274,erweisen,55
275,blühen,55
276,Preis,55
277,freundlich,54
278,Tat,54
279,beneiden,54
280,Ehrfurcht,54
281,siegen,54
282,Zeichen,53
283,Biß,53
284,holen,53
285,vertrauen,53
286,liebenswürdig,53
287,weniger,53
288,erwarten,52
289,himmlisch,52
290,mild,52
291,ruhen,52
292,brauchen,52
293,Stunde,52
294,heuen,52
295,gering,52
296,fast,52
297,verlassen,52
298,geschehen,52
299,davon,51
300,still,51
301,gewinnen,51
302,Waffe,50
303,schenken,50
304,Tapferkeit,50
305,eignen,50
306,Grab,50
307,Wunsch,50
308,lieblich,50
309,galant,50
310,erwerben,49
311,Retter,49
312,Printz,49
313,wert,49
314,Kampf,49
315,vermögen,49
316,Respekt,49
317,erlauben,48
318,bescheiden,48
319,ansehen,48
320,verlangen,48
321,Wahrheit,48
322,reizend,48
323,teuer,47
324,bauen,47
325,Lippe,47
326,schreiben,47
327,wann,47
328,gehorsamst,47
329,Geschlecht,46
330,schnell,46
331,wohnen,46
332,senden,46
333,besitzen,46
334,treffen,46
335,Art,46
336,spielen,45
337,Edel,45
338,drücken,45
339,vieler,45
340,ab,45
341,weiß,45
342,wider,45
343,ists,45
344,zart,45
345,deutsch,45
