,word,frequency
0,arm,1088
1,Mitleid,372
2,O,239
3,sollen,222
4,lieb,179
5,lassen,178
6,müssen,176
7,bedauern,162
8,gut,160
9,ja,134
10,leid,125
11,tun,119
12,sehen,119
13,jammern,110
14,ach,109
15,wer,106
16,helfen,106
17,Arm,103
18,nehmen,101
19,kommen,99
20,gehen,99
21,büßen,97
22,mehr,96
23,wohl,95
24,unglücklich,94
25,beklagen,87
26,lieber,85
27,wissen,85
28,nein,83
29,fehlen,83
30,Erbarmen,77
31,geben,75
32,ganz,72
33,Ach,72
34,Freund,70
35,schon,69
36,all,67
37,erbarmen,64
38,bekümmern,62
39,geschehen,61
40,Tochter,60
41,denken,60
42,weinen,60
43,gar,59
44,Unglück,58
45,thu,58
46,recht,57
47,Schwester,55
48,schonen,51
49,schön,50
50,bitten,47
51,Bey,46
52,unschuldig,46
53,Leid,46
54,retten,44
55,seyn,44
56,stehen,44
57,mögen,43
58,schade,42
59,dürfen,41
60,lieben,40
61,Barmherzigkeit,40
62,bleiben,39
63,hören,38
64,jung,38
65,Arme,37
66,Auge,37
67,vergeben,37
68,gnädig,37
69,verdienen,36
70,klagen,35
71,verzeihen,35
72,schlimm,34
73,groß,34
74,weh,34
75,mitleidig,34
76,genug,34
77,Reue,33
78,vielleicht,32
79,fühlen,32
80,solch,32
81,gewiß,30
82,bringen,30
83,Hand,30
84,trösten,30
85,immer,29
86,zurück,29
87,finden,29
88,sorgen,29
89,Haus,29
90,kennen,29
91,willen,29
92,tragen,28
93,möchten,28
94,gleich,28
95,glauben,27
96,gern,27
97,klein,27
98,Träne,26
99,halten,26
100,schwach,26
101,wahr,26
102,Gnade,26
103,Sey,25
104,Wort,25
105,bald,25
106,rühren,24
107,Blut,24
108,Ei,24
109,dauern,24
110,Ding,23
111,fort,23
112,flehen,23
113,fallen,23
114,rächen,22
115,verlassen,22
116,Geschöpf,22
117,vergessen,22
118,verlieren,22
119,scheinen,21
120,warum,21
121,edel,21
122,o,21
123,Geld,20
124,beten,20
125,trauern,20
126,selber,20
127,einzig,20
128,krank,20
129,liegen,19
130,nie,19
131,rufen,19
132,Gewissen,19
133,reden,19
134,sprechen,19
135,still,19
136,beweinen,18
137,lang,18
138,kümmern,18
139,Noth,18
140,sterben,18
141,leiden,18
142,Tag,18
143,verschonen,17
144,Gefühl,17
145,nahe,17
146,Unglückliche,17
147,Schelm,17
148,Glück,17
149,darum,17
150,herzlich,16
151,führen,16
152,bereuen,16
153,eben,16
154,treu,16
155,wenig,16
156,nah,15
157,treffen,15
158,wahrlich,15
159,befreien,15
160,grausam,15
161,Befreyen,15
162,Brust,15
163,suchen,15
164,Pflicht,15
165,leicht,15
166,menschlich,15
167,Augenblick,15
168,dafür,15
169,Sache,15
170,barmherzig,15
171,heute,15
172,je,15
173,Kopf,14
174,wahrhaftig,14
175,Nacht,14
176,zart,14
177,teuer,14
178,fromm,14
179,letzt,14
180,beleidigen,14
181,jed,14
182,Sünder,14
183,ists,13
184,fragen,13
185,Fehler,13
186,reuen,13
187,schlagen,13
188,hart,13
189,Anteil,13
190,gerne,13
191,Blick,13
192,Leib,13
193,etwa,13
194,Thräne,13
195,Ehre,13
196,Trost,13
197,weniger,13
198,schlecht,13
199,Gute,12
200,ab,12
201,ziehen,12
202,Jüngling,12
203,Schmerz,12
204,gethan,12
205,tropfen,12
206,ansehen,12
207,schaden,12
208,welch,12
209,schrecklich,12
210,schuldig,12
211,schweigen,12
212,Elend,12
213,fast,12
214,vieler,12
215,Mama,12
216,wegen,12
217,Gräfi,11
218,Gram,11
219,hoffen,11
220,entschuldigen,11
221,wünschen,11
222,Seyn,11
223,Ruhe,11
224,wenigstens,11
225,übel,11
226,ehrlich,11
227,schaffen,11
228,Gethan,11
229,fremd,11
230,danken,11
231,daran,11
232,schwer,11
233,Macht,11
234,gehören,11
235,Klage,11
236,Fuß,11
237,setzen,10
