,word,frequency
0,lieben,3284
1,lieb,1411
2,sehen,1137
3,sollen,1065
4,lassen,878
5,O,841
6,mehr,822
7,müssen,809
8,ja,778
9,all,707
10,ganz,703
11,geben,678
12,gut,665
13,Hand,619
14,Auge,596
15,wissen,595
16,schon,526
17,nehmen,489
18,wer,487
19,schön,480
20,ewig,464
21,wohl,436
22,bleiben,425
23,Blick,423
24,Brust,419
25,nie,413
26,kommen,412
27,immer,365
28,treu,335
29,verlieben,331
30,Tochter,329
31,gar,319
32,gehen,319
33,stehen,316
34,halten,313
35,Glück,312
36,denken,304
37,fühlen,297
38,Arm,294
39,finden,282
40,gleich,273
41,groß,272
42,küssen,272
43,Kuß,269
44,Schwester,269
45,kennen,268
46,zärtlich,264
47,sprechen,263
48,süß,262
49,seyn,262
50,jed,257
51,Bey,257
52,glauben,255
53,Blut,248
54,Wort,240
55,nein,231
56,dürfen,229
57,einzig,226
58,verlassen,221
59,lieber,216
60,tragen,215
61,recht,213
62,Ka,209
63,mögen,207
64,Tag,204
65,hoch,202
66,Sonne,202
67,Leidenschaft,199
68,vergessen,198
69,Geliebter,194
70,wahr,182
71,Ach,181
72,solch,175
73,hören,173
74,bald,173
75,fest,170
76,Zärtlichkeit,169
77,Lippe,169
78,rein,167
79,ziehen,166
80,Flamme,166
81,voll,162
82,oft,160
83,Augenblick,158
84,Sey,156
85,ach,155
86,Nacht,155
87,lang,153
88,stets,153
89,Mund,151
90,gern,151
91,gewiß,149
92,besitzen,147
93,je,146
94,möchten,146
95,letzt,145
96,liegen,144
97,Ehre,144
98,suchen,144
99,Bus,139
100,Leib,139
101,sterben,138
102,scheinen,138
103,neu,138
104,führen,137
105,fallen,137
106,Haupt,136
107,schlagen,136
108,Haus,135
109,Sinn,133
110,bringen,132
111,glücklich,130
112,Jahr,130
113,drücken,129
114,Herzen,128
115,heilig,128
116,tun,128
117,Bild,126
118,Natur,125
119,genug,125
120,nennen,124
121,verlieren,123
122,Fuß,122
123,weit,121
124,vielleicht,120
125,Macht,120
126,nimmer,120
127,tief,119
128,wünschen,119
129,schwören,118
130,warum,115
131,Unsre,115
132,Wunsch,112
133,zeigen,112
134,Jhr,112
135,sanft,111
136,Braut,111
137,thu,111
138,eben,110
139,jung,110
140,klein,110
141,brennen,109
142,verliebt,109
143,seit,109
144,trennen,106
145,Freund,106
146,schenken,105
