,word,frequency
0,lieben,3285
1,lieb,1414
2,sehen,1175
3,sollen,1065
4,lassen,889
5,O,841
6,mehr,823
7,müssen,809
8,ja,778
9,Hand,714
10,all,709
11,ganz,707
12,geben,683
13,gut,666
14,Auge,609
15,wissen,596
16,küssen,533
17,schon,528
18,nehmen,518
19,wer,487
20,schön,480
21,ewig,464
22,Blick,441
23,Brust,439
24,wohl,437
25,bleiben,430
26,kommen,415
27,nie,413
28,immer,378
29,gehen,339
30,verlieben,339
31,treu,335
32,Tochter,331
33,Arm,331
34,halten,328
35,stehen,323
36,gar,319
37,Glück,312
38,zärtlich,310
39,denken,304
40,fühlen,299
41,Kuß,288
42,finden,283
43,groß,276
44,gleich,275
45,Schwester,270
46,kennen,268
47,sprechen,263
48,süß,262
49,seyn,262
50,jed,260
51,Bey,260
52,glauben,255
53,Blut,248
54,Wort,241
55,nein,232
56,dürfen,229
57,einzig,226
58,verlassen,222
59,lieber,216
60,fallen,216
61,tragen,216
62,recht,214
63,Ka,209
64,mögen,207
65,Leidenschaft,205
66,hoch,205
67,Tag,204
68,Sonne,202
69,vergessen,198
70,Geliebter,196
71,Hals,191
72,fest,188
73,wahr,182
74,Ach,181
75,Zärtlichkeit,176
76,bald,176
77,solch,175
78,Lippe,174
79,hören,173
80,ziehen,173
81,voll,173
82,Flamme,168
83,rein,167
84,oft,163
85,Augenblick,161
86,Mund,159
87,Sey,156
88,lang,155
89,ach,155
90,Nacht,155
91,stets,153
92,drücken,152
93,gern,151
94,gewiß,149
95,besitzen,147
96,suchen,147
97,letzt,146
98,je,146
99,möchten,146
100,liegen,145
101,Ehre,144
102,Haupt,144
103,Bus,143
104,scheinen,142
105,Leib,141
106,Fuß,141
107,neu,139
108,schlagen,139
109,werfen,138
110,sterben,138
111,führen,137
112,Haus,135
113,Sinn,133
114,bringen,132
115,glücklich,130
116,Bild,130
117,Jahr,130
118,Herzen,129
119,heilig,128
120,tun,128
121,Natur,125
122,genug,125
123,verlieren,125
124,nennen,124
125,umarmen,123
126,tief,121
127,weit,121
128,vielleicht,120
129,Macht,120
130,nimmer,120
131,wünschen,119
132,sanft,118
133,schwören,118
134,zeigen,115
135,warum,115
136,Unsre,115
137,umfassen,113
138,verliebt,113
139,Wunsch,112
140,Jhr,112
141,eben,111
142,jung,111
143,klein,111
144,Braut,111
145,thu,111
146,legen,110
147,Gefühl,109
148,Kuss,109
149,brennen,109
150,seit,109
151,trennen,106
152,hängen,106
153,Freund,106
154,schenken,105
155,ab,105
156,Seyn,105
157,heißen,104
158,Gedanke,103
159,zurück,103
160,weniger,103
161,still,102
162,fassen,100
163,binden,100
164,zart,100
165,selber,99
166,heiß,97
167,Bund,96
168,gehören,96
169,setzen,95
170,geliebt,94
171,Schatz,94
172,Stunde,93
173,ruhen,93
174,leicht,93
175,Kraft,90
176,Neigung,90
177,reißen,89
178,reden,89
179,Trieb,89
180,warm,88
181,wagen,88
182,verbinden,88
183,stark,88
184,schauen,88
185,Band,88
186,rühren,88
187,Au,87
188,Name,87
189,niemand,87
190,wenig,86
191,scheiden,86
192,eh,85
193,schließen,84
194,Pflicht,84
195,brechen,83
196,Gesicht,82
197,eigen,82
198,Wille,82
199,frei,81
200,empfinden,81
201,Werth,81
202,Sol,81
203,Altar,79
204,Wesen,79
205,liebenswürdig,79
206,verzeihen,78
207,bitten,78
208,einst,78
209,Wonne,78
210,Antlitz,77
211,heute,77
212,Angesicht,76
213,darum,76
214,gefallen,76
215,Recht,76
216,holen,76
217,hoffen,75
218,erkennen,74
219,entdecken,74
220,ehren,73
221,vergeben,73
222,edel,73
223,schmeicheln,72
224,ists,71
225,Jüngling,71
226,treiben,70
227,verdienen,70
228,Jch,70
229,Gemahl,69
230,arm,69
231,kaum,69
232,o,69
233,kalt,68
234,innig,68
235,bloß,68
236,retten,68
237,Arme,68
238,schnell,67
239,Gut,67
240,Vaterland,66
241,liebend,66
242,gieben,66
243,Wange,65
244,Knie,65
245,kehren,65
246,meinig,65
247,Traum,64
248,Ton,64
249,nimmermehr,64
250,Grab,64
251,Weibe,64
252,verlangen,64
253,versprechen,64
254,erhalten,63
255,endlich,63
256,wiegen,63
257,Aufferne,63
258,Gold,63
259,teuer,62
260,Land,62
261,Gunst,62
262,schaffen,61
263,Empfindung,61
264,Seel,61
265,Verlangen,61
266,reichen,61
267,gewinnen,61
268,Wil,61
269,wert,60
270,mächtig,60
271,Ruhe,60
272,unsrer,60
273,fast,60
274,Feind,60
275,fremd,59
276,niemals,59
277,Glut,59
278,rauben,59
279,Geliebte,59
280,Wol,59
281,göttlich,59
282,trauen,58
283,Blume,58
284,locken,58
285,laut,58
286,folgen,58
287,vermögen,58
288,Gute,57
289,zwingen,57
290,eignen,57
291,Reiz,57
292,Holden,57
293,heben,57
294,wohnen,57
295,längst,56
296,herzlich,56
297,eher,56
298,stellen,56
299,Ding,56
300,schreiben,56
301,Stirn,56
302,verbergen,56
303,heiraten,56
304,Haar,55
305,Nein,55
306,ansehen,55
307,ergreifen,55
308,brauchen,55
309,Deß,55
310,rufen,54
311,Kopf,54
312,verstehen,54
313,nah,54
314,wenden,54
315,treffen,54
316,helfen,53
317,Ader,53
318,Ring,53
319,kurz,53
320,begehren,53
321,itzen,53
322,welch,53
323,Schau,53
324,weich,52
325,gestehen,52
326,fehlen,52
327,Trost,52
328,schätzen,52
329,Segen,52
330,weihen,52
331,Schwur,51
332,himmlisch,51
333,Anblick,51
334,fromm,51
335,entzünden,51
336,Auff,51
337,Heil,51
338,wil,51
339,Geschlecht,51
340,schmeichelnd,50
341,treten,50
342,berühren,50
343,geschehen,50
344,erfüllen,50
345,Grund,50
346,Art,50
347,gerne,49
348,schweben,49
349,fern,49
350,fort,49
351,dahin,49
352,lieblich,49
353,Glanz,49
354,fliehen,48
355,spielen,48
356,blühen,48
357,dringen,48
358,bewegen,48
359,hassen,48
360,dafür,48
361,Ja,48
362,That,48
363,gnädig,47
364,wider,47
365,wann,47
366,Thron,47
367,Gefahr,47
368,fließen,47
369,Ende,47
370,keusch,47
371,heuen,47
372,glühen,47
373,empfangen,47
374,nieder,47
375,möglich,47
376,halt,46
377,steigen,46
378,zärtlichster,46
379,Sehnsucht,46
380,Liebche,46
381,stolz,46
382,vertrauen,46
383,schwer,46
384,fragen,46
385,kühn,46
386,Stand,46
387,weichen,45
388,richten,45
389,Geld,45
390,Ohr,45
391,vieler,45
392,würdig,45
393,beten,45
394,gebären,45
395,lösen,45
396,vergehen,45
397,lernen,44
398,erheben,44
399,verführen,44
400,halb,44
401,pflegen,44
402,hell,43
403,Träne,43
404,Zug,43
405,dießen,43
406,Brunst,43
407,verschmähen,43
408,offen,43
409,schwach,43
410,lesen,43
411,Unschuld,43
412,davon,43
413,heimlich,42
414,selig,42
415,entreißen,42
416,auß,42
417,verehren,42
418,Füssen,42
419,Verliebte,42
420,herrlich,41
421,väterlich,41
422,Geschöpf,41
423,gering,41
424,weiß,41
425,manch,41
426,Huld,41
427,Zeichen,41
428,wirklich,41
429,Vermögen,41
430,hübsch,41
431,Mama,41
432,behalten,40
433,Blitz,40
434,gelten,40
435,bestimmen,40
436,schlafen,40
437,singen,40
438,reizend,39
439,Opfer,39
440,ruhig,39
441,leiden,39
442,Ehe,39
443,Vertrauen,39
444,Sache,39
445,Liebende,38
446,Gatte,38
447,Holdes,38
448,Mond,38
449,los,38
