,word,frequency
0,gehen,9911
1,ja,9469
2,kommen,9039
3,sehen,8208
4,müssen,7845
5,sollen,7395
6,gut,7381
7,lassen,6946
8,ab,6550
9,wissen,6477
10,schon,5988
11,wer,5634
12,wohl,5038
13,geben,4810
14,stehen,4314
15,hören,3891
16,Hand,3465
17,nehmen,3418
18,all,3218
19,mehr,3211
20,ganz,3208
21,nein,3133
22,sprechen,3061
23,recht,3028
24,gleich,2920
25,bleiben,2731
26,treten,2697
27,bringen,2661
28,halten,2568
29,groß,2447
30,Haus,2353
31,glauben,2349
32,gar,2293
33,vorig,2261
34,denken,2253
35,kennen,2224
36,Wort,2170
37,O,2102
38,Bey,1984
39,tun,1983
40,zurück,1928
41,setzen,1904
42,warum,1897
43,bald,1870
44,finden,1824
45,seyn,1802
46,fallen,1779
47,führen,1764
48,dürfen,1758
49,immer,1749
50,schön,1733
51,wahr,1714
52,eben,1713
53,ziehen,1673
54,mögen,1667
55,fort,1666
56,gewiß,1648
57,Tag,1629
58,vielleicht,1585
59,reden,1564
60,Nacht,1475
61,bitten,1434
62,gnädig,1406
63,liegen,1389
64,Freund,1350
65,hoch,1342
66,suchen,1315
67,lang,1309
68,fragen,1306
69,rufen,1292
70,verstehen,1290
71,lesen,1275
72,Sache,1262
73,lieb,1241
74,heißen,1238
75,tragen,1235
76,Recht,1197
77,weit,1180
78,geschehen,1171
79,Tochter,1161
80,heute,1148
81,Jahr,1141
82,folgen,1135
83,Zimmer,1134
84,thu,1115
85,Augenblick,1092
86,klein,1077
87,Brief,1077
88,lieber,1076
89,genug,1067
90,Auge,1045
91,davon,1041
92,schnell,1036
93,jung,1034
94,schlagen,1033
95,gehören,1033
96,legen,1024
97,solch,1023
98,laut,1013
99,Geld,1004
100,scheinen,986
101,kömmen,982
102,Name,975
103,herein,968
104,zeigen,960
105,neu,959
106,helfen,945
107,nie,942
108,Ka,938
109,jed,932
110,gern,922
111,still,916
112,stellen,915
113,weniger,893
114,leicht,892
115,Fort,876
116,Land,864
117,trinken,858
118,oft,857
119,Stunde,855
120,nennen,845
121,letzt,845
122,Ehre,844
123,möchten,843
124,sitzen,831
125,schreiben,830
126,Sey,823
127,o,819
128,hoffen,818
129,brauchen,797
130,werfen,788
131,Pause,788
132,schicken,785
133,Arm,780
134,eilen,777
135,vergessen,776
136,warten,772
137,Kopf,771
138,selber,770
139,fahren,761
140,Gnade,759
141,heraus,759
142,möglich,733
143,fassen,732
144,verzeihen,728
145,spielen,723
146,je,714
147,kurz,711
148,niemand,709
149,singen,703
150,sterben,700
151,Glück,699
152,Ding,699
153,Feind,696
154,laufen,695
155,darauf,692
156,freilich,684
157,geschwind,682
158,erscheinen,681
159,nah,680
160,heuen,678
161,nieder,676
162,wenig,675
163,Schwester,674
164,hinein,671
165,schlafen,669
166,Fuß,665
167,Ei,660
168,Blut,652
169,leise,652
170,Nu,651
171,ists,651
172,ruhig,651
173,Fenster,646
174,wann,646
175,holen,640
176,frei,638
177,Schwert,631
178,morgen,620
179,hinaus,617
180,Wol,610
181,treffen,608
182,wagen,603
183,steigen,598
184,fehlen,595
185,Macht,593
186,früh,593
187,verlassen,592
188,halb,586
189,wünschen,584
190,befehlen,578
191,ruhen,577
192,Ach,576
193,Seyn,573
194,Gute,572
195,lernen,571
196,Sinn,564
197,erlauben,559
198,gelten,556
199,erzählen,551
200,Schloß,551
201,Unsre,549
202,fest,547
203,fangen,545
204,Ende,539
205,tief,536
206,heben,535
207,endlich,534
208,schwer,529
209,darum,528
210,vieler,528
211,wohin,527
212,voll,526
213,That,522
214,schauen,519
215,Gesicht,511
216,Abend,511
217,wenden,510
218,edel,506
219,Gedanke,504
220,Rede,504
221,Tür,503
222,brechen,503
223,stark,500
224,Traum,499
225,Wille,498
226,Natur,497
227,versprechen,497
228,eh,495
229,erfahren,495
230,Art,494
231,schaffen,492
232,erwarten,492
233,Krieg,492
234,Aufferne,486
235,gieben,486
236,Nein,484
237,verlieren,484
238,fremd,484
239,kehren,483
240,winken,481
241,Kraft,481
242,seit,480
243,Buch,479
244,Wahrheit,479
245,Schritt,478
246,Fall,477
247,kaum,473
248,stecken,471
249,stürzen,470
250,Grund,470
251,verlangen,466
252,Ah,463
253,schließen,462
254,Braut,462
255,treiben,459
256,daran,459
257,wen,458
258,Pflicht,456
259,spät,455
260,sicher,454
261,Haupt,450
262,Jhr,450
263,Hm,448
264,rasch,447
265,Auff,447
266,dafür,443
267,Antwort,443
268,treu,443
269,klug,442
270,wegen,441
271,öffnen,439
272,Mund,438
273,reichen,434
274,erkennen,433
275,Platz,432
276,Ring,426
277,Befehl,426
278,ach,424
279,sogleich,423
280,merken,420
281,Blick,419
282,heimlich,418
283,etwa,417
284,übrig,416
285,wider,415
286,Thüre,414
287,Dienst,413
288,Brust,412
289,dienen,412
290,Ort,410
291,bekommen,409
292,wohnen,409
293,Sonne,408
294,Bild,404
295,Gold,403
296,greifen,402
297,Thron,402
298,reißen,401
299,Musik,401
300,Garten,400
301,he,399
302,wirklich,398
303,essen,398
304,Morgen,397
305,Stand,395
306,Ohr,393
307,Mittel,393
308,einzig,392
309,ehrlich,391
310,bloß,389
311,Bett,388
312,dahin,387
313,hervor,387
314,Wunsch,386
315,entdecken,384
316,verbergen,384
317,Baum,383
318,springen,380
319,Hof,378
320,Gut,376
321,gewinnen,374
322,Schiff,373
323,stets,372
324,schweigen,371
325,irren,371
326,Se,371
327,Ja,370
328,Zeichen,369
329,Hintergrund,369
330,wenigstens,368
331,Stück,368
332,entgegen,368
333,fast,367
334,erhalten,366
335,Spiel,366
336,Mitte,366
337,richtig,365
338,schlecht,363
339,frisch,360
340,Uhr,358
341,Waffe,356
342,Kunst,356
343,Hut,354
344,hängen,354
345,rein,354
346,fühlen,353
347,richten,353
348,dabei,353
349,Glas,352
350,gestern,352
351,sinken,350
352,schenken,349
353,itzen,349
354,halt,346
355,eher,346
356,lehren,343
357,jemand,340
358,indessen,340
359,anfangen,339
360,hieher,339
361,Degen,336
362,Saal,335
363,Tat,333
364,Ton,330
365,begleiten,330
366,erblicken,328
367,Schlacht,328
368,fern,327
369,Majestät,326
370,Fels,324
371,Frage,323
372,Boden,323
373,retten,323
374,Stelle,322
375,herum,321
376,bedenken,320
377,stoßen,320
378,Ruhe,320
379,ewig,319
380,heilig,319
381,ergreifen,316
382,versuchen,316
383,fertig,315
384,gerne,314
385,stolz,313
386,sobald,313
387,lieben,313
388,sorgen,312
389,Werk,312
390,Folge,311
391,empfangen,309
392,Szene,309
393,neben,309
394,verschwinden,309
395,Schlaf,309
396,tot,307
397,Weise,305
398,eignen,304
399,vernehmen,302
400,nachdem,301
401,erklären,300
402,vorher,300
403,fein,299
404,dringen,299
405,erheben,299
406,beginnen,299
407,Gefahr,299
408,Leib,297
409,Lied,297
410,antworten,296
411,He,296
412,besinnen,295
413,verdienen,295
414,manch,294
415,melden,294
416,Geschäft,294
417,Oh,294
418,schwören,293
419,Grab,293
420,Muth,293
421,handeln,291
422,begegnen,290
423,wählen,289
424,Papier,289
425,Kampf,289
426,Knie,289
427,zwingen,288
428,sprich,288
429,senden,288
430,ansehen,287
431,gestehen,287
432,fordern,287
433,kriegen,286
434,Ihro,286
435,bekannt,286
436,eigen,284
437,Schatz,284
438,Frieden,284
439,trauen,283
440,entfernen,282
441,kühn,281
442,rechts,281
443,nahen,281
444,drücken,278
445,Drum,278
446,langsam,277
447,links,277
448,Feld,276
449,erinnern,275
450,bereit,275
451,Haar,274
452,Gelegenheit,274
453,pflegen,273
454,woher,272
455,Zug,272
456,drauf,272
457,reisen,271
458,weiß,271
459,Jch,271
460,wichtig,270
461,sanft,269
462,fliehen,269
463,herab,269
464,Blume,269
465,abgehen,268
466,ehe,268
467,Sol,267
468,Gräfi,266
469,Lager,266
470,Arbeit,265
471,wem,265
472,zweifeln,264
473,gerade,262
474,Vorhang,262
475,schwach,262
476,Sieg,261
477,unmöglich,261
478,königlich,261
479,Mantel,260
480,Hernach,260
481,bedienen,260
482,falsch,259
483,fliegen,259
484,offen,259
485,los,259
486,messen,258
487,wohlan,258
488,vertrauen,257
489,beiseite,256
490,brav,256
491,reiten,253
492,Vn,253
493,Schlüssel,252
494,Dank,251
495,schleichen,251
496,Papa,250
497,Held,249
498,statt,249
499,Zweifel,248
500,darüber,248
501,niemals,247
502,Geduld,247
503,plötzlich,246
504,Bitte,246
505,glücklich,246
506,begehren,245
507,Gang,244
508,vernünftig,244
509,itzt,244
510,wil,244
511,Is,244
512,unsrer,243
513,bedeuten,243
514,einst,243
515,wozu,242
516,wahrhaftig,241
517,hübsch,240
518,schuldig,240
519,längst,240
520,Wagen,239
521,Mühe,239
522,behalten,238
523,annehmen,238
524,Gesetz,237
525,dergleichen,237
526,Mama,237
527,willkommen,234
528,umsonst,234
529,kosten,234
530,Grad,233
531,leer,233
532,hernach,233
533,Di,233
534,Eile,232
535,gefallen,232
536,Jüngling,232
537,Flamme,232
538,klar,231
539,klopfen,231
540,binden,231
541,hart,230
542,geheim,230
543,Stille,229
544,Reise,229
545,Plan,229
546,freylich,229
547,Deß,228
548,betrachten,227
549,Freiheit,227
550,dießen,227
551,Beym,227
552,E,227
553,zuerst,226
554,arm,226
555,klingen,226
556,Hochzeit,226
557,Wind,225
558,bestellen,225
559,bewegen,225
560,Weh,224
561,schießen,224
562,hinauf,224
563,Schein,223
564,jedoch,223
565,genau,223
566,bezahlen,222
567,Dabey,222
568,hell,221
569,Schau,221
570,nähern,221
571,dunkel,221
572,drängen,221
573,besitzen,220
574,Kleider,220
575,ehren,220
576,Tor,219
577,eigentlich,219
578,Absicht,218
579,weichen,218
580,Ziel,218
581,wachsen,218
582,Ordnung,218
583,Frey,218
584,allerdings,217
585,Finger,217
586,darin,216
587,daher,216
588,Ursache,216
589,mer,216
590,vermögen,215
591,Vaterland,215
592,Geschlecht,215
593,bauen,215
594,vorhin,214
595,kleiden,214
596,Umstand,214
597,Lauf,214
598,deutsch,214
599,gethan,214
600,entschließen,213
601,Fackel,213
602,streng,212
603,natürlich,212
604,Wolke,212
605,kalt,211
606,Blitz,211
607,Meinung,210
608,Tempel,210
609,Donner,209
610,bemerken,209
611,herunter,207
612,künftig,207
613,vorüber,206
