,word,frequency
0,ach,3049
1,O,2237
2,sehen,2036
3,müssen,1913
4,mehr,1514
5,sollen,1401
6,lassen,1262
7,all,1227
8,Ach,1138
9,ja,1103
10,schon,990
11,wohl,890
12,Schmerz,856
13,gehen,846
14,ganz,844
15,wissen,824
16,weinen,802
17,wer,788
18,kommen,767
19,Auge,765
20,weh,712
21,Tag,706
22,unglücklich,684
23,stehen,671
24,geben,657
25,groß,626
26,gut,626
27,Unglück,622
28,arm,601
29,Thräne,576
30,leiden,548
31,liegen,538
32,gar,532
33,schwer,531
34,immer,527
35,Hand,512
36,hören,510
37,fallen,507
38,nehmen,501
39,Träne,487
40,Nacht,462
41,fühlen,454
42,lang,453
43,bleiben,449
44,nie,444
45,Blut,441
46,Brust,433
47,finden,427
48,bringen,417
49,gleich,416
50,glauben,414
51,sterben,411
52,traurig,410
53,denken,408
54,bald,407
55,solch,406
56,Elend,398
57,Bey,395
58,seyn,393
59,brechen,391
60,lieb,386
61,mögen,382
62,Jahr,373
63,Grab,373
64,Qual,370
65,tragen,370
66,schön,367
67,oft,365
68,jed,365
69,Wort,365
70,hoch,363
71,Haus,361
72,tief,350
73,Ka,349
74,halten,347
75,verlieren,343
76,elend,337
77,recht,331
78,warum,329
79,Glück,327
80,Noth,315
81,tun,312
82,ewig,309
83,letzt,308
84,leider,307
85,sprechen,303
86,Wunde,296
87,helfen,291
88,Land,289
89,klagen,285
90,schlagen,284
91,Arm,282
92,quälen,275
93,Freund,275
94,Stunde,271
95,dürfen,265
96,vergessen,262
97,nein,262
98,betrüben,262
99,vielleicht,261
100,jammern,260
101,verlassen,254
102,voll,251
103,suchen,245
104,neu,241
105,Pei,240
106,Leiden,240
107,ziehen,239
108,Fuß,239
109,Kummer,238
110,scheinen,238
111,Klage,233
112,weit,232
113,Leib,232
114,Augenblick,229
115,grausam,228
116,Haupt,228
117,Unsre,228
118,schwach,228
119,Tochter,227
120,verzeihen,227
121,Sinn,226
122,schrecklich,226
123,gewiß,226
124,vergeben,225
125,schlecht,224
126,klein,221
127,Ende,220
128,kaum,220
129,eben,220
130,Aufferne,220
131,hart,218
132,kalt,218
133,Kopf,215
134,führen,215
135,Auff,214
136,genug,213
137,ab,213
138,still,212
139,lieber,211
140,welch,209
141,bluten,208
142,krank,206
143,bitten,205
144,Sey,204
145,Ehre,200
146,einzig,200
147,lieben,200
148,seit,200
149,Schmach,200
150,Jhr,200
151,thu,197
152,fehlen,196
153,möchten,195
154,Blick,195
155,reißen,194
156,wahr,194
157,kennen,193
158,selber,193
159,setzen,192
160,treffen,192
161,Gedanke,189
162,zurück,188
163,Leid,188
164,ruhen,188
165,sinken,187
166,Jch,186
167,stürzen,184
168,Gesicht,182
169,je,182
170,wenig,180
171,seufzen,180
172,gnädig,179
173,Last,178
174,leicht,175
175,Trost,175
176,Kraft,174
177,rühren,174
178,schlimm,173
179,drücken,172
180,jung,171
181,fast,170
182,Weh,169
183,Sonne,168
184,geschehen,167
185,heute,164
186,Wol,164
187,treu,163
188,Feind,162
189,stets,162
190,Sol,161
191,Deß,161
192,schauen,159
193,Gram,158
194,plagen,158
195,davon,158
196,Seyn,157
197,ertragen,156
198,Krieg,156
199,laut,155
200,vergebens,155
201,werfen,154
202,o,152
203,endlich,152
204,glücklich,149
205,heißen,149
206,sitzen,149
207,weniger,148
208,legen,148
209,eh,148
210,treiben,147
211,Mund,147
212,Schwester,146
213,Unglückliche,145
214,Grund,144
215,gern,144
216,Kette,144
217,Hals,144
218,Bild,143
219,Haar,142
220,leer,142
221,dahin,142
222,nennen,142
223,Traum,141
224,Recht,141
225,nimmer,140
226,Fall,140
227,Geld,140
228,rufen,139
229,manch,138
230,Ohr,138
231,Bus,136
232,wirklich,135
233,bös,134
234,reden,133
235,That,133
236,fort,133
237,fürchterlich,132
238,wünschen,132
239,Verlust,132
240,empfinden,132
241,hoffen,132
242,fest,131
243,Wange,130
244,Macht,130
245,ists,130
246,edel,129
247,einst,129
248,Vn,129
249,heuen,128
250,trösten,128
251,itzen,128
252,niemand,127
253,nieder,127
254,fremd,126
255,Mart,125
256,hängen,123
257,trüb,123
258,Leiche,123
259,Boden,122
260,grau,122
261,Ruhe,122
262,fließen,122
263,heiß,122
264,verdienen,121
265,bleich,121
266,Schmertz,121
267,fern,120
268,zerreißen,119
269,fassen,119
270,eignen,119
271,retten,118
272,gliedern,117
273,treten,116
