,_1650_1730_pre1_tag_type,_1650_1730_pre1_tag_type_percentage,_1730_1770_pre1_tag_type,_1730_1770_pre1_tag_type_percentage,_1770_1815_pre1_tag_type,_1770_1815_pre1_tag_type_percentage
Schadenfreude,14,"0,262319655237025",12,"0,148038490007402",188,"0,3948833203806"
abhorrence,52,"0,974330148023234",72,"0,888230940044411",422,"0,886387027662837"
"admiration, reverence",25,"0,468427955780401",74,"0,912904021712312",501,"1,05232203995043"
anger,92,"1,72381487727188",270,"3,33086602516654",1402,"2,94482135730639"
being moved,21,"0,393479482855537",244,"3,01011596348384",2560,"5,37713457539541"
compassion,2,"0,037474236462432",7,"0,086355785837651",42,"0,088218614127581"
desire,1,"0,018737118231216",0,0,20,"0,042008863870277"
despair,5,"0,09368559115608",6,"0,074019245003701",155,"0,325568694994644"
fear,36,"0,674536256323777",131,"1,61608684924747",967,"2,03112856812788"
friendship,3,"0,056211354693648",4,"0,049346163335801",37,"0,077716398160012"
joy,87,"1,6301292861158",362,"4,46582778188996",1500,"3,15066479027075"
love,21,"0,393479482855537",88,"1,08561559338761",726,"1,52492175849104"
no_annotation,4886,"91,5495596777216",6614,"81,5938810757464",37284,"78,3129240269697"
suffering,92,"1,72381487727188",222,"2,73871206513694",1805,"3,79129996429247"
