,Unnamed: 0,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,genre,subgenre,date,pre1_base_polarity,pre1_main_emotion_class
0,0,TextGrid/-Catharina_von_Georgien.xml,"
                                 Der Schauplatz lieget voll Leichen-Bilder / Cronen /Zepter / Schwerdter etc.",0,110,stage_direction,1,0,pre_speech,,,,,suffering,T,,1647.0,negative,emotions of suffering and empathy
1,1,TextGrid/-Catharina_von_Georgien.xml,Vber dem Schau-Platz öffnet sich der Himmel / vnter dem Schau-Platz die Helle.,111,189,stage_direction,1,0,pre_speech,,,,,no_annotation,T,,1647.0,no_annotation,no_annotation
2,2,TextGrid/-Catharina_von_Georgien.xml,Die Ewigkeit kommet von dem Himmel / vnd bleibet auff dem SchauPlatz stehen.,190,266,stage_direction,1,0,pre_speech,,,,,no_annotation,T,,1647.0,no_annotation,no_annotation
3,3,TextGrid/-Catharina_von_Georgien.xml,"
                                 Ewigkeit.",0,43,stage_direction,1,0,pre_speech,,,,,no_annotation,T,,1647.0,no_annotation,no_annotation
4,4,TextGrid/-Catharina_von_Georgien.xml,"
                                 Demetrius.",0,44,stage_direction,1,0,pre_speech,,,,,no_annotation,T,,1647.0,no_annotation,no_annotation
5,5,TextGrid/-Catharina_von_Georgien.xml,Procopius.,45,55,stage_direction,1,0,pre_speech,,,,,no_annotation,T,,1647.0,no_annotation,no_annotation
6,6,TextGrid/-Catharina_von_Georgien.xml,"
                                 Der SchauPlatz verendert sich in einen Lustgarten",0,83,stage_direction,1,0,pre_speech,,,,,joy,T,,1647.0,positive,emotions of pleasure
7,7,TextGrid/-Catharina_von_Georgien.xml,"
                                    Diß ist die feste Burg die vnsern Schatz beschlossen
                                    Das Kleinod dessen wir so kurtz / doch wol / genossen.",0,180,character_speech,1,0,,DEMETRIUS.,DEMETRIUS.,1.0,UNKNOWN,joy,T,,1647.0,positive,emotions of pleasure
8,8,TextGrid/-Catharina_von_Georgien.xml,"Die Sonn' Iberiens die als jhr Glantz anfing
                                    Zu strahlen durch die Lufft so bluttig unterging
                                    Verfinstert dieser Stein.",217,408,character_speech,1,0,,DEMETRIUS.,DEMETRIUS.,1.0,UNKNOWN,suffering,T,,1647.0,negative,emotions of suffering and empathy
9,9,TextGrid/-Catharina_von_Georgien.xml,"Die vber vns regiret
                                    Ward für vns in die Band' als eine Magd geführet?",409,515,character_speech,1,0,,DEMETRIUS.,DEMETRIUS.,1.0,UNKNOWN,no_annotation,T,,1647.0,no_annotation,no_annotation
10,10,TextGrid/-Catharina_von_Georgien.xml,"Mit Ihr zog vnser Ruhm vnd Freyheit vnd Gewin
                                    Vnd vngepochte Macht in frembdes Elend hin.",552,677,character_speech,1,0,,DEMETRIUS.,DEMETRIUS.,1.0,UNKNOWN,suffering,T,,1647.0,negative,emotions of suffering and empathy
11,11,TextGrid/-Catharina_von_Georgien.xml,"Wer hat euch nicht bißher mit vnerschöpfften Sehnen
                                    Mit Seufftzenreichem Ach vnd vnverfälschten Thränen
                                    Bejammert vnd betraur't.",714,914,character_speech,1,0,,DEMETRIUS.,DEMETRIUS.,1.0,UNKNOWN,suffering,T,,1647.0,negative,emotions of suffering and empathy
12,12,TextGrid/-Catharina_von_Georgien.xml,"Wer wolte nicht dem Tod
                                    Getrost entgegen ziehn / dafern die ehrne Noth
                                    Vor euch solch Opffer wolt' O Königin der Frauen
                                    Die je der Tag bekrönt kont auff der Erden schauen!",915,1194,character_speech,1,0,,DEMETRIUS.,DEMETRIUS.,1.0,UNKNOWN,suffering,T,,1647.0,negative,emotions of suffering and empathy
13,13,TextGrid/-Catharina_von_Georgien.xml,"Die Vaterland vnd Reich durch Faust vnd Recht geschützt /
                                    Den Strom der Tyranney mit Stahl vnd Mutt gestützt
                                    Die jhres Fürsten Mord durch dessen Tod gerochen
                                    Der Gott den Eyd / vns Trew / vnd alles Recht gebrochen
                                    
                                       
Das Völcker je bepfählt der durch deß Vatern Brust
                                          
                                          
                                          5
                                       
                                    
                                    Ins Brudern Hertze stiß: Fraw!",1231,1954,character_speech,1,0,,DEMETRIUS.,DEMETRIUS.,1.0,UNKNOWN,suffering,T,,1647.0,negative,emotions of suffering and empathy
