,Unnamed: 0,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,genre,subgenre,date,pre1_base_polarity,pre1_main_emotion_class
0,0,GerDracor/ayrenhoff-der-postzug.xml,Der Verwalter und Lisette.,0,26,stage_direction,1,1,pre_speech,,,,,no_annotation,K,,1769.0,no_annotation,no_annotation
1,1,GerDracor/ayrenhoff-der-postzug.xml,"Sie wissen also nicht, Jungfer Lisette, in welcher Absicht mich die Baroninn schon
              wieder rufen läßt?",0,115,character_speech,1,1,,DER VERWALTER.,#der_verwalter,1.0,MALE,no_annotation,K,,1769.0,no_annotation,no_annotation
2,2,GerDracor/ayrenhoff-der-postzug.xml,"Das sagte sie mir nicht, und es wäre Kunst es zu errathen.",0,58,character_speech,1,1,,LISETTE.,#lisette,2.0,FEMALE,no_annotation,K,,1769.0,no_annotation,no_annotation
3,3,GerDracor/ayrenhoff-der-postzug.xml,"Sie hat heut so vielerley
              Dinge im Kopfe, daß sie selbst nicht weiß, was sie will und nicht will.",59,170,character_speech,1,1,,LISETTE.,#lisette,2.0,FEMALE,being moved,K,,1769.0,being moved,being moved
4,4,GerDracor/ayrenhoff-der-postzug.xml,"Wenn wir doch
              diese Festivität schon überstanden hätten!",171,241,character_speech,1,1,,LISETTE.,#lisette,2.0,FEMALE,suffering,K,,1769.0,negative,emotions of suffering and empathy
5,5,GerDracor/ayrenhoff-der-postzug.xml,Ja wohl – und Ich von meinem Interims-Haushofmeister-Amte wieder los wäre!,0,74,character_speech,1,1,,DER VERWALTER.,#der_verwalter,3.0,MALE,anger,K,,1769.0,negative,emotions of rejection
6,6,GerDracor/ayrenhoff-der-postzug.xml,"Das ist
              nun diesen Morgen das zwölftemal, daß ich gerufen werde; achtmal bloß des Stalles
              wegen.",75,199,character_speech,1,1,,DER VERWALTER.,#der_verwalter,3.0,MALE,anger,K,,1769.0,negative,emotions of rejection
7,7,GerDracor/ayrenhoff-der-postzug.xml,"Wundert Sie das, Herr Verwalter?",0,32,character_speech,1,1,,LISETTE.,#lisette,4.0,FEMALE,no_annotation,K,,1769.0,no_annotation,no_annotation
8,8,GerDracor/ayrenhoff-der-postzug.xml,Sie kennen doch den Grafen von Reitbahn?,33,73,character_speech,1,1,,LISETTE.,#lisette,4.0,FEMALE,no_annotation,K,,1769.0,no_annotation,no_annotation
9,9,GerDracor/ayrenhoff-der-postzug.xml,Nein!,0,5,character_speech,1,1,,DER VERWALTER.,#der_verwalter,5.0,MALE,no_annotation,K,,1769.0,no_annotation,no_annotation
