,Unnamed: 0,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,genre,subgenre,date,pre1_base_polarity,pre1_main_emotion_class
0,0,GerDracor/brandes-ariadne-auf-naxos.xml,"Der Eingang der Bühne stellt ein Thal vor, auf beyden Seiten erblickt man hohe und
          rauhe Felsen, die von der See umschlossen sind.",0,140,stage_direction,1,1,pre_speech,,,,,no_annotation,S,,1775.0,no_annotation,no_annotation
1,1,GerDracor/brandes-ariadne-auf-naxos.xml,"Ariadne schläft auf der Anhöhe eines Felsens, ein andrer höherer Felsen ragt über
          ihrem Lager hervor und dient ihr zum Schutz gegen die ungestüme Witterung.",0,166,stage_direction,1,1,pre_speech,,,,,no_annotation,S,,1775.0,no_annotation,no_annotation
2,2,GerDracor/brandes-ariadne-auf-naxos.xml,"Theseus kömmt
          von einem entgegen stehenden Felsen herab.",167,233,stage_direction,1,1,pre_speech,,,,,no_annotation,S,,1775.0,no_annotation,no_annotation
3,3,GerDracor/brandes-ariadne-auf-naxos.xml,Noch einmal will ich sie sehn; zum letztenmale!,0,47,character_speech,1,1,,THESEUS.,#theseus,1.0,MALE,love,S,,1775.0,positive,emotions of affection
4,4,GerDracor/brandes-ariadne-auf-naxos.xml,"Er steigt den Felsen hinan auf welchem Ariadne schläft, nähert sich ihr und
            betrachtet sie ein'ge Augenblicke voll Unruhe.",0,134,stage_direction,1,1,speech_part,,#theseus,1.0,MALE,being moved,S,,1775.0,being moved,being moved
5,5,GerDracor/brandes-ariadne-auf-naxos.xml,"So sanft schläfst Du, Ariadne?",0,30,character_speech,1,1,,THESEUS.,#theseus,1.0,MALE,no_annotation,S,,1775.0,no_annotation,no_annotation
6,6,GerDracor/brandes-ariadne-auf-naxos.xml,"Ahndest nicht, daß dieß dein letzter sanfter Schlaf
            ist?",31,99,character_speech,1,1,,THESEUS.,#theseus,1.0,MALE,suffering,S,,1775.0,negative,emotions of suffering and empathy
7,7,GerDracor/brandes-ariadne-auf-naxos.xml,Du glaubst Dich noch in meinen Armen –,0,38,character_speech,1,1,,THESEUS.,#theseus,1.0,MALE,no_annotation,S,,1775.0,no_annotation,no_annotation
8,8,GerDracor/brandes-ariadne-auf-naxos.xml,Drückst mich noch an Deinen Busen –,0,35,character_speech,1,1,,THESEUS.,#theseus,1.0,MALE,love,S,,1775.0,positive,emotions of affection
9,9,GerDracor/brandes-ariadne-auf-naxos.xml,"Gutes, treues, liebvolles Geschöpf!",0,35,character_speech,1,1,,THESEUS.,#theseus,1.0,MALE,love,S,,1775.0,positive,emotions of affection
10,10,GerDracor/brandes-ariadne-auf-naxos.xml,Und ich wag es?,0,15,character_speech,1,1,,THESEUS.,#theseus,1.0,MALE,being moved,S,,1775.0,being moved,being moved
11,11,GerDracor/brandes-ariadne-auf-naxos.xml,Darf ich ihn denken den Gedanken?,0,33,character_speech,1,1,,THESEUS.,#theseus,1.0,MALE,no_annotation,S,,1775.0,no_annotation,no_annotation
12,12,GerDracor/brandes-ariadne-auf-naxos.xml,"Ich wag es, dich zu verlassen?",0,30,character_speech,1,1,,THESEUS.,#theseus,1.0,MALE,being moved,S,,1775.0,being moved,being moved
13,13,GerDracor/brandes-ariadne-auf-naxos.xml,Schutzgöttin meines Lebens!,0,27,character_speech,1,1,,THESEUS.,#theseus,1.0,MALE,love,S,,1775.0,positive,emotions of affection
14,14,GerDracor/brandes-ariadne-auf-naxos.xml,"Meine Wohlthäterin, meine Geliebte, meine Gattin!",28,77,character_speech,1,1,,THESEUS.,#theseus,1.0,MALE,love,S,,1775.0,positive,emotions of affection
15,15,GerDracor/brandes-ariadne-auf-naxos.xml,Ha Bösewicht!,0,13,character_speech,1,1,,THESEUS.,#theseus,1.0,MALE,anger,S,,1775.0,negative,emotions of rejection
16,16,GerDracor/brandes-ariadne-auf-naxos.xml,Zeugte je die Hölle ein so abscheuliches Ungeheuer?,14,65,character_speech,1,1,,THESEUS.,#theseus,1.0,MALE,abhorrence,S,,1775.0,negative,emotions of rejection
17,17,GerDracor/brandes-ariadne-auf-naxos.xml,Sie entriß mich der Rache des Minos –,0,37,character_speech,1,1,,THESEUS.,#theseus,1.0,MALE,suffering,S,,1775.0,negative,emotions of suffering and empathy
18,18,GerDracor/brandes-ariadne-auf-naxos.xml,Rettete mich aus dem Labyrinth –,0,32,character_speech,1,1,,THESEUS.,#theseus,1.0,MALE,no_annotation,S,,1775.0,no_annotation,no_annotation
19,19,GerDracor/brandes-ariadne-auf-naxos.xml,Gab mir den Minotaurus in die Hände.,0,36,character_speech,1,1,,THESEUS.,#theseus,1.0,MALE,no_annotation,S,,1775.0,no_annotation,no_annotation
20,20,GerDracor/brandes-ariadne-auf-naxos.xml,–,37,38,character_speech,1,1,,THESEUS.,#theseus,1.0,MALE,no_annotation,S,,1775.0,no_annotation,no_annotation
21,21,GerDracor/brandes-ariadne-auf-naxos.xml,"Verließ Aeltern, Freunde, Vaterland –",0,37,character_speech,1,1,,THESEUS.,#theseus,1.0,MALE,no_annotation,S,,1775.0,no_annotation,no_annotation
22,22,GerDracor/brandes-ariadne-auf-naxos.xml,Um mir in eine Wüste zu folgen!,0,31,character_speech,1,1,,THESEUS.,#theseus,1.0,MALE,no_annotation,S,,1775.0,no_annotation,no_annotation
23,23,GerDracor/brandes-ariadne-auf-naxos.xml,Und ich sollte sie verlassen?,0,29,character_speech,1,1,,THESEUS.,#theseus,1.0,MALE,being moved,S,,1775.0,being moved,being moved
24,24,GerDracor/brandes-ariadne-auf-naxos.xml,Ariadnen verlassen?,0,19,character_speech,1,1,,THESEUS.,#theseus,1.0,MALE,being moved,S,,1775.0,being moved,being moved
