,Unnamed: 0,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,genre,subgenre,date,pre1_base_polarity,pre1_main_emotion_class
0,0,GerDracor/soden-doktor-faust.xml,"Abend; Fausts Zimmer in höchster Unordnung; hier und da auf dem Boden Bücher
          aufgetürmt; ein Tisch mit Flaschen und Gläsern.",0,134,stage_direction,1,0,pre_scene,,,,,being moved,S,,1797.0,being moved,being moved
1,1,GerDracor/soden-doktor-faust.xml,allein.,0,7,stage_direction,1,1,speech_part,,#brenner,1.0,MALE,no_annotation,S,,1797.0,no_annotation,no_annotation
2,2,GerDracor/soden-doktor-faust.xml,"Sieben Uhr, und noch nicht zurück?",0,34,character_speech,1,1,,BRENNER,#brenner,1.0,MALE,no_annotation,S,,1797.0,no_annotation,no_annotation
3,3,GerDracor/soden-doktor-faust.xml,Ja!,35,38,character_speech,1,1,,BRENNER,#brenner,1.0,MALE,no_annotation,S,,1797.0,no_annotation,no_annotation
4,4,GerDracor/soden-doktor-faust.xml,"laufe nur der Barmherzigkeit nach, liebes
              Dokterchen!",39,106,character_speech,1,1,,BRENNER,#brenner,1.0,MALE,compassion,S,,1797.0,negative,emotions of suffering and empathy
5,5,GerDracor/soden-doktor-faust.xml,Du entrinnst mir nicht; meine Klauen haften zu tief.,107,159,character_speech,1,1,,BRENNER,#brenner,1.0,MALE,fear,S,,1797.0,negative,emotions of anxiety
6,6,GerDracor/soden-doktor-faust.xml,"– Nein, nein, ich
              will nicht",160,202,character_speech,1,1,,BRENNER,#brenner,1.0,MALE,fear,S,,1797.0,negative,emotions of anxiety
7,7,GerDracor/soden-doktor-faust.xml,Er trinkt.,0,10,stage_direction,1,1,inner_speech,,#brenner,1.0,MALE,no_annotation,S,,1797.0,no_annotation,no_annotation
8,8,GerDracor/soden-doktor-faust.xml," Und wärst du gelehrter als Parazelsus, der
              dumme, der liederliche Brenner ist dein Meister; denn Venus und Bacchus ...",0,133,character_speech,1,1,,BRENNER,#brenner,1.0,MALE,no_annotation,S,,1797.0,no_annotation,no_annotation
9,9,GerDracor/soden-doktor-faust.xml,"Mephistopheles, Brenner.",0,24,stage_direction,1,2,pre_speech,,,,,no_annotation,S,,1797.0,no_annotation,no_annotation
10,10,GerDracor/soden-doktor-faust.xml,Hu!,0,3,character_speech,1,2,,BRENNER.,#brenner,2.0,MALE,no_annotation,S,,1797.0,no_annotation,no_annotation
11,11,GerDracor/soden-doktor-faust.xml,Du rufst mir?,0,13,character_speech,1,2,,MEPHISTOPHELES.,#mephistopheles,3.0,MALE,being moved,S,,1797.0,being moved,being moved
12,12,GerDracor/soden-doktor-faust.xml,Ich?,0,4,character_speech,1,2,,BRENNER.,#brenner,4.0,MALE,being moved,S,,1797.0,being moved,being moved
13,13,GerDracor/soden-doktor-faust.xml,Dir?,5,9,character_speech,1,2,,BRENNER.,#brenner,4.0,MALE,no_annotation,S,,1797.0,no_annotation,no_annotation
14,14,GerDracor/soden-doktor-faust.xml,Nanntest du nicht unsre Gehilfen?,0,33,character_speech,1,2,,MEPHISTOPHELES.,#mephistopheles,5.0,MALE,no_annotation,S,,1797.0,no_annotation,no_annotation
15,15,GerDracor/soden-doktor-faust.xml,"Auch ist's Zeit, daß ich dich wecke.",34,70,character_speech,1,2,,MEPHISTOPHELES.,#mephistopheles,5.0,MALE,no_annotation,S,,1797.0,no_annotation,no_annotation
16,16,GerDracor/soden-doktor-faust.xml,Schlaf' ich denn?,0,17,character_speech,1,2,,BRENNER.,#brenner,6.0,MALE,no_annotation,S,,1797.0,no_annotation,no_annotation
17,17,GerDracor/soden-doktor-faust.xml,Du schläfst!,0,12,character_speech,1,2,,MEPHISTOPHELES.,#mephistopheles,7.0,MALE,no_annotation,S,,1797.0,no_annotation,no_annotation
18,18,GerDracor/soden-doktor-faust.xml,"Bedenke, was du versprachst – unter welcher Bedingung unser Meister
              deine Zeit fristete!",13,115,character_speech,1,2,,MEPHISTOPHELES.,#mephistopheles,7.0,MALE,suffering,S,,1797.0,negative,emotions of suffering and empathy
19,19,GerDracor/soden-doktor-faust.xml,"Diese Spanne, die du mir so kärglich zumissest!",0,47,character_speech,1,2,,BRENNER.,#brenner,8.0,MALE,suffering,S,,1797.0,negative,emotions of suffering and empathy
20,20,GerDracor/soden-doktor-faust.xml,Eine Spanne?,0,12,character_speech,1,2,,MEPHISTOPHELES.,#mephistopheles,9.0,MALE,no_annotation,S,,1797.0,no_annotation,no_annotation
21,21,GerDracor/soden-doktor-faust.xml,Wieviel Tugenden hast du seitdem ermordet?,13,55,character_speech,1,2,,MEPHISTOPHELES.,#mephistopheles,9.0,MALE,no_annotation,S,,1797.0,no_annotation,no_annotation
22,22,GerDracor/soden-doktor-faust.xml,"Wieviel ehrliche Namen
              vernichtet?",56,104,character_speech,1,2,,MEPHISTOPHELES.,#mephistopheles,9.0,MALE,no_annotation,S,,1797.0,no_annotation,no_annotation
23,23,GerDracor/soden-doktor-faust.xml,Wieviel ...,105,116,character_speech,1,2,,MEPHISTOPHELES.,#mephistopheles,9.0,MALE,being moved,S,,1797.0,being moved,being moved
24,24,GerDracor/soden-doktor-faust.xml,Gewinn für euch.,0,16,character_speech,1,2,,BRENNER.,#brenner,10.0,MALE,joy,S,,1797.0,positive,emotions of pleasure
25,25,GerDracor/soden-doktor-faust.xml,–,17,18,character_speech,1,2,,BRENNER.,#brenner,10.0,MALE,no_annotation,S,,1797.0,no_annotation,no_annotation
26,26,GerDracor/soden-doktor-faust.xml,Du gehörst uns längst.,0,22,character_speech,1,2,,MEPHISTOPHELES.,#mephistopheles,11.0,MALE,no_annotation,S,,1797.0,no_annotation,no_annotation
27,27,GerDracor/soden-doktor-faust.xml,Wirke bei uns!,23,37,character_speech,1,2,,MEPHISTOPHELES.,#mephistopheles,11.0,MALE,no_annotation,S,,1797.0,no_annotation,no_annotation
28,28,GerDracor/soden-doktor-faust.xml,Laßt mir Zeit!,0,14,character_speech,1,2,,BRENNER.,#brenner,12.0,MALE,no_annotation,S,,1797.0,no_annotation,no_annotation
29,29,GerDracor/soden-doktor-faust.xml,Brenner!,0,8,character_speech,1,2,,MEPHISTOPHELES.,#mephistopheles,13.0,MALE,anger,S,,1797.0,negative,emotions of rejection
30,30,GerDracor/soden-doktor-faust.xml,Böses zu tun bedarf's deren wenig.,9,43,character_speech,1,2,,MEPHISTOPHELES.,#mephistopheles,13.0,MALE,no_annotation,S,,1797.0,no_annotation,no_annotation
31,31,GerDracor/soden-doktor-faust.xml,– Wieweit bist du mit Faust?,44,72,character_speech,1,2,,MEPHISTOPHELES.,#mephistopheles,13.0,MALE,no_annotation,S,,1797.0,no_annotation,no_annotation
32,32,GerDracor/soden-doktor-faust.xml,Nahe am Ziele.,0,14,character_speech,1,2,,BRENNER.,#brenner,14.0,MALE,no_annotation,S,,1797.0,no_annotation,no_annotation
33,33,GerDracor/soden-doktor-faust.xml,Laß hören!,0,10,character_speech,1,2,,MEPHISTOPHELES.,#mephistopheles,15.0,MALE,no_annotation,S,,1797.0,no_annotation,no_annotation
34,34,GerDracor/soden-doktor-faust.xml,Sein Geld ist alle.,0,19,character_speech,1,2,,BRENNER.,#brenner,16.0,MALE,anger,S,,1797.0,negative,emotions of rejection
35,35,GerDracor/soden-doktor-faust.xml,Gut.,0,4,character_speech,1,2,,MEPHISTOPHELES.,#mephistopheles,17.0,MALE,no_annotation,S,,1797.0,no_annotation,no_annotation
36,36,GerDracor/soden-doktor-faust.xml,Seine Bücher ekeln ihn an.,0,26,character_speech,1,2,,BRENNER.,#brenner,18.0,MALE,abhorrence,S,,1797.0,negative,emotions of rejection
37,37,GerDracor/soden-doktor-faust.xml,Gut und nicht gut.,0,18,character_speech,1,2,,MEPHISTOPHELES.,#mephistopheles,19.0,MALE,no_annotation,S,,1797.0,no_annotation,no_annotation
38,38,GerDracor/soden-doktor-faust.xml,Wir rechneten ja auf seinen Durst nach Kenntnis.,19,67,character_speech,1,2,,MEPHISTOPHELES.,#mephistopheles,19.0,MALE,no_annotation,S,,1797.0,no_annotation,no_annotation
39,39,GerDracor/soden-doktor-faust.xml,"Den wecken wir, wenn's mein Plan fordert.",0,41,character_speech,1,2,,BRENNER.,#brenner,20.0,MALE,no_annotation,S,,1797.0,no_annotation,no_annotation
40,40,GerDracor/soden-doktor-faust.xml,Jetzt drückt ihn die Zeit blutig.,42,75,character_speech,1,2,,BRENNER.,#brenner,20.0,MALE,anger,S,,1797.0,negative,emotions of rejection
41,41,GerDracor/soden-doktor-faust.xml,"Er treibt
              sich umher im höfischen Müßiggange.",76,135,character_speech,1,2,,BRENNER.,#brenner,20.0,MALE,no_annotation,S,,1797.0,no_annotation,no_annotation
42,42,GerDracor/soden-doktor-faust.xml,O gut!,0,6,character_speech,1,2,,MEPHISTOPHELES.,#mephistopheles,21.0,MALE,no_annotation,S,,1797.0,no_annotation,no_annotation
43,43,GerDracor/soden-doktor-faust.xml,"Bald stürzt er sich in die wildesten Zirkel und ertränkt seine Unruhe in Fluten von
              Wein und ausgelassener Lustigkeit.",0,132,character_speech,1,2,,BRENNER.,#brenner,22.0,MALE,joy,S,,1797.0,positive,emotions of pleasure
44,44,GerDracor/soden-doktor-faust.xml,Verhüte das!,0,12,character_speech,1,2,,MEPHISTOPHELES.,#mephistopheles,23.0,MALE,no_annotation,S,,1797.0,no_annotation,no_annotation
45,45,GerDracor/soden-doktor-faust.xml,Bald vergräbt er seine finstere Melancholie in düstre Einsamkeit.,0,65,character_speech,1,2,,BRENNER.,#brenner,24.0,MALE,suffering,S,,1797.0,negative,emotions of suffering and empathy
46,46,GerDracor/soden-doktor-faust.xml,Sehr gut!,0,9,character_speech,1,2,,MEPHISTOPHELES.,#mephistopheles,25.0,MALE,no_annotation,S,,1797.0,no_annotation,no_annotation
47,47,GerDracor/soden-doktor-faust.xml,"Zwar hat er hin und wieder Rückfälle von Scham, von Reue –",0,58,character_speech,1,2,,BRENNER.,#brenner,26.0,MALE,no_annotation,S,,1797.0,no_annotation,no_annotation
48,48,GerDracor/soden-doktor-faust.xml,Vortrefflich!,0,13,character_speech,1,2,,MEPHISTOPHELES.,#mephistopheles,27.0,MALE,anger,S,,1797.0,negative,emotions of rejection
49,49,GerDracor/soden-doktor-faust.xml,Was sagst du?,0,13,character_speech,1,2,,BRENNER.,#brenner,28.0,MALE,being moved,S,,1797.0,being moved,being moved
50,50,GerDracor/soden-doktor-faust.xml,"Das sind die Momente, die wir fassen müssen.",0,44,character_speech,1,2,,MEPHISTOPHELES.,#mephistopheles,29.0,MALE,no_annotation,S,,1797.0,no_annotation,no_annotation
51,51,GerDracor/soden-doktor-faust.xml,"Gefesselte Reue, hoffnungslose Scham
              sind die Ammenbrüste der Verzweiflung.",45,134,character_speech,1,2,,MEPHISTOPHELES.,#mephistopheles,29.0,MALE,despair,S,,1797.0,negative,emotions of anxiety
52,52,GerDracor/soden-doktor-faust.xml,Sorge nur ...,135,148,character_speech,1,2,,MEPHISTOPHELES.,#mephistopheles,29.0,MALE,compassion,S,,1797.0,negative,emotions of suffering and empathy
53,53,GerDracor/soden-doktor-faust.xml,Sei ruhig!,0,10,character_speech,1,2,,BRENNER.,#brenner,30.0,MALE,no_annotation,S,,1797.0,no_annotation,no_annotation
54,54,GerDracor/soden-doktor-faust.xml,"Noch ist so manche Stelle seiner Seele ohne Wunde; aber meine Dolche
              suchen sie rastlos auf.",11,117,character_speech,1,2,,BRENNER.,#brenner,30.0,MALE,no_annotation,S,,1797.0,no_annotation,no_annotation
55,55,GerDracor/soden-doktor-faust.xml,Tausend Netze sind gespannt.,118,146,character_speech,1,2,,BRENNER.,#brenner,30.0,MALE,no_annotation,S,,1797.0,no_annotation,no_annotation
56,56,GerDracor/soden-doktor-faust.xml,"Ein Dummer fiele drein,
              geschweige der gelehrte Doktor.",147,216,character_speech,1,2,,BRENNER.,#brenner,30.0,MALE,no_annotation,S,,1797.0,no_annotation,no_annotation
57,57,GerDracor/soden-doktor-faust.xml,"– Ich brüte über einem Plane: Ich habe seinem Vater
              wissen lassen; seine Gläubiger sind aufgeschreckt.",217,333,character_speech,1,2,,BRENNER.,#brenner,30.0,MALE,no_annotation,S,,1797.0,no_annotation,no_annotation
58,58,GerDracor/soden-doktor-faust.xml,"– Ich höre unsre
              Kameraden.",334,375,character_speech,1,2,,BRENNER.,#brenner,30.0,MALE,no_annotation,S,,1797.0,no_annotation,no_annotation
59,59,GerDracor/soden-doktor-faust.xml,"– Sorge nicht und sei bei der Hand, wenn ich dein bedarf!",376,433,character_speech,1,2,,BRENNER.,#brenner,30.0,MALE,no_annotation,S,,1797.0,no_annotation,no_annotation
60,60,GerDracor/soden-doktor-faust.xml,Fehlt' ich dir je?,0,18,character_speech,1,2,,MEPHISTOPHELES.,#mephistopheles,31.0,MALE,suffering,S,,1797.0,negative,emotions of suffering and empathy
61,61,GerDracor/soden-doktor-faust.xml,Verschwindet.,0,13,stage_direction,1,2,inner_speech,,#mephistopheles,31.0,MALE,no_annotation,S,,1797.0,no_annotation,no_annotation
62,62,GerDracor/soden-doktor-faust.xml,O wahr!,0,7,character_speech,1,2,,BRENNER.,#brenner,32.0,MALE,no_annotation,S,,1797.0,no_annotation,no_annotation
63,63,GerDracor/soden-doktor-faust.xml,"Luftiger Bösewicht, nur zu wahr!",8,40,character_speech,1,2,,BRENNER.,#brenner,32.0,MALE,abhorrence,S,,1797.0,negative,emotions of rejection
64,64,GerDracor/soden-doktor-faust.xml,"Drei Studenten, Brenner.",0,24,stage_direction,1,3,pre_speech,,,,,no_annotation,S,,1797.0,no_annotation,no_annotation
65,65,GerDracor/soden-doktor-faust.xml,"Servus, Brenner!",0,16,character_speech,1,3,,ERSTER STUDENT.,#erster_student,33.0,MALE,no_annotation,S,,1797.0,no_annotation,no_annotation
66,66,GerDracor/soden-doktor-faust.xml,Servus!,0,7,character_speech,1,3,,ZWEITER U. DRITTER.,#zweiter_student #dritter_student,34.0,UNKNOWN,no_annotation,S,,1797.0,no_annotation,no_annotation
67,67,GerDracor/soden-doktor-faust.xml,Servus!,8,15,character_speech,1,3,,ZWEITER U. DRITTER.,#zweiter_student #dritter_student,34.0,UNKNOWN,no_annotation,S,,1797.0,no_annotation,no_annotation
68,68,GerDracor/soden-doktor-faust.xml,Servus!,0,7,character_speech,1,3,,BRENNER.,#brenner,35.0,MALE,no_annotation,S,,1797.0,no_annotation,no_annotation
69,69,GerDracor/soden-doktor-faust.xml,Wo ist der Doktor?,0,18,character_speech,1,3,,ERSTER STUDENT.,#erster_student,36.0,MALE,no_annotation,S,,1797.0,no_annotation,no_annotation
70,70,GerDracor/soden-doktor-faust.xml,Der Teufel mag's wissen!,0,24,character_speech,1,3,,BRENNER.,#brenner,37.0,MALE,anger,S,,1797.0,negative,emotions of rejection
71,71,GerDracor/soden-doktor-faust.xml,–,25,26,character_speech,1,3,,BRENNER.,#brenner,37.0,MALE,no_annotation,S,,1797.0,no_annotation,no_annotation
72,72,GerDracor/soden-doktor-faust.xml,"Nun, wenn's Brenner nicht weiß, mag der's wohl auch ignorieren.",0,63,character_speech,1,3,,ZWEITER STUDENT.,#zweiter_student,38.0,MALE,no_annotation,S,,1797.0,no_annotation,no_annotation
