,Unnamed: 0,Gemeinte_Source:_Experiencer,Gemeinte_Source:_Zuschreibende_Instanz,Gemeintes_Target:_Charakter,Gemeintes_Target:_Nicht-Charakter,Polarität,annotator,base_polarity,end,id,length_in_tokens,main_emotion_class,polarity,start,tag_type,text,tokens
0,409,,,,,,VH,positiv,167266.0,CATMA_85135119-418C-4EB0-A47B-A81023CA1DA6,35,Emotionen der Zuneigung,positiv,167096.0,Liebe,"Ist das wahr, mein Fräulein? – Ich danke Ihnen, Minna, daß Sie den Stab noch nicht
              gebrochen. – Sie wollen nur den unglücklichen Tellheim? Er ist zu haben.
","['Ist', 'das', 'wahr', ',', 'mein', 'Fräulein', '?', '–', 'Ich', 'danke', 'Ihnen', ',', 'Minna', ',', 'daß', 'Sie', 'den', 'Stab', 'noch', 'nicht', 'gebrochen', '.', '–', 'Sie', 'wollen', 'nur', 'den', 'unglücklichen', 'Tellheim', '?', 'Er', 'ist', 'zu', 'haben', '.']"
1,410,von_tellheim (Major von Tellheim),,,,,VH,positiv,167770.0,CATMA_FD2F4099-1849-4D83-B743-21558521B114_0,1,Emotionen der Zuneigung,positiv,167767.0,Liebe,Sie,['Sie']
2,411,von_tellheim (Major von Tellheim),,,,,VH,positiv,167779.0,CATMA_FD2F4099-1849-4D83-B743-21558521B114_1,1,Emotionen der Zuneigung,positiv,167771.0,Liebe,besitzen,['besitzen']
3,413,,,,,,VH,positiv,169561.0,CATMA_DB859062-51EF-4AFA-A0EE-27BD6D971862,60,Emotionen der Zuneigung,positiv,169198.0,Liebe,"Eher soll Ihr Schatten Sie verlassen! Kommen Sie nur, mein Fräulein; wohin Sie
              wollen; zu wem Sie wollen. Überall, an Bekannte und Unbekannte, will ich es erzählen,
                 in Ihrer Gegenwart des Tages hundertmal erzählen, welche Bande Sie an
              mich verknüpfen, aus welchem grausamen Eigensinne Sie diese Bande trennen wollen –
","['Eher', 'soll', 'Ihr', 'Schatten', 'Sie', 'verlassen', '!', 'Kommen', 'Sie', 'nur', ',', 'mein', 'Fräulein', ';', 'wohin', 'Sie', 'wollen', ';', 'zu', 'wem', 'Sie', 'wollen', '.', 'Überall', ',', 'an', 'Bekannte', 'und', 'Unbekannte', ',', 'will', 'ich', 'es', 'erzählen', ',', 'in', 'Ihrer', 'Gegenwart', 'des', 'Tages', 'hundertmal', 'erzählen', ',', 'welche', 'Bande', 'Sie', 'an', 'mich', 'verknüpfen', ',', 'aus', 'welchem', 'grausamen', 'Eigensinne', 'Sie', 'diese', 'Bande', 'trennen', 'wollen', '–']"
4,414,just (Just),,,,,VH,Emotionale Bewegtheit,169641.0,CATMA_C173B31A-D3B0-48BF-BF6F-399FC6EF2DA3_0,6,Emotionale Bewegtheit,Emotionale Bewegtheit,169618.0,Emotionale Bewegtheit,Herr Major! Herr Major!,"['Herr', 'Major', '!', 'Herr', 'Major', '!']"
5,415,just (Just),,,,,VH,Emotionale Bewegtheit,169707.0,CATMA_C173B31A-D3B0-48BF-BF6F-399FC6EF2DA3_1,7,Emotionale Bewegtheit,Emotionale Bewegtheit,169669.0,Emotionale Bewegtheit,"Kommen Sie doch geschwind, geschwind!
","['Kommen', 'Sie', 'doch', 'geschwind', ',', 'geschwind', '!']"
6,416,das_fraeulein (Minna von Barnhelm),das_fraeulein (Minna von Barnhelm),von_tellheim (Major von Tellheim),,,VH,positiv,169889.0,CATMA_44FD44EB-3FE2-4CFC-A76B-AE9CEE926394,6,Emotionen der Freude,positiv,169863.0,Schadenfreude,"Merkst du was, Franziska?
","['Merkst', 'du', 'was', ',', 'Franziska', '?']"
7,422,das_fraeulein (Minna von Barnhelm),,,,,VH,positiv,170558.0,CATMA_D2937199-98A6-4114-80AA-DECEBA360170,14,Emotionen der Freude,positiv,170498.0,Freude,"Und warum nicht, Tellheim? – Warum kann es nicht wahr sein?
","['Und', 'warum', 'nicht', ',', 'Tellheim', '?', '–', 'Warum', 'kann', 'es', 'nicht', 'wahr', 'sein', '?']"
8,424,das_fraeulein (Minna von Barnhelm),das_fraeulein (Minna von Barnhelm),,Ereignis,,VH,negativ,170782.0,CATMA_50C7F233-6211-4346-8D4D-10FA7D5B1088,7,Emotionen der Angst,negativ,170752.0,Angst,"Wer? wer ist diese Ungetreue?
","['Wer', '?', 'wer', 'ist', 'diese', 'Ungetreue', '?']"
9,425,,,,,,VH,negativ,170834.0,CATMA_E1C05F1E-D167-4521-9DD3-F43C39C945AB,9,Emotionen der Ablehnung,negativ,170797.0,Ärger,"Sie, die ich nicht mehr nennen will!
","['Sie', ',', 'die', 'ich', 'nicht', 'mehr', 'nennen', 'will', '!']"
