,Unnamed: 0,Gemeinte_Source:_Experiencer,Gemeinte_Source:_Zuschreibende_Instanz,Gemeintes_Target:_Charakter,Gemeintes_Target:_Nicht-Charakter,Polarität,Sprachebene,annotator,base_polarity,end,id,length_in_tokens,main_emotion_class,polarity,start,tag_type,text,tokens
0,751,,,,,,,VH,negativ,8825.0,CATMA_CE4AF95B-D937-451A-A1F8-9E4A643AD8F8,103,Emotionen des Leids,negativ,8323.0,Leid,"Die Ihr auff der kummerreichen Welt
Verschrenckt mit Weh' vnd Ach vnd dürren Todtenbeinen.
Mich sucht wo alles bricht vnd felt /
Wo sich Eu'r ichts / in nichts verkehrt / vnd eure Lust in herbes Weinen!
Ihr Blinden! Ach! wo denckt jhr mich zu finden!
Die jhr vor mich was brechen muß vnd schwinden /
Die jhr vor Warheit nichts als falsche Träum' erwischt!
Vnd bey den Pfützen euch an stat der Quel erfrischt!
Ein Irrlicht ists was Euch O sterbliche! verführet
Ein thöricht Rasen das den Sinn berühret.
","['Die', 'Ihr', 'auff', 'der', 'kummerreichen', 'Welt', 'Verschrenckt', 'mit', 'Weh', ""'"", 'vnd', 'Ach', 'vnd', 'dürren', 'Todtenbeinen', '.', 'Mich', 'sucht', 'wo', 'alles', 'bricht', 'vnd', 'felt', '/', 'Wo', 'sich', 'Eu', ""'"", 'r', 'ichts', '/', 'in', 'nichts', 'verkehrt', '/', 'vnd', 'eure', 'Lust', 'in', 'herbes', 'Weinen', '!', 'Ihr', 'Blinden', '!', 'Ach', '!', 'wo', 'denckt', 'jhr', 'mich', 'zu', 'finden', '!', 'Die', 'jhr', 'vor', 'mich', 'was', 'brechen', 'muß', 'vnd', 'schwinden', '/', 'Die', 'jhr', 'vor', 'Warheit', 'nichts', 'als', 'falsche', 'Träum', ""'"", 'erwischt', '!', 'Vnd', 'bey', 'den', 'Pfützen', 'euch', 'an', 'stat', 'der', 'Quel', 'erfrischt', '!', 'Ein', 'Irrlicht', 'ists', 'was', 'Euch', 'O', 'sterbliche', '!', 'verführet', 'Ein', 'thöricht', 'Rasen', 'das', 'den', 'Sinn', 'berühret', '.']"
1,754,unpersönlich,,,,,,VH,positiv,11936.0,CATMA_373DE92F-9AA0-437B-911E-AD97EEF04E47,13,Emotionen der Freude,positiv,11870.0,Freude,Schaut deß Himmels Wollust an! hir ist nichts denn Trost vnd Wonne,"['Schaut', 'deß', 'Himmels', 'Wollust', 'an', '!', 'hir', 'ist', 'nichts', 'denn', 'Trost', 'vnd', 'Wonne']"
2,755,unpersönlich,,,,,,VH,negativ,12008.0,CATMA_68A02F9F-445B-4F07-B939-D3E48E7977C0_0,14,Emotionen des Leids,negativ,11937.0,Leid,"Schaut den Kercker deß Verterbens / hir ist nichts denn Ach vnd Klage!
","['Schaut', 'den', 'Kercker', 'deß', 'Verterbens', '/', 'hir', 'ist', 'nichts', 'denn', 'Ach', 'vnd', 'Klage', '!']"
3,756,unpersönlich,,,,,,VH,negativ,12156.0,CATMA_68A02F9F-445B-4F07-B939-D3E48E7977C0_1,14,Emotionen des Leids,negativ,12080.0,Leid,"Schaut den Pful der schwartzen Geister; hir ist nichts denn Nacht vnd Plage
","['Schaut', 'den', 'Pful', 'der', 'schwartzen', 'Geister', ';', 'hir', 'ist', 'nichts', 'denn', 'Nacht', 'vnd', 'Plage']"
4,757,unpersönlich,,,,,,VH,positiv,12080.0,CATMA_EED6D434-6618-4672-97A2-5699A015658F,13,Emotionen der Freude,positiv,12008.0,Freude,"Schaut das Erbschloß höchster Lust; hir ist nichts denn Freud vnd Sonne
","['Schaut', 'das', 'Erbschloß', 'höchster', 'Lust', ';', 'hir', 'ist', 'nichts', 'denn', 'Freud', 'vnd', 'Sonne']"
5,759,,,,,,,VH,negativ,13130.0,CATMA_AA7013E3-3AEC-4519-9268-E47731ED0D86,40,Emotionen des Leids,negativ,12922.0,Leid,"so bluttig unterging
Verfinstert dieser Stein. Die vber vns regiret
Ward für vns in die Band' als eine Magd geführet?
Mit Ihr zog vnser Ruhm vnd Freyheit vnd Gewin
Vnd vngepochte Macht in frembdes Elend hin.
","['so', 'bluttig', 'unterging', 'Verfinstert', 'dieser', 'Stein', '.', 'Die', 'vber', 'vns', 'regiret', 'Ward', 'für', 'vns', 'in', 'die', 'Band', ""'"", 'als', 'eine', 'Magd', 'geführet', '?', 'Mit', 'Ihr', 'zog', 'vnser', 'Ruhm', 'vnd', 'Freyheit', 'vnd', 'Gewin', 'Vnd', 'vngepochte', 'Macht', 'in', 'frembdes', 'Elend', 'hin', '.']"
6,764,,,,,,,VH,positiv,14684.0,CATMA_12093F61-F773-4E32-92FD-4274EE1FE100,42,Emotionen der Freude,positiv,14475.0,Freude,"Ich zweifle nunmehr nicht. Gott gibt vns in die Hand
Die Schlüssel dieser Kett' / Er reist das feste Band
Mit starcker Faust entzwey / Er öffnet vns die Thüren
Vnd zeigt vns Mittel an / die Perle wegzuführen.
","['Ich', 'zweifle', 'nunmehr', 'nicht', '.', 'Gott', 'gibt', 'vns', 'in', 'die', 'Hand', 'Die', 'Schlüssel', 'dieser', 'Kett', ""'"", '/', 'Er', 'reist', 'das', 'feste', 'Band', 'Mit', 'starcker', 'Faust', 'entzwey', '/', 'Er', 'öffnet', 'vns', 'die', 'Thüren', 'Vnd', 'zeigt', 'vns', 'Mittel', 'an', '/', 'die', 'Perle', 'wegzuführen', '.']"
7,765,,,,,,,VH,positiv,14994.0,CATMA_09722555-BD3A-4822-9568-DF3650B8125D,20,Emotionen der Zuneigung,positiv,14892.0,Verehrung,"Ihr schaut wie trefflich Ihn der grosse Hoff geehrt /
Mit was vor Anmuth Ihn der Persen Haubt gehört!
","['Ihr', 'schaut', 'wie', 'trefflich', 'Ihn', 'der', 'grosse', 'Hoff', 'geehrt', '/', 'Mit', 'was', 'vor', 'Anmuth', 'Ihn', 'der', 'Persen', 'Haubt', 'gehört', '!']"
8,769,,,,,,,VH,positiv,15571.0,CATMA_D4DA721B-5AC4-47EC-A0E9-057FEC0ABA80,11,Emotionen der Freude,positiv,15517.0,Freude,"Vielmehr daß Sie jhr Glück auch in dem Kercker finde.
","['Vielmehr', 'daß', 'Sie', 'jhr', 'Glück', 'auch', 'in', 'dem', 'Kercker', 'finde', '.']"
9,771,,,,,,,VH,positiv,15763.0,CATMA_9222CB14-5438-4427-80C7-185A4C766589,10,Emotionen der Zuneigung,positiv,15714.0,Liebe,"Wie lang' hat Tamaras Sie nun vmbsonst begehret?
","['Wie', 'lang', ""'"", 'hat', 'Tamaras', 'Sie', 'nun', 'vmbsonst', 'begehret', '?']"
