,id,connected_emotion_id,assignment,main_type,main_sub_type,type,value,amount_type,polarity,base_polarity,main_emotion_class,tag_type,text,length_in_tokens,start,end,annotator,gender
0,CATMA_DD3439C5-8FA8-4CF0-B678-B0ACA930275F,CATMA_A1A12D22-844F-419E-B562-AE938414E6FF,Explizites_Target:_Nicht-Charakter,target,Nicht-Charakter,explicit,Objekt,single,positiv,positiv,Emotionen der Freude,Freude,ein harmonisch hoher Geist,4,1279,1305,CE,Nicht-Charakter
1,CATMA_28A81BA0-364B-43B7-94F3-1B4513F0E07F,CATMA_A1A12D22-844F-419E-B562-AE938414E6FF,Explizite_Source:_Experiencer,source,Experiencer,explicit,unpersönlich,single,positiv,positiv,Emotionen der Freude,Freude,"uns
",1,1314,1318,CE,unpersönlich
2,CATMA_A1A12D22-844F-419E-B562-AE938414E6FF,,Gemeinte_Source:_Zuschreibende_Instanz,source,Zuschreibende Instanz,implicit,impliziter Autor,single,positiv,positiv,Emotionen der Freude,Freude,"Und ein harmonisch hoher Geist spricht uns
Aus dieser edeln Säulenordnung an,
Und regt den Sinn zu festlichen Gefühlen.
",21,1275,1395,CE,impliziter Autor
3,CATMA_6D26AEE9-FE73-4792-88D7-049589E3FBF9,CATMA_0ECE7CBC-2DA7-4C75-8D3C-B8D5C80F17DC,Explizites_Target:_Charakter,target,Charakter,explicit,unbekannt,single,positiv,positiv,Emotionen der Zuneigung,Verehrung,Ein edler Meister,3,1603,1620,CE,UNKNOWN
4,CATMA_D3F83278-96B5-46B1-8D30-7D58483E8E66,CATMA_0ECE7CBC-2DA7-4C75-8D3C-B8D5C80F17DC,Explizite_Source:_Experiencer,source,Experiencer,explicit,unpersönlich,single,positiv,positiv,Emotionen der Zuneigung,Verehrung,Euch ,1,1645,1650,CE,unpersönlich
5,CATMA_0ECE7CBC-2DA7-4C75-8D3C-B8D5C80F17DC,,Gemeinte_Source:_Zuschreibende_Instanz,source,Zuschreibende Instanz,implicit,impliziter Autor,single,positiv,positiv,Emotionen der Zuneigung,Verehrung,"Ein edler Meister stand auf diesem Platz,
Euch in die heitern Höhen seiner Kunst
Durch seinen Schöpfergenius entzückend.
",20,1603,1724,CE,impliziter Autor
6,CATMA_97F9B741-88EF-4CEB-840A-F89FDB0D6BAF_0,CATMA_4D431180-F56E-45E7-89A0-9C9A5AB4DEDE,Explizite_Source:_Experiencer,source,Experiencer,explicit,unpersönlich,single,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,einem auserlesnen Kreis,3,2119,2142,CE,unpersönlich
7,CATMA_66E55EB2-EABB-4FF5-AAD8-86B824D6792F,CATMA_4D431180-F56E-45E7-89A0-9C9A5AB4DEDE,Explizites_Target:_Nicht-Charakter,target,Nicht-Charakter,explicit,Ereignis,single,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,jedem Zauberschlag der Kunst,4,2156,2184,CE,Nicht-Charakter
8,CATMA_4D431180-F56E-45E7-89A0-9C9A5AB4DEDE,,Gemeinte_Source:_Zuschreibende_Instanz,source,Zuschreibende Instanz,implicit,impliziter Autor,single,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,"Als hier vor einem auserlesnen Kreis,
Der rührbar jedem Zauberschlag der Kunst,
Mit leisbeweglichem Gefühl den Geist
In seiner flüchtigsten Erscheinung hascht?
",25,2106,2266,CE,impliziter Autor
9,CATMA_D5E006B7-5D19-4CBE-8D54-43BCAB540EA6,CATMA_636306E8-2412-410B-B5F1-E990862721E4,Explizite_Source:_Experiencer,source,Experiencer,explicit,unpersönlich,single,negativ,negativ,Emotionen der Ablehnung,Abscheu,der Parteien,2,5162,5174,CE,unpersönlich
