,Unnamed: 0,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,genre,subgenre,date,pre1_base_polarity,pre1_main_emotion_class
0,0,GerDracor/goethe-iphigenie-auf-tauris.xml,"
              Heraus in eure Schatten, rege Wipfel
              Des alten, heil'gen, dichtbelaubten Haines,
              Wie in der Göttin stilles Heiligtum
              Tret' ich noch jetzt mit schauderndem Gefühl,
              Als wenn ich sie zum erstenmal beträte,
              Und es gewöhnt sich nicht mein Geist hierher.",0,333,character_speech,1,1,,IPHIGENIE.,#iphigenie,1.0,FEMALE,fear,T,,1800.0,negative,emotions of anxiety
1,1,GerDracor/goethe-iphigenie-auf-tauris.xml,"So manches Jahr bewahrt mich hier verborgen
              Ein hoher Wille, dem ich mich ergebe;
              Doch immer bin ich, wie im ersten, fremd.",348,499,character_speech,1,1,,IPHIGENIE.,#iphigenie,1.0,FEMALE,no_annotation,T,,1800.0,no_annotation,no_annotation
2,2,GerDracor/goethe-iphigenie-auf-tauris.xml,Denn ach!,514,523,character_speech,1,1,,IPHIGENIE.,#iphigenie,1.0,FEMALE,suffering,T,,1800.0,negative,emotions of suffering and empathy
3,3,GerDracor/goethe-iphigenie-auf-tauris.xml,"mich trennt das Meer von den Geliebten,
              Und an dem Ufer steh' ich lange Tage,
              Das Land der Griechen mit der Seele suchend;
              Und gegen meine Seufzer bringt die Welle
              Nur dumpfe Töne brausend mir herüber.",524,781,character_speech,1,1,,IPHIGENIE.,#iphigenie,1.0,FEMALE,suffering,T,,1800.0,negative,emotions of suffering and empathy
4,4,GerDracor/goethe-iphigenie-auf-tauris.xml,"Weh dem, der fern von Eltern und Geschwistern
              Ein einsam Leben führt!",796,879,character_speech,1,1,,IPHIGENIE.,#iphigenie,1.0,FEMALE,suffering,T,,1800.0,negative,emotions of suffering and empathy
5,5,GerDracor/goethe-iphigenie-auf-tauris.xml,"Ihm zehrt der Gram
              Das nächste Glück vor seinen Lippen weg,
              Ihm schwärmen abwärts immer die Gedanken
              Nach seines Vaters Hallen, wo die Sonne
               Zuerst den Himmel vor ihm aufschloß, wo
              Sich Mitgeborne spielend fest und fester
              Mit sanften Banden aneinander knüpften.",880,1226,character_speech,1,1,,IPHIGENIE.,#iphigenie,1.0,FEMALE,joy,T,,1800.0,positive,emotions of pleasure
6,6,GerDracor/goethe-iphigenie-auf-tauris.xml,"Ich rechte mit den Göttern nicht, allein
              Der Frauen Zustand ist beklagenswert.",1241,1333,character_speech,1,1,,IPHIGENIE.,#iphigenie,1.0,FEMALE,suffering,T,,1800.0,negative,emotions of suffering and empathy
7,7,GerDracor/goethe-iphigenie-auf-tauris.xml,"Zu Haus und in dem Kriege herrscht der Mann,
              Und in der Fremde weiß er sich zu helfen.",1348,1448,character_speech,1,1,,IPHIGENIE.,#iphigenie,1.0,FEMALE,no_annotation,T,,1800.0,no_annotation,no_annotation
8,8,GerDracor/goethe-iphigenie-auf-tauris.xml,Ihn freuet der Besitz; ihn krönt der Sieg!,1463,1505,character_speech,1,1,,IPHIGENIE.,#iphigenie,1.0,FEMALE,joy,T,,1800.0,positive,emotions of pleasure
9,9,GerDracor/goethe-iphigenie-auf-tauris.xml,Ein ehrenvoller Tod ist ihm bereitet.,1520,1557,character_speech,1,1,,IPHIGENIE.,#iphigenie,1.0,FEMALE,"admiration, reverence",T,,1800.0,positive,emotions of affection
