,Unnamed: 0,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,genre,subgenre,date,pre1_base_polarity,pre1_main_emotion_class
0,0,GerDracor/tieck-karl-von-berneck.xml,Walther von Berneck.,0,20,stage_direction,1,1,pre_speech,,,,,no_annotation,T,,1797.0,no_annotation,no_annotation
1,1,GerDracor/tieck-karl-von-berneck.xml,Rudolph von Ebenburg.,21,42,stage_direction,1,1,pre_speech,,,,,no_annotation,T,,1797.0,no_annotation,no_annotation
2,2,GerDracor/tieck-karl-von-berneck.xml,"Heinrich von Orla, der für sich auf und
            ab geht, Wilhelm und andere Knappen.",43,131,stage_direction,1,1,pre_speech,,,,,no_annotation,T,,1797.0,no_annotation,no_annotation
3,3,GerDracor/tieck-karl-von-berneck.xml,–,132,133,stage_direction,1,1,pre_speech,,,,,no_annotation,T,,1797.0,no_annotation,no_annotation
4,4,GerDracor/tieck-karl-von-berneck.xml,"Ich eile, um so bald als möglich in Deutschland zu sein.",0,56,character_speech,1,1,,Rudolph.,#rudolph,1.0,MALE,no_annotation,T,,1797.0,no_annotation,no_annotation
5,5,GerDracor/tieck-karl-von-berneck.xml,"Alle meine Wünsche gehn mit Dir, guter Rudolph.",0,47,character_speech,1,1,,Walther.,#walther,2.0,MALE,love,T,,1797.0,positive,emotions of affection
6,6,GerDracor/tieck-karl-von-berneck.xml,"Verfüge Dich dann sogleich nach
              meinem Schlosse, und bringe meiner Gattin und meinen Kindern Nachricht von mir;
              erzähle ihr, wie ich tausendmal unter den Säbeln der Ungläubigen dem Tode ausgesetzt
              war, wie auf der Hinreise nach dem gelobten Lande mich Beschwer und Gefahr verfolgten,
              wie wir noch jetzt beim Landen einem Sturme nur so eben entronnen sind, und wie ich,
              wenige Wochen nach Dir, sie alle auf Berneck zu umarmen gedenke.",48,551,character_speech,1,1,,Walther.,#walther,2.0,MALE,no_annotation,T,,1797.0,no_annotation,no_annotation
7,7,GerDracor/tieck-karl-von-berneck.xml,"Und dann besuch' ich Euch auf Eurem Schlosse, und wir feiern dann bei einem
              fröhlichen Gelage das Andenken der Vergangenheit.",0,139,character_speech,1,1,,Rudolph.,#rudolph,3.0,MALE,joy,T,,1797.0,positive,emotions of pleasure
8,8,GerDracor/tieck-karl-von-berneck.xml,"Wenn Gott uns diese Freude vergönnt, ja!",0,40,character_speech,1,1,,Walther.,#walther,4.0,MALE,joy,T,,1797.0,positive,emotions of pleasure
9,9,GerDracor/tieck-karl-von-berneck.xml,"denn Rudolph, ich habe gefunden, daß man in
              dieser Welt auf nichts gewiß hoffen darf, wenn man nicht verzweifeln will; es ist mit
              dem Leben wie mit der Saat; alle Körner gehn nicht auf, und wenn nur kein Mißwachs
              daraus entsteht, müssen wir schon die Hände aufheben und Gott danken.",41,365,character_speech,1,1,,Walther.,#walther,4.0,MALE,suffering,T,,1797.0,negative,emotions of suffering and empathy
