,Unnamed: 0,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,genre,subgenre,date,pre1_base_polarity,pre1_main_emotion_class
0,0,GerDracor/weissenthurn-das-manuscript.xml,"Ein Zimmer mit einer Mittel- und zwey Seitenthüren, in Herrn Gehrmanns Hause.",0,77,stage_direction,1,0,pre_scene,,,,,no_annotation,,,1817.0,no_annotation,no_annotation
1,1,GerDracor/weissenthurn-das-manuscript.xml,"August, bald darauf Gehrmann.",0,29,stage_direction,1,1,pre_speech,,,,,no_annotation,,,1817.0,no_annotation,no_annotation
2,2,GerDracor/weissenthurn-das-manuscript.xml,"sitzt an einem Tisch und hat ein Manuscript, welches er ungeduldig aus der Hand
              legt, und aufsteht.",0,113,stage_direction,1,1,speech_part,,#august,1.0,MALE,no_annotation,,,1817.0,no_annotation,no_annotation
3,3,GerDracor/weissenthurn-das-manuscript.xml,"Worte, Worte, Worte!",0,20,character_speech,1,1,,AUGUST,#august,1.0,MALE,being moved,,,1817.0,being moved,being moved
4,4,GerDracor/weissenthurn-das-manuscript.xml,würde hier Hamlet ausrufen.,21,48,character_speech,1,1,,AUGUST,#august,1.0,MALE,no_annotation,,,1817.0,no_annotation,no_annotation
5,5,GerDracor/weissenthurn-das-manuscript.xml,"Nie wurden die Hände mehr zum
              Schreiben, nie die Augen mehr zum Lesen mißbraucht.",49,144,character_speech,1,1,,AUGUST,#august,1.0,MALE,no_annotation,,,1817.0,no_annotation,no_annotation
6,6,GerDracor/weissenthurn-das-manuscript.xml,Nur die Augen?,145,159,character_speech,1,1,,AUGUST,#august,1.0,MALE,no_annotation,,,1817.0,no_annotation,no_annotation
7,7,GerDracor/weissenthurn-das-manuscript.xml,auch die Zeit!,160,174,character_speech,1,1,,AUGUST,#august,1.0,MALE,no_annotation,,,1817.0,no_annotation,no_annotation
8,8,GerDracor/weissenthurn-das-manuscript.xml,"die
              nie wiederkehrende, köstliche Zeit!",175,228,character_speech,1,1,,AUGUST,#august,1.0,MALE,joy,,,1817.0,positive,emotions of pleasure
9,9,GerDracor/weissenthurn-das-manuscript.xml,Bleibt vor dem Manuscript stehen.,0,33,stage_direction,1,1,inner_speech,,#august,1.0,MALE,no_annotation,,,1817.0,no_annotation,no_annotation
10,10,GerDracor/weissenthurn-das-manuscript.xml,"
              Manche Aehre mag ihre Körner haben, aber der sie unter den leeren Halmen suchen muß
              –",0,114,character_speech,1,1,,AUGUST,#august,1.0,MALE,no_annotation,,,1817.0,no_annotation,no_annotation
11,11,GerDracor/weissenthurn-das-manuscript.xml,stürzt mit einem offenen Briefe in der Hand herein.,0,51,stage_direction,1,1,speech_part,,#gehrmann,2.0,MALE,no_annotation,,,1817.0,no_annotation,no_annotation
12,12,GerDracor/weissenthurn-das-manuscript.xml,Sie kommt!,0,10,character_speech,1,1,,GEHRMANN,#gehrmann,2.0,MALE,joy,,,1817.0,positive,emotions of pleasure
13,13,GerDracor/weissenthurn-das-manuscript.xml,Sie kommt!,11,21,character_speech,1,1,,GEHRMANN,#gehrmann,2.0,MALE,joy,,,1817.0,positive,emotions of pleasure
14,14,GerDracor/weissenthurn-das-manuscript.xml,Wer?,0,4,character_speech,1,1,,AUGUST.,#august,3.0,MALE,no_annotation,,,1817.0,no_annotation,no_annotation
15,15,GerDracor/weissenthurn-das-manuscript.xml,"Die Vernunft, die ich vergebens in diesen Blättern suche?",5,62,character_speech,1,1,,AUGUST.,#august,3.0,MALE,being moved,,,1817.0,being moved,being moved
16,16,GerDracor/weissenthurn-das-manuscript.xml,Deine Braut kommt.,0,18,character_speech,1,1,,GEHRMANN.,#gehrmann,4.0,MALE,no_annotation,,,1817.0,no_annotation,no_annotation
17,17,GerDracor/weissenthurn-das-manuscript.xml,erstaunt.,0,9,stage_direction,1,1,speech_part,,#august,5.0,MALE,being moved,,,1817.0,being moved,being moved
18,18,GerDracor/weissenthurn-das-manuscript.xml,Onkel!,0,6,character_speech,1,1,,AUGUST,#august,5.0,MALE,no_annotation,,,1817.0,no_annotation,no_annotation
19,19,GerDracor/weissenthurn-das-manuscript.xml,Ueberrascht?,0,12,character_speech,1,1,,GEHRMANN.,#gehrmann,6.0,MALE,being moved,,,1817.0,being moved,being moved
20,20,GerDracor/weissenthurn-das-manuscript.xml,"– aber angenehm, nicht wahr?",13,41,character_speech,1,1,,GEHRMANN.,#gehrmann,6.0,MALE,joy,,,1817.0,positive,emotions of pleasure
21,21,GerDracor/weissenthurn-das-manuscript.xml,"Da ich noch gar nicht das Vergnügen habe, sie zu kennen –",0,57,character_speech,1,1,,AUGUST.,#august,7.0,MALE,no_annotation,,,1817.0,no_annotation,no_annotation
22,22,GerDracor/weissenthurn-das-manuscript.xml,Kennst ja ihren Werth!,0,22,character_speech,1,1,,GEHRMANN.,#gehrmann,8.0,MALE,no_annotation,,,1817.0,no_annotation,no_annotation
23,23,GerDracor/weissenthurn-das-manuscript.xml,"300,000 Gulden –",23,39,character_speech,1,1,,GEHRMANN.,#gehrmann,8.0,MALE,no_annotation,,,1817.0,no_annotation,no_annotation
24,24,GerDracor/weissenthurn-das-manuscript.xml,schnell.,0,8,stage_direction,1,1,speech_part,,#august,9.0,MALE,no_annotation,,,1817.0,no_annotation,no_annotation
25,25,GerDracor/weissenthurn-das-manuscript.xml,Durch den Wucher ihres Vaters erworben.,0,39,character_speech,1,1,,AUGUST,#august,9.0,MALE,no_annotation,,,1817.0,no_annotation,no_annotation
26,26,GerDracor/weissenthurn-das-manuscript.xml,"Was kümmert dich, wie das Geld erworben ist?",0,44,character_speech,1,1,,GEHRMANN.,#gehrmann,10.0,MALE,no_annotation,,,1817.0,no_annotation,no_annotation
27,27,GerDracor/weissenthurn-das-manuscript.xml,"wie man es vernünftig umkehren kann,
                das sey deine Sorge.",45,118,character_speech,1,1,,GEHRMANN.,#gehrmann,10.0,MALE,no_annotation,,,1817.0,no_annotation,no_annotation
28,28,GerDracor/weissenthurn-das-manuscript.xml,Ihr Vater war –,0,15,character_speech,1,1,,AUGUST.,#august,11.0,MALE,no_annotation,,,1817.0,no_annotation,no_annotation
29,29,GerDracor/weissenthurn-das-manuscript.xml,Mein Freund!,0,12,character_speech,1,1,,GEHRMANN.,#gehrmann,12.0,MALE,friendship,,,1817.0,positive,emotions of affection
30,30,GerDracor/weissenthurn-das-manuscript.xml,"mein Handlungsgefährte, und ein Mann, der seinen Vortheil verstand.",13,80,character_speech,1,1,,GEHRMANN.,#gehrmann,12.0,MALE,"admiration, reverence",,,1817.0,positive,emotions of affection
31,31,GerDracor/weissenthurn-das-manuscript.xml,Ohne den Vortheil der Autoren zu berücksichtigen.,0,49,character_speech,1,1,,AUGUST.,#august,13.0,MALE,no_annotation,,,1817.0,no_annotation,no_annotation
32,32,GerDracor/weissenthurn-das-manuscript.xml,bleibt belehrend vor ihm stehen.,0,32,stage_direction,1,1,speech_part,,#gehrmann,14.0,MALE,anger,,,1817.0,negative,emotions of rejection
33,33,GerDracor/weissenthurn-das-manuscript.xml,"Höre, August, ich bemerke immer mehr, daß du von unserm Geschäft eine verkehrte
              Ansicht hast.",0,107,character_speech,1,1,,GEHRMANN,#gehrmann,14.0,MALE,anger,,,1817.0,negative,emotions of rejection
34,34,GerDracor/weissenthurn-das-manuscript.xml,"Mancher Autor würde nicht die Feder eintunken, wenn nicht manchmal die
              Suppenschüssel zu rauchen aufhörte.",108,228,character_speech,1,1,,GEHRMANN,#gehrmann,14.0,MALE,suffering,,,1817.0,negative,emotions of suffering and empathy
35,35,GerDracor/weissenthurn-das-manuscript.xml,Dessen Beruf ist der rechte nicht.,0,34,character_speech,1,1,,AUGUST.,#august,15.0,MALE,no_annotation,,,1817.0,no_annotation,no_annotation
36,36,GerDracor/weissenthurn-das-manuscript.xml,Nicht der rechte?,0,17,character_speech,1,1,,GEHRMANN.,#gehrmann,16.0,MALE,no_annotation,,,1817.0,no_annotation,no_annotation
37,37,GerDracor/weissenthurn-das-manuscript.xml,"– Ist der Magen nicht der Götze, um den sich alles herumdreht?",18,80,character_speech,1,1,,GEHRMANN.,#gehrmann,16.0,MALE,no_annotation,,,1817.0,no_annotation,no_annotation
38,38,GerDracor/weissenthurn-das-manuscript.xml,"Der Gläubiger muß befriedigt werden, alle andern können warten.",97,160,character_speech,1,1,,GEHRMANN.,#gehrmann,16.0,MALE,no_annotation,,,1817.0,no_annotation,no_annotation
39,39,GerDracor/weissenthurn-das-manuscript.xml,Aber müßte nicht das reine Geistes-Product ohne Rücksicht auf Vortheil entstehen?,0,81,character_speech,1,1,,AUGUST.,#august,17.0,MALE,no_annotation,,,1817.0,no_annotation,no_annotation
40,40,GerDracor/weissenthurn-das-manuscript.xml,Ohne Rücksicht auf Vortheil?,0,28,character_speech,1,1,,GEHRMANN.,#gehrmann,18.0,MALE,no_annotation,,,1817.0,no_annotation,no_annotation
41,41,GerDracor/weissenthurn-das-manuscript.xml,wie wenig geschähe dann auf der Welt!,29,66,character_speech,1,1,,GEHRMANN.,#gehrmann,18.0,MALE,suffering,,,1817.0,negative,emotions of suffering and empathy
42,42,GerDracor/weissenthurn-das-manuscript.xml,"Der reine Geist
              braucht den genährten Körper; ich brauche dich, du brauchst
                mich, das erhält die Leute in Athem; darum muß ein kluger Buchhändler
              keinem Schriftsteller mehr geben, als er von einem Werke zu dem andern nothdürftig
              braucht.",67,362,character_speech,1,1,,GEHRMANN.,#gehrmann,18.0,MALE,no_annotation,,,1817.0,no_annotation,no_annotation
43,43,GerDracor/weissenthurn-das-manuscript.xml,lacht.,0,6,stage_direction,1,1,speech_part,,#august,19.0,MALE,joy,,,1817.0,positive,emotions of pleasure
44,44,GerDracor/weissenthurn-das-manuscript.xml,Darum also –,0,12,character_speech,1,1,,AUGUST,#august,19.0,MALE,no_annotation,,,1817.0,no_annotation,no_annotation
45,45,GerDracor/weissenthurn-das-manuscript.xml,Entsteht jetzt dieses Heraussprudeln aller menschlichen Denkkraft.,0,66,character_speech,1,1,,GEHRMANN.,#gehrmann,20.0,MALE,being moved,,,1817.0,being moved,being moved
46,46,GerDracor/weissenthurn-das-manuscript.xml,"Mache die Herren
                reich, und der Verstandesstrom, der sich jetzt in tausend Bächlein von
              Almanachen, Journalen, Finanzwissenschaften, Oeconomie und Statistik ergießt, wird
              sich über Nacht wie der Rhein im Sande verlieren.",67,331,character_speech,1,1,,GEHRMANN.,#gehrmann,20.0,MALE,abhorrence,,,1817.0,negative,emotions of rejection
