,Unnamed: 0,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,genre,subgenre,date,pre1_base_polarity,pre1_main_emotion_class
0,0,GerDracor/weissenthurn-die-schwestern-st-janvier.xml,Ein großer Saal in St.,0,22,stage_direction,1,0,pre_scene,,,,,no_annotation,S,,1821.0,no_annotation,no_annotation
1,1,GerDracor/weissenthurn-die-schwestern-st-janvier.xml,"Marc, an den Wänden Gemählde, französische Generale
          vorstellend.",23,97,stage_direction,1,0,pre_scene,,,,,no_annotation,S,,1821.0,no_annotation,no_annotation
2,2,GerDracor/weissenthurn-die-schwestern-st-janvier.xml,Opku.,0,5,stage_direction,1,1,pre_speech,,,,,no_annotation,S,,1821.0,no_annotation,no_annotation
3,3,GerDracor/weissenthurn-die-schwestern-st-janvier.xml,Goffier.,6,14,stage_direction,1,1,pre_speech,,,,,no_annotation,S,,1821.0,no_annotation,no_annotation
4,4,GerDracor/weissenthurn-die-schwestern-st-janvier.xml,tritt ein.,0,10,stage_direction,1,1,speech_part,,#goffier,1.0,MALE,no_annotation,S,,1821.0,no_annotation,no_annotation
5,5,GerDracor/weissenthurn-die-schwestern-st-janvier.xml,Wie steht es heute?,0,19,character_speech,1,1,,GOFFIER,#goffier,1.0,MALE,no_annotation,S,,1821.0,no_annotation,no_annotation
6,6,GerDracor/weissenthurn-die-schwestern-st-janvier.xml,haben wir gut Wetter?,20,41,character_speech,1,1,,GOFFIER,#goffier,1.0,MALE,no_annotation,S,,1821.0,no_annotation,no_annotation
7,7,GerDracor/weissenthurn-die-schwestern-st-janvier.xml,"
              Zur Ueberfahrt in eine and're Welt,
              für diese taugt es nicht.",0,90,character_speech,1,1,,OPKU.,#opku,2.0,MALE,no_annotation,S,,1821.0,no_annotation,no_annotation
8,8,GerDracor/weissenthurn-die-schwestern-st-janvier.xml,"– Wild heult der Sturm,
              der Donner rollt – hem – hörst Du nichts?",91,170,character_speech,1,1,,OPKU.,#opku,2.0,MALE,no_annotation,S,,1821.0,no_annotation,no_annotation
9,9,GerDracor/weissenthurn-die-schwestern-st-janvier.xml,nach einer Pause.,0,17,stage_direction,1,1,speech_part,,#goffier,3.0,MALE,no_annotation,S,,1821.0,no_annotation,no_annotation
10,10,GerDracor/weissenthurn-die-schwestern-st-janvier.xml,Gewaltig tobt er d'rin –,0,24,character_speech,1,1,,GOFFIER,#goffier,3.0,MALE,no_annotation,S,,1821.0,no_annotation,no_annotation
11,11,GerDracor/weissenthurn-die-schwestern-st-janvier.xml,"
              Der gute Herr
              behält nichts auf dem Herzen, macht sich Luft.",0,89,character_speech,1,1,,OPKU.,#opku,4.0,MALE,being moved,S,,1821.0,being moved,being moved
12,12,GerDracor/weissenthurn-die-schwestern-st-janvier.xml,Ha – dürft ich nur – ich könnt es noch viel besser.,104,155,character_speech,1,1,,OPKU.,#opku,4.0,MALE,joy,S,,1821.0,positive,emotions of pleasure
13,13,GerDracor/weissenthurn-die-schwestern-st-janvier.xml,"Wie wird es mit den Weißen, sterben sie?",0,40,character_speech,1,1,,GOFFIER.,#goffier,5.0,MALE,suffering,S,,1821.0,negative,emotions of suffering and empathy
14,14,GerDracor/weissenthurn-die-schwestern-st-janvier.xml,"
              Ich frage nicht, sonst schickt er mich voran,
              sie finden ohne mich auch ihren Weg.",0,111,character_speech,1,1,,OPKU.,#opku,6.0,MALE,no_annotation,S,,1821.0,no_annotation,no_annotation
15,15,GerDracor/weissenthurn-die-schwestern-st-janvier.xml,Was hält den strengen Arm so lang zurück?,0,41,character_speech,1,1,,GOFFIER.,#goffier,7.0,MALE,no_annotation,S,,1821.0,no_annotation,no_annotation
16,16,GerDracor/weissenthurn-die-schwestern-st-janvier.xml,"
              Ein schwacher Arm, sein Weib, sein eigen Weib,
              sie hält es heimlich mit den Weißen.",0,112,character_speech,1,1,,OPKU.,#opku,8.0,MALE,no_annotation,S,,1821.0,no_annotation,no_annotation
