,Unnamed: 0,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,pre1_base_polarity,pre1_main_emotion_class
0,0,TextGrid/-Vom_verfolgten_Lateiner.xml,"
                                    Cyriax.",0,44,stage_direction,1,1,pre_speech,,,,,no_annotation,no_annotation,no_annotation
1,1,TextGrid/-Vom_verfolgten_Lateiner.xml,Petronella.,45,56,stage_direction,1,1,pre_speech,,,,,no_annotation,no_annotation,no_annotation
2,2,TextGrid/-Vom_verfolgten_Lateiner.xml, Ich werde wohl ein Wort reden dürften.,0,39,character_speech,1,1,,CYRIAX.,CYRIAX.,1.0,UNKNOWN,no_annotation,no_annotation,no_annotation
3,3,TextGrid/-Vom_verfolgten_Lateiner.xml, Und ich werde wohl mit meiner Nothdurfft auch einkommen dürften.,0,65,character_speech,1,1,,PETRONELLA.,PETRONELLA.,2.0,UNKNOWN,suffering,negative,emotions of suffering and empathy
4,4,TextGrid/-Vom_verfolgten_Lateiner.xml, Ja ja Nothdurfft werdet ihr meinen.,0,36,character_speech,1,1,,CYRIAX.,CYRIAX.,3.0,UNKNOWN,no_annotation,no_annotation,no_annotation
5,5,TextGrid/-Vom_verfolgten_Lateiner.xml,Ich dencke daß ich Herr im Hause bin.,37,74,character_speech,1,1,,CYRIAX.,CYRIAX.,3.0,UNKNOWN,no_annotation,no_annotation,no_annotation
6,6,TextGrid/-Vom_verfolgten_Lateiner.xml, Und ich dencke daß ich kein Narr im Hause bin.,0,47,character_speech,1,1,,PETRONELLA.,PETRONELLA.,4.0,UNKNOWN,no_annotation,no_annotation,no_annotation
7,7,TextGrid/-Vom_verfolgten_Lateiner.xml, Ein Vater weiß über seine Kinder zu befehlen.,0,46,character_speech,1,1,,CYRIAX.,CYRIAX.,5.0,UNKNOWN,no_annotation,no_annotation,no_annotation
8,8,TextGrid/-Vom_verfolgten_Lateiner.xml, Die Mutter weiß am besten / was sie mit ihren Kindern ausgestanden hat.,0,72,character_speech,1,1,,PETRONELLA.,PETRONELLA.,6.0,UNKNOWN,suffering,negative,emotions of suffering and empathy
9,9,TextGrid/-Vom_verfolgten_Lateiner.xml, So weit wollen wir ietzo nicht kommen: Das sag ich / unsere Tochter soll noch keinen Mann nehmen.,0,98,character_speech,1,1,,CYRIAX.,CYRIAX.,7.0,UNKNOWN,anger,negative,emotions of rejection
